"지역","인구대비","연도"
"서울",8.9,"2016"
"부산",20.5,"2016"
"대구",16.6,"2016"
"인천",19.1,"2016"
"광주",18,"2016"
"대전",27.4,"2016"
"울산",27.1,"2016"
"세종",10.8,"2016"
"경기",16.1,"2016"
"강원",25.5,"2016"
"충북",24,"2016"
"충남",21.6,"2016"
"전북",19.9,"2016"
"전남",14.9,"2016"
"경북",14,"2016"
"경남",19.7,"2016"
"제주",38.9,"2016"
"서울",8.9,"2016"
"부산",20.5,"2016"
"대구",16.6,"2016"
"인천",19.1,"2016"
"광주",18,"2016"
"대전",27.4,"2016"
"울산",27.1,"2016"
"세종",10.8,"2016"
"경기",16.1,"2016"
"강원",25.5,"2016"
"충북",24,"2016"
"충남",21.6,"2016"
"전북",19.9,"2016"
"전남",14.9,"2016"
"경북",14,"2016"
"경남",19.7,"2016"
"제주",38.9,"2016"
"서울",8.9,"2017"
"부산",21.9,"2017"
"대구",17.3,"2017"
"인천",20.6,"2017"
"광주",25.3,"2017"
"대전",30.7,"2017"
"울산",25.4,"2017"
"세종",9.7,"2017"
"경기",17.1,"2017"
"강원",30.8,"2017"
"충북",22.2,"2017"
"충남",26.6,"2017"
"전북",25,"2017"
"전남",22.8,"2017"
"경북",18.4,"2017"
"경남",23.7,"2017"
"제주",71.4,"2017"
"서울",8.3,"2018"
"부산",22.1,"2018"
"대구",19.9,"2018"
"인천",23.4,"2018"
"광주",22.4,"2018"
"대전",36.4,"2018"
"울산",25.6,"2018"
"세종",11.4,"2018"
"경기",19.1,"2018"
"강원",34.4,"2018"
"충북",23.3,"2018"
"충남",34.3,"2018"
"전북",33.4,"2018"
"전남",31.7,"2018"
"경북",28.3,"2018"
"경남",34.1,"2018"
"제주",102.1,"2018"
"서울",7.5,"2019"
"부산",23.9,"2019"
"대구",22.6,"2019"
"인천",23.1,"2019"
"광주",26.4,"2019"
"대전",33.1,"2019"
"울산",27.1,"2019"
"세종",13.9,"2019"
"경기",20.8,"2019"
"강원",40,"2019"
"충북",30.6,"2019"
"충남",40,"2019"
"전북",43.4,"2019"
"전남",41.6,"2019"
"경북",34.6,"2019"
"경남",42.3,"2019"
"제주",108.3,"2019"
"서울",6.4,"2020"
"부산",22,"2020"
"대구",20.8,"2020"
"인천",22.6,"2020"
"광주",24.5,"2020"
"대전",22,"2020"
"울산",29.3,"2020"
"세종",9.3,"2020"
"경기",20.1,"2020"
"강원",35.6,"2020"
"충북",29.9,"2020"
"충남",41.7,"2020"
"전북",48.9,"2020"
"전남",45.6,"2020"
"경북",36.5,"2020"
"경남",41,"2020"
"제주",93.4,"2020"
"서울",8.9,"2016"
"부산",20.5,"2016"
"대구",16.6,"2016"
"인천",19.1,"2016"
"광주",18,"2016"
"대전",27.4,"2016"
"울산",27.1,"2016"
"세종",10.8,"2016"
"경기",16.1,"2016"
"강원",25.5,"2016"
"충북",24,"2016"
"충남",21.6,"2016"
"전북",19.9,"2016"
"전남",14.9,"2016"
"경북",14,"2016"
"경남",19.7,"2016"
"제주",38.9,"2016"
"서울",8.9,"2017"
"부산",21.9,"2017"
"대구",17.3,"2017"
"인천",20.6,"2017"
"광주",25.3,"2017"
"대전",30.7,"2017"
"울산",25.4,"2017"
"세종",9.7,"2017"
"경기",17.1,"2017"
"강원",30.8,"2017"
"충북",22.2,"2017"
"충남",26.6,"2017"
"전북",25,"2017"
"전남",22.8,"2017"
"경북",18.4,"2017"
"경남",23.7,"2017"
"제주",71.4,"2017"
"서울",8.3,"2018"
"부산",22.1,"2018"
"대구",19.9,"2018"
"인천",23.4,"2018"
"광주",22.4,"2018"
"대전",36.4,"2018"
"울산",25.6,"2018"
"세종",11.4,"2018"
"경기",19.1,"2018"
"강원",34.4,"2018"
"충북",23.3,"2018"
"충남",34.3,"2018"
"전북",33.4,"2018"
"전남",31.7,"2018"
"경북",28.3,"2018"
"경남",34.1,"2018"
"제주",102.1,"2018"
"서울",7.5,"2019"
"부산",23.9,"2019"
"대구",22.6,"2019"
"인천",23.1,"2019"
"광주",26.4,"2019"
"대전",33.1,"2019"
"울산",27.1,"2019"
"세종",13.9,"2019"
"경기",20.8,"2019"
"강원",40,"2019"
"충북",30.6,"2019"
"충남",40,"2019"
"전북",43.4,"2019"
"전남",41.6,"2019"
"경북",34.6,"2019"
"경남",42.3,"2019"
"제주",108.3,"2019"
"서울",6.4,"2020"
"부산",22,"2020"
"대구",20.8,"2020"
"인천",22.6,"2020"
"광주",24.5,"2020"
"대전",22,"2020"
"울산",29.3,"2020"
"세종",9.3,"2020"
"경기",20.1,"2020"
"강원",35.6,"2020"
"충북",29.9,"2020"
"충남",41.7,"2020"
"전북",48.9,"2020"
"전남",45.6,"2020"
"경북",36.5,"2020"
"경남",41,"2020"
"제주",93.4,"2020"
