지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),평균 풍속(m/s),합계 일조시간(hr),합계 일사량(MJ/m2)
162,통영,2017-01-01,5.7,1,616,11.1,1528,,1.3,8.6,
162,통영,2017-01-02,9,3.6,129,13.5,1437,,1.3,6.9,
162,통영,2017-01-03,6.6,2.7,742,12.3,1414,,1.4,8.7,
162,통영,2017-01-04,6.8,2.7,651,13.2,1452,,1.5,7.7,
162,통영,2017-01-05,8,3.5,218,11.7,1255,,2.9,2.3,
162,통영,2017-01-06,7.8,5.4,2352,11.7,1440,,2.8,8.7,
162,통영,2017-01-07,7.3,3,303,10.6,1519,.8,3.4,.8,
162,통영,2017-01-08,9.1,7,131,13.3,1511,4.1,2.2,4.7,
162,통영,2017-01-09,7.4,2.6,2349,11.1,1448,,3.3,8.2,
162,통영,2017-01-10,3.7,.2,551,8.5,1334,,2.7,9.1,
162,통영,2017-01-11,1.3,-2.4,702,5.6,1508,,3.1,9.2,
162,통영,2017-01-12,4.4,.1,643,8.5,1458,,3.1,6.2,
162,통영,2017-01-13,1.8,-1.4,721,6.5,1449,,3.5,6.7,
162,통영,2017-01-14,-1.3,-4.5,2349,3.3,1449,,4.3,9.3,
162,통영,2017-01-15,-.9,-7.3,542,5.4,1451,,2.7,9.3,
162,통영,2017-01-16,1,-4.1,653,7.2,1512,,2.6,9.2,
162,통영,2017-01-17,3,-1.7,303,8,1248,,1.9,5.2,
162,통영,2017-01-18,4.5,.6,345,8.6,1429,,2.6,4.6,
162,통영,2017-01-19,4.1,-.5,716,9.9,1510,,1.6,7.8,
162,통영,2017-01-20,2,-2.1,2400,4.6,58,,5.3,7.6,
162,통영,2017-01-21,.8,-4.3,749,5,1334,,2.6,8.3,
162,통영,2017-01-22,.7,-2.9,2400,3.3,1550,,4.2,7.4,
162,통영,2017-01-23,-1.4,-5.4,730,3.5,1538,,4,9.3,
162,통영,2017-01-24,-.2,-4.5,723,5.7,1627,,2.9,9.4,
162,통영,2017-01-25,.5,-4.7,806,6.7,1502,,1.4,9.4,
162,통영,2017-01-26,3.1,-4,625,7.8,1520,,1.9,9,
162,통영,2017-01-27,6.8,1.1,2349,10.9,1440,,3,6.5,
162,통영,2017-01-28,4.9,-1.3,720,11.3,1347,,1.7,8.8,
162,통영,2017-01-29,6.5,4.7,840,8.2,2351,11,2.1,0,
162,통영,2017-01-30,3.9,-1.7,2357,8.6,138,.3,4.1,7.9,
162,통영,2017-01-31,2.1,-3,741,8.9,1514,,1.8,7.6,
162,통영,2017-02-01,2.9,-1.2,454,8.7,1515,,3.1,7,
162,통영,2017-02-02,3.4,-2.5,714,9.6,1522,,2.1,9.7,
162,통영,2017-02-03,4.6,-.8,752,10.9,1548,,1.6,9.2,
162,통영,2017-02-04,7.7,3.7,722,11.7,1159,.5,1.5,2.7,
162,통영,2017-02-05,7.1,4.3,2358,13.1,1256,7.1,3.3,6.6,
162,통영,2017-02-06,3.8,.1,618,8.5,1550,,2.9,9.3,
162,통영,2017-02-07,3.9,-.4,655,10.1,1557,,2.1,6.3,
162,통영,2017-02-08,5.1,1.4,211,8.8,1151,,2,.6,
162,통영,2017-02-09,1.2,-2.2,2348,5.4,1358,,4.8,9.7,
162,통영,2017-02-10,-1.3,-4.5,614,3.1,1305,,3.9,9.8,
162,통영,2017-02-11,-.2,-3.8,36,5,1614,,3.9,9.9,
162,통영,2017-02-12,1.7,-3.1,711,7.6,1520,,2.1,9.9,
162,통영,2017-02-13,4.2,-1.9,736,8.7,1540,,2.1,9,
162,통영,2017-02-14,5.2,1.2,743,9.7,1341,,1.9,9.6,
162,통영,2017-02-15,5.2,-.5,525,11.1,1506,,1.7,9.8,
162,통영,2017-02-16,9.9,2.5,525,14.7,2129,.8,2.6,7.1,
162,통영,2017-02-17,10.8,4.3,2318,14.9,1311,1.7,3.7,8.9,
162,통영,2017-02-18,4.4,1.3,2359,8.7,1540,,3.7,9.8,
162,통영,2017-02-19,6.5,-1.4,528,13.5,2342,0,2.9,7.5,
162,통영,2017-02-20,9.5,.9,2346,13.8,351,.2,4.8,6.7,
162,통영,2017-02-21,4.1,-1.5,614,9.7,1337,,2.8,9.9,
162,통영,2017-02-22,6.5,3.8,3,8.1,2113,32.7,3.2,0,
162,통영,2017-02-23,5.2,.8,2349,9.6,1422,,4.5,7.5,
162,통영,2017-02-24,3.3,-1.4,709,8.8,1442,,3.2,10.2,
162,통영,2017-02-25,5.3,-.3,626,9.9,1446,,2.1,9.7,
162,통영,2017-02-26,6,1.2,637,11,1251,,1.8,9.1,
162,통영,2017-02-27,7.3,3.8,7,13.2,1333,,2.2,6.1,
162,통영,2017-02-28,7.4,2.7,630,12.7,1435,,1.9,10,
162,통영,2017-03-01,8.2,4.2,332,13.8,1355,6.7,1.7,6.9,
162,통영,2017-03-02,6.4,1.4,2346,10.6,1536,2.7,4.1,10.2,
162,통영,2017-03-03,6.1,-.4,618,11.4,1502,,1.8,9.9,
162,통영,2017-03-04,8.3,3.5,616,14.3,1417,,1.7,9.9,
162,통영,2017-03-05,8.9,4.8,618,14.3,1458,,1.3,5.5,
162,통영,2017-03-06,7.1,2.6,2354,11.7,1450,,4.3,10.2,
162,통영,2017-03-07,2.6,-.8,2352,7.7,1531,,3.8,9.1,
162,통영,2017-03-08,3,-2.5,311,7.5,1651,,3.2,9.5,
162,통영,2017-03-09,7.3,2,732,11.7,1703,,4.1,10.3,
162,통영,2017-03-10,7.6,2.7,727,12.4,1547,,2.3,10.5,
162,통영,2017-03-11,8.8,2.6,532,17.1,1455,,2.1,10.3,
162,통영,2017-03-12,9.9,3.8,504,15.7,1427,,1.7,8.2,
162,통영,2017-03-13,10.8,6.5,651,16,1336,,1.9,7.8,
162,통영,2017-03-14,9.5,6.1,2255,13.6,1507,,2.2,9,
162,통영,2017-03-15,8,3.4,700,13.1,1529,,2.5,10.6,
162,통영,2017-03-16,8.8,4.3,635,13.1,1348,,2.5,8,
162,통영,2017-03-17,9.4,4,608,15.8,1233,,1.9,10.5,
162,통영,2017-03-18,9.6,5.5,636,15.2,1435,,1.2,4.7,
162,통영,2017-03-19,11.4,5.2,655,17.8,1253,,2.5,9.7,
162,통영,2017-03-20,10,7.8,442,14,1149,3.6,3,0,
162,통영,2017-03-21,9.8,6.2,2323,15.8,1724,1.8,3,10.1,
162,통영,2017-03-22,8.8,3.7,628,12.9,1410,,1.8,5.4,
162,통영,2017-03-23,11.3,7.7,647,15.7,1330,,1.8,5.3,
162,통영,2017-03-24,9.8,7.4,533,13.2,1325,,2.2,1,
162,통영,2017-03-25,8.7,6.3,2045,13.1,1444,1.6,2.6,.5,
162,통영,2017-03-26,7.2,5.4,501,11.1,1254,8,2.2,1.8,
162,통영,2017-03-27,8,3.7,407,12.9,1512,0,2.8,9.9,
162,통영,2017-03-28,9.6,3.5,622,14.1,1402,0,2.2,8.9,
162,통영,2017-03-29,8,6.2,409,11.1,8,5.5,3.2,0,
162,통영,2017-03-30,11.9,5.7,609,19.9,1356,,2.1,10.5,
162,통영,2017-03-31,10.6,8.7,657,13.4,1514,2.7,2.2,.2,
162,통영,2017-04-01,9.1,5.8,2334,13.6,1134,9.2,1.8,4.8,
162,통영,2017-04-02,9.7,4.3,422,16.4,1551,,2.4,10.4,
162,통영,2017-04-03,12.4,6,329,19,1528,,2.1,10.8,
162,통영,2017-04-04,13.8,8.1,655,18.4,1317,,2.3,10,
162,통영,2017-04-05,14.3,11.6,319,16.1,2307,22.3,4.9,.1,
162,통영,2017-04-06,15.2,13.6,2202,16.9,634,55.7,4.8,0,
162,통영,2017-04-07,15.1,11.4,619,20.9,1527,,2,8.4,
162,통영,2017-04-08,15,10,604,22.2,1148,,1.8,10.5,
162,통영,2017-04-09,15,12.2,2334,20,1235,,1.8,5.6,
162,통영,2017-04-10,12.8,10.7,2124,17.8,1327,.2,2.9,4.5,
162,통영,2017-04-11,13.3,10,420,19.3,1544,13,3.3,6.4,
162,통영,2017-04-12,14.2,10.8,240,19.4,1406,,3.2,10.4,
162,통영,2017-04-13,14.8,11,203,18.3,1522,,3.3,10.7,
162,통영,2017-04-14,15.9,11.4,629,18.7,1142,,4.9,8,
162,통영,2017-04-15,16.5,13.5,600,20.1,1347,0,2.7,10.5,
162,통영,2017-04-16,14.9,12.6,2000,18.5,1040,,1.6,8.6,
162,통영,2017-04-17,15.7,12.7,2346,18.4,1135,30.7,3.1,0,
162,통영,2017-04-18,14.6,11,616,18.4,1324,,3.4,7,
162,통영,2017-04-19,14.2,8.4,553,19.6,1530,,2.3,11,
162,통영,2017-04-20,14.4,10.8,209,17.7,1240,0,1.6,2.6,
162,통영,2017-04-21,15.2,12.2,436,22.1,1319,,2.3,8,
162,통영,2017-04-22,13.7,10.9,2355,18.9,1133,.2,2.2,8.7,
162,통영,2017-04-23,13.9,9,559,20,1555,,1.9,11.2,
162,통영,2017-04-24,15.1,10.2,525,19.5,1421,,2.1,10.5,
162,통영,2017-04-25,17.3,14.5,55,20,1257,11.8,2.6,2,
162,통영,2017-04-26,14.8,13,2156,16.9,1426,5.4,1.5,2.7,
162,통영,2017-04-27,14.2,10.1,352,18.7,1509,,3,9.3,
162,통영,2017-04-28,15.6,10.5,529,19.7,1432,,2.8,10.4,
162,통영,2017-04-29,17.6,12.3,537,23,1509,,2.8,10.8,
162,통영,2017-04-30,18.5,14.1,234,23,1227,,3.1,10.6,
162,통영,2017-05-01,17.7,13.7,2255,22.3,1405,,2.5,11.1,
162,통영,2017-05-02,16.7,11.9,400,22.8,1519,,2.7,6.6,
162,통영,2017-05-03,17.3,11.8,557,24.4,1227,,2.3,11.3,
162,통영,2017-05-04,18.6,13,547,24,1415,.5,1.9,8.7,
162,통영,2017-05-05,18.1,16.1,743,21.8,1229,5.3,1.2,.4,
162,통영,2017-05-06,18.2,14,558,23.3,1536,,1.9,9.4,
162,통영,2017-05-07,18.4,12.9,537,22.7,1532,,3.4,11.2,
162,통영,2017-05-08,17.8,14.4,538,22.5,1330,,1.8,5.4,
162,통영,2017-05-09,14.8,13.6,639,19.3,136,19.5,1.8,0,
162,통영,2017-05-10,17,14.1,55,20.7,1536,.1,2.6,7.6,
162,통영,2017-05-11,18.9,14.8,242,23.7,1446,,2.8,10.1,
162,통영,2017-05-12,17.1,15.7,2328,18.5,858,8.8,2.4,0,
162,통영,2017-05-13,17.9,13.7,555,22.9,1339,,2.4,10.9,
162,통영,2017-05-14,18.4,13.4,544,23.5,1446,,2.7,11.6,
162,통영,2017-05-15,17.1,12.6,321,20.7,1303,,2.4,5.8,
162,통영,2017-05-16,17.6,12.5,441,22.9,1347,.5,2.1,8.7,
162,통영,2017-05-17,17.4,12.9,540,24.2,1224,0,2.1,11.5,
162,통영,2017-05-18,18.9,13.6,545,25.3,1354,,1.5,11.8,
162,통영,2017-05-19,20.6,15.5,532,26.7,1339,,1.9,12.1,
162,통영,2017-05-20,19.6,15.6,355,24.7,1214,,1.8,10.1,
162,통영,2017-05-21,19.5,15.8,527,25.3,1325,,1.8,10.1,
162,통영,2017-05-22,19.3,14.9,505,24.1,1217,,1.9,12,
162,통영,2017-05-23,18.9,15,532,23.9,1304,,1.8,6.7,
162,통영,2017-05-24,19.8,17.5,519,23.1,1259,,2.4,7.4,
162,통영,2017-05-25,21,16.7,528,25.9,1339,,2.4,11.9,
162,통영,2017-05-26,17.3,13,537,21.6,1345,,2.9,12.4,
162,통영,2017-05-27,17.8,13.4,436,22.9,1523,,2.7,12.4,
162,통영,2017-05-28,18.7,14.2,506,23.4,1522,,2.7,12.2,
162,통영,2017-05-29,21.4,17,509,27.4,1545,,1.9,11.5,
162,통영,2017-05-30,21.8,18.6,538,28.2,1331,,1.5,9.6,
162,통영,2017-05-31,20.2,18,547,24.5,1326,.1,2.5,3.5,
162,통영,2017-06-01,20.8,19,2348,24.4,1416,.4,2,8.5,
162,통영,2017-06-02,18.9,16.1,537,23,1347,,3,12.4,
162,통영,2017-06-03,19.5,15.7,48,25,1518,0,2.2,11.7,
162,통영,2017-06-04,19.8,15.2,504,26,1423,,2.3,12.6,
162,통영,2017-06-05,20,15.7,347,25.9,1130,,2.1,10.4,
162,통영,2017-06-06,18.7,17,1732,21.9,1103,3.3,2.4,.1,
162,통영,2017-06-07,19.7,16.8,34,22,1120,29.2,3.7,3,
162,통영,2017-06-08,20.1,15.6,547,26.1,1531,,2.5,12.6,
162,통영,2017-06-09,21.5,16.8,418,27,1413,,2.1,11.8,
162,통영,2017-06-10,20.9,18.9,438,26.1,1328,,2.4,6,
162,통영,2017-06-11,19.6,16.5,558,24.5,1414,.6,2,7.6,
162,통영,2017-06-12,19.3,16.9,2255,23.1,1222,,2.1,7.4,
162,통영,2017-06-13,19.6,15.5,245,23.8,1318,0,1.9,8.6,
162,통영,2017-06-14,19.9,16,451,25.6,1421,,1.9,12.6,
162,통영,2017-06-15,22.4,17.3,450,28.8,1406,,1.7,12.3,
162,통영,2017-06-16,21.3,18,2359,25.7,1401,,2,11.9,
162,통영,2017-06-17,21.7,17.5,500,26.2,1205,,2.5,11.9,
162,통영,2017-06-18,20.8,17.5,457,24.8,1226,,2.4,11.7,
162,통영,2017-06-19,22,18.2,337,26.8,1615,,2.2,12.4,
162,통영,2017-06-20,21.3,18.5,1921,24.8,1341,12.3,1.5,0,
162,통영,2017-06-21,21.3,18.9,451,26.2,1045,,2.6,8.3,
162,통영,2017-06-22,21.2,19,319,25.1,1244,,1.8,10,
162,통영,2017-06-23,21.9,18.8,506,26.2,1431,,1.4,8.6,
162,통영,2017-06-24,22.6,19.7,422,26,918,,1.7,3.6,
162,통영,2017-06-25,22.4,20,331,25.2,1300,,1.7,2.7,
162,통영,2017-06-26,23,20.3,426,26.6,1442,,1.6,2.1,
