시점,lat,long,항목,대상분포(%),사교육비,과목: 일반교과 사교육,국  어,영  어,수  학,사회 과학,논  술,제2외국어 한문 컴퓨터 등,컴퓨터,제2외국어 한문 등,과목: 예체능취미교양 사교육,음  악,미  술,체  육,취미·교양,과목: 취업관련 사교육,과목: 진로·진학 학습상담,유형: 일반교과 사교육,개인과외,그룹과외,학원수강,방문학습지,유료인터넷 및 통신강좌 등,유형: 예체능취미교양 사교육,개인과외,그룹과외,학원수강,방문수업 및 기타
2007,,,평균,100,22.2,17.8,2.2,6.8,5.7,1.6,0.8,0.6,-,-,4.3,1.9,0.8,1.3,0.3,0.1,-,17.8,2.7,1.9,10.9,2,0.2,4.3,0.7,0.3,3.3,0.1
2007,,,대도시,45.6,24.6,20.1,2.5,7.6,6.7,1.7,1,0.7,-,-,4.4,1.9,0.9,1.3,0.3,0.1,-,20.1,3.2,2.1,12.6,2,0.2,4.4,0.7,0.3,3.3,0.1
2007,37.5635694444444,126.980008333333,서울,18.5,28.4,23.5,3.1,8.8,7.9,1.9,1.2,0.6,-,-,4.8,2.1,1.1,1.3,0.3,0.1,-,23.5,4.2,2.1,14.9,2,0.3,4.8,0.9,0.4,3.4,0.1
2007,35.8685416666667,128.603552777778,광역시,27.2,22,17.8,2,6.8,5.8,1.6,0.8,0.7,-,-,4.2,1.8,0.7,1.3,0.3,0.1,-,17.8,2.5,2.1,11,2.1,0.2,4.2,0.6,0.3,3.2,0.1
2007,,,대도시이외,54.4,20.2,15.8,2.1,6.1,5,1.5,0.7,0.5,-,-,4.3,1.9,0.7,1.4,0.3,0.1,-,15.8,2.4,1.8,9.5,2,0.2,4.3,0.6,0.3,3.2,0.1
2007,37.005175,127.2818444,중소도시,41.2,22.8,17.9,2.2,7.1,5.6,1.7,0.8,0.6,-,-,4.7,2,0.8,1.5,0.3,0.1,-,17.9,2.8,2.1,10.8,2.1,0.2,4.7,0.7,0.4,3.5,0.1
2007,36.17205833,127.7856111,읍면지역,13.2,12.1,9.2,1.6,3,2.8,1.1,0.3,0.3,-,-,2.8,1.4,0.3,1,0.2,0,-,9.2,1,1,5.4,1.6,0.2,2.8,0.3,0.1,2.3,0.1
2008,,,평균,100,23.3,18.8,2.3,7.6,6.2,1.5,0.7,0.5,-,-,4.4,2,0.8,1.3,0.3,0.1,-,18.8,2.9,1.8,12.1,1.8,0.2,4.4,0.7,0.3,3.3,0.1
2008,,,대도시,45.3,25.5,20.9,2.4,8.4,7,1.6,0.8,0.6,-,-,4.6,2,1,1.2,0.3,0.1,-,20.9,3.3,1.9,13.6,1.8,0.3,4.6,0.7,0.3,3.5,0.1
2008,37.5635694444444,126.980008333333,서울,18.2,29.6,24.2,3.2,9.5,8.2,1.9,0.9,0.6,-,-,5.3,2.3,1.4,1.3,0.3,0.1,-,24.2,4.3,1.9,16,1.8,0.3,5.3,0.9,0.3,3.9,0.1
2008,35.8685416666667,128.603552777778,광역시,27.1,22.8,18.6,1.9,7.6,6.3,1.5,0.7,0.6,-,-,4.1,1.9,0.7,1.2,0.4,0.1,-,18.6,2.6,1.9,12,1.9,0.2,4.1,0.6,0.2,3.2,0.1
2008,,,대도시이외,54.7,21.4,17.2,2.1,7,5.6,1.4,0.5,0.5,-,-,4.2,1.9,0.7,1.3,0.3,0.1,-,17.2,2.5,1.8,10.8,1.8,0.2,4.2,0.6,0.3,3.2,0.1
2008,37.005175,127.2818444,중소도시,41.7,24.2,19.5,2.2,8.2,6.4,1.6,0.6,0.5,-,-,4.7,2.1,0.8,1.4,0.4,0.1,-,19.5,3,2,12.4,1.8,0.3,4.7,0.7,0.3,3.5,0.1
2008,36.17205833,127.7856111,읍면지역,13,12.5,9.7,1.7,3.3,3.1,1,0.2,0.4,-,-,2.8,1.3,0.4,0.9,0.2,0,-,9.7,1.2,1.1,5.8,1.4,0.2,2.8,0.3,0.1,2.3,0.1
2009,,,평균,100,24.2,19.7,2.2,8,6.7,1.6,0.6,0.5,-,-,4.5,2.1,0.8,1.3,0.3,0.1,-,19.7,3.3,2.1,12.2,1.7,0.3,4.5,0.9,0.3,3.1,0.1
2009,,,대도시,43.4,26.9,21.9,2.4,8.8,7.7,1.7,0.7,0.5,-,-,4.9,2.3,0.8,1.5,0.4,0.1,-,21.9,4,2.1,13.7,1.7,0.3,4.9,1.2,0.4,3.2,0.1
