과목 및 유형,시점,서울,광역시,중소도시,읍면지역
대상분포(%),2007,18.5,27.2,41.2,13.2
대상분포(%),2008,18.2,27.1,41.7,13
대상분포(%),2009,17.8,25.6,41.6,15.1
대상분포(%),2010,17.6,25.2,41.8,15.4
대상분포(%),2011,17.5,25.1,42,15.4
대상분포(%),2012,17.3,25.9,44.2,12.7
대상분포(%),2013,17.1,25.4,42.8,14.7
대상분포(%),2014,16.9,25,42.7,15.3
대상분포(%),2015,16.8,24.9,45,13.3
대상분포(%),2016,16.6,24.6,46,12.8
대상분포(%),2017,16.4,24.3,43.7,15.6
대상분포(%),2018,16.1,23.9,44.9,15
대상분포(%),2019,15.9,23.7,44.9,15.5
대상분포(%),2020,15.7,23.6,44.2,16.4
대상분포(%),2021,15.5,23.5,44.5,16.5
사교육비,2007,28.4,22,22.8,12.1
사교육비,2008,29.6,22.8,24.2,12.5
사교육비,2009,33.1,22.5,24.5,15.6
사교육비,2010,32.1,22.7,24.4,16
사교육비,2011,32.8,22.3,24.3,16
사교육비,2012,31.2,23,23.4,15
사교육비,2013,32.8,23.3,23.8,14.7
사교육비,2014,33.5,23.1,24.1,15.6
사교육비,2015,33.8,23.3,24,16
사교육비,2016,35.2,24.8,25,16.6
사교육비,2017,39.1,26.9,26.2,17.7
사교육비,2018,41.1,28.1,29,18.1
사교육비,2019,45.1,31,32.1,20.3
사교육비,2020,45.3,29.3,29.3,19.2
사교육비,2021,52.9,35.8,35.9,24.7
과목: 일반교과 사교육,2007,23.5,17.8,17.9,9.2
과목: 일반교과 사교육,2008,24.2,18.6,19.5,9.7
과목: 일반교과 사교육,2009,26.6,18.6,20.1,12
과목: 일반교과 사교육,2010,25.6,18.8,19.9,12.3
과목: 일반교과 사교육,2011,26.3,18.3,19.6,12.2
과목: 일반교과 사교육,2012,26.1,18.8,19.2,11.5
과목: 일반교과 사교육,2013,26.8,18.9,18.8,11.3
과목: 일반교과 사교육,2014,26.8,18.7,18.8,11.7
과목: 일반교과 사교육,2015,26.8,18.3,18.6,12
과목: 일반교과 사교육,2016,27.1,18.7,18.5,11.9
과목: 일반교과 사교육,2017,29.4,19.9,18.7,12.5
과목: 일반교과 사교육,2018,30.7,20.8,21,12.8
과목: 일반교과 사교육,2019,33.5,23.1,23.3,14.7
과목: 일반교과 사교육,2020,36.5,23.4,23.1,14.6
과목: 일반교과 사교육,2021,41.3,27.6,27.4,18.1
국  어,2007,3.1,2,2.2,1.6
국  어,2008,3.2,1.9,2.2,1.7
국  어,2009,3.1,2,2.1,1.7
국  어,2010,2.9,2,2,1.7
국  어,2011,2.7,1.7,1.7,1.5
국  어,2012,2.4,1.5,1.7,1.3
국  어,2013,2.3,1.5,1.5,1.4
국  어,2014,2.3,1.3,1.4,1.2
국  어,2015,2.3,1.3,1.4,1
국  어,2016,2.5,1.5,1.5,1.2
국  어,2017,3,1.8,1.6,1.3
국  어,2018,3.2,2,2,1.3
국  어,2019,3.5,2.2,2.2,1.5
국  어,2020,4.1,2.4,2.3,1.7
국  어,2021,4.8,2.8,2.9,2
영  어,2007,8.8,6.8,7.1,3
영  어,2008,9.5,7.6,8.2,3.3
영  어,2009,10.8,7.4,8.5,4.6
영  어,2010,10.5,7.6,8.4,4.9
영  어,2011,10.8,7.4,8.5,4.9
영  어,2012,10.1,8,8.1,4.7
영  어,2013,11.3,8.1,8.2,4.3
영  어,2014,11.2,8,8.2,4.7
영  어,2015,11.2,7.7,7.9,4.8
영  어,2016,10.7,7.6,7.8,4.7
영  어,2017,11.1,7.8,7.8,4.9
영  어,2018,12,8.1,8.5,5.1
영  어,2019,13,9,9.5,5.8
영  어,2020,13.7,9.2,9.2,5.7
영  어,2021,15.7,11,11.2,7
수  학,2007,7.9,5.8,5.6,2.8
수  학,2008,8.2,6.3,6.4,3.1
수  학,2009,9.1,6.7,6.8,3.6
수  학,2010,9.1,6.9,6.9,3.9
수  학,2011,9.6,7,7.1,4
수  학,2012,10.4,7.4,7.3,4.1
수  학,2013,10.4,7.5,7.2,4.3
수  학,2014,10.8,7.6,7.5,4.6
수  학,2015,10.6,7.5,7.4,5
수  학,2016,10.8,7.7,7.2,4.7
수  학,2017,11.7,8,7.4,4.8
수  학,2018,11.9,8.2,8.1,5
수  학,2019,12.6,9.1,8.8,5.7
수  학,2020,14.1,9.3,9.1,5.6
수  학,2021,15.5,10.5,10.2,6.9
"사회, 과학",2007,1.9,1.6,1.7,1.1
"사회, 과학",2008,1.9,1.5,1.6,1
"사회, 과학",2009,2.1,1.5,1.6,1.3
"사회, 과학",2010,1.7,1.4,1.5,1.1
"사회, 과학",2011,1.7,1.2,1.2,1.2
"사회, 과학",2012,1.7,1,1.1,0.8
"사회, 과학",2013,1.1,0.9,0.9,0.8
"사회, 과학",2014,1.2,0.9,0.8,0.8
"사회, 과학",2015,1.3,0.9,0.9,0.7
"사회, 과학",2016,1.6,1,0.9,0.7
"사회, 과학",2017,1.8,1.2,0.9,0.7
"사회, 과학",2018,1.8,1.3,1,0.7
"사회, 과학",2019,2.1,1.3,1.1,0.9
"사회, 과학",2020,2.5,1.4,1.2,0.9
"사회, 과학",2021,2.7,1.6,1.5,1.1
논  술,2007,1.2,0.8,0.8,0.3
논  술,2008,0.9,0.7,0.6,0.2
논  술,2009,0.9,0.6,0.6,0.4
논  술,2010,0.9,0.6,0.6,0.4
논  술,2011,1,0.6,0.7,0.4
논  술,2012,1.1,0.6,0.7,0.2
논  술,2013,1.3,0.7,0.7,0.3
논  술,2014,1,0.6,0.7,0.3
논  술,2015,1.1,0.6,0.7,0.3
논  술,2016,1.2,0.7,0.8,0.4
논  술,2017,1.3,0.8,0.7,0.4
논  술,2018,1.3,0.8,0.9,0.5
논  술,2019,1.5,0.9,1,0.5
논  술,2020,1.6,0.8,1,0.4
논  술,2021,1.9,1.1,1.2,0.7
"제2외국어, 한문, 컴퓨터 등",2007,0.6,0.7,0.6,0.3
"제2외국어, 한문, 컴퓨터 등",2008,0.6,0.6,0.5,0.4
"제2외국어, 한문, 컴퓨터 등",2009,0.6,0.5,0.6,0.4
"제2외국어, 한문, 컴퓨터 등",2010,0.6,0.4,0.5,0.3
"제2외국어, 한문, 컴퓨터 등",2011,0.5,0.4,0.4,0.3
"제2외국어, 한문, 컴퓨터 등",2012,0.4,0.3,0.4,0.3
"제2외국어, 한문, 컴퓨터 등",2013,0.4,0.3,0.3,0.2
"제2외국어, 한문, 컴퓨터 등",2014,0.3,0.2,0.2,0.2
"제2외국어, 한문, 컴퓨터 등",2015,0.3,0.3,0.3,0.2
"제2외국어, 한문, 컴퓨터 등",2016,0.4,0.3,0.3,0.2
"제2외국어, 한문, 컴퓨터 등",2017,0.5,0.3,0.3,0.2
"제2외국어, 한문, 컴퓨터 등",2018,0.5,0.4,0.4,0.3
"제2외국어, 한문, 컴퓨터 등",2019,0.8,0.5,0.6,0.3
"제2외국어, 한문, 컴퓨터 등",2020,0.6,0.4,0.4,0.3
"제2외국어, 한문, 컴퓨터 등",2021,0.8,0.5,0.5,0.4
컴퓨터,2019,0.2,0.2,0.2,0.1
컴퓨터,2020,0.2,0.1,0.1,0.1
컴퓨터,2021,0.3,0.2,0.2,0.1
"제2외국어, 한문 등",2019,0.5,0.3,0.4,0.2
"제2외국어, 한문 등",2020,0.4,0.3,0.3,0.2
"제2외국어, 한문 등",2021,0.4,0.3,0.3,0.3
"과목: 예체능,취미,교양 사교육",2007,4.8,4.2,4.7,2.8
"과목: 예체능,취미,교양 사교육",2008,5.3,4.1,4.7,2.8
"과목: 예체능,취미,교양 사교육",2009,6.5,3.9,4.4,3.5
"과목: 예체능,취미,교양 사교육",2010,6.5,3.8,4.4,3.6
"과목: 예체능,취미,교양 사교육",2011,6.4,3.9,4.6,3.8
"과목: 예체능,취미,교양 사교육",2012,5,4.2,4.1,3.5
"과목: 예체능,취미,교양 사교육",2013,5.9,4.3,5,3.4
"과목: 예체능,취미,교양 사교육",2014,6.5,4.4,5.2,3.9
"과목: 예체능,취미,교양 사교육",2015,6.9,4.9,5.3,3.9
"과목: 예체능,취미,교양 사교육",2016,8,5.9,6.4,4.7
"과목: 예체능,취미,교양 사교육",2017,9.4,6.8,7.3,5.1
"과목: 예체능,취미,교양 사교육",2018,10.1,7.1,7.7,5.1
"과목: 예체능,취미,교양 사교육",2019,11.3,7.7,8.6,5.3
"과목: 예체능,취미,교양 사교육",2020,8.5,5.6,5.9,4.5
"과목: 예체능,취미,교양 사교육",2021,11.2,7.9,8.2,6.4
음  악,2007,2.1,1.8,2,1.4
음  악,2008,2.3,1.9,2.1,1.3
음  악,2009,3,1.7,2,1.6
음  악,2010,3.1,1.6,2,1.7
음  악,2011,3.1,1.5,2.1,1.7
음  악,2012,2.1,1.7,1.7,1.6
음  악,2013,2.4,1.7,1.9,1.3
음  악,2014,2.7,1.6,2,1.5
음  악,2015,2.4,1.8,1.9,1.5
음  악,2016,3.2,2.1,2.2,1.9
