일시,지점,평균 풍속(m/s),평균 상대습도(%),평균 기온(°C),평균 수온(°C),지점,일강수량(mm),합계 일조시간(hr),지점,평균 풍속(m/s),평균 상대습도(%),평균 기온(°C),평균 수온(°C),지점,일강수량(mm),합계 일조시간(hr)
2017-01-01,거제,3.3,60.0,9.8,15.3,거제,,7.0,통영,,62.0,9.4,17.3,통영,,8.6
2017-01-02,거제,5.1,66.0,12.0,15.4,거제,,6.5,통영,,65.0,12.0,16.8,통영,,6.9
2017-01-03,거제,4.6,53.0,10.8,15.0,거제,,7.3,통영,4.8,58.0,9.6,15.3,통영,,8.7
2017-01-04,거제,5.2,54.0,11.3,15.6,거제,,6.5,통영,4.2,49.0,10.5,13.9,통영,,7.7
2017-01-05,거제,10.0,72.0,11.8,,거제,,0.9,통영,8.9,68.0,11.1,13.8,통영,,2.3
2017-01-06,거제,9.2,64.0,11.3,16.3,거제,,5.6,통영,9.0,64.0,10.6,13.5,통영,,8.7
2017-01-07,거제,7.0,72.0,12.2,16.5,거제,1.4,1.1,통영,7.0,73.0,10.9,13.8,통영,0.8,0.8
2017-01-08,거제,7.2,75.0,12.4,16.9,거제,5.0,1.6,통영,7.8,73.0,11.1,14.5,통영,4.1,4.7
2017-01-09,거제,7.1,59.0,10.7,16.2,거제,,6.9,통영,9.9,60.0,8.8,13.2,통영,,8.2
2017-01-10,거제,6.7,,6.9,15.8,거제,,7.5,통영,9.1,59.0,6.0,13.6,통영,,9.1
2017-01-11,거제,8.8,52.0,4.2,15.5,거제,,7.5,통영,7.5,53.0,3.5,12.5,통영,,9.2
2017-01-12,거제,7.7,,7.4,15.5,거제,,5.3,통영,8.9,58.0,6.7,12.0,통영,,6.2
2017-01-13,거제,8.3,54.0,5.3,15.4,거제,,6.5,통영,10.1,58.0,4.6,12.1,통영,,6.7
2017-01-14,거제,10.1,53.0,2.1,15.1,거제,,7.6,통영,11.3,58.0,1.4,11.2,통영,,9.3
2017-01-15,거제,9.4,,2.4,15.1,거제,,7.7,통영,6.9,51.0,1.5,11.4,통영,,9.3
2017-01-16,거제,7.2,49.0,5.1,15.5,거제,,7.7,통영,5.4,39.0,4.4,12.5,통영,,9.2
2017-01-17,거제,4.1,54.0,7.9,15.7,거제,,6.4,통영,3.4,53.0,7.3,15.0,통영,,5.2
2017-01-18,거제,6.1,57.0,8.4,15.0,거제,,3.7,통영,4.8,53.0,7.8,14.6,통영,,4.6
2017-01-19,거제,5.2,56.0,8.1,16.4,거제,,6.3,통영,5.3,52.0,6.8,13.3,통영,,7.8
2017-01-20,거제,10.5,57.0,5.7,15.5,거제,,6.7,통영,11.4,65.0,3.9,11.4,통영,,7.6
2017-01-21,거제,7.5,59.0,3.9,15.0,거제,,7.3,통영,7.5,60.0,3.1,10.4,통영,,8.3
2017-01-22,거제,8.6,54.0,3.6,14.3,거제,,7.0,통영,11.8,61.0,3.1,10.3,통영,,7.4
2017-01-23,거제,7.7,51.0,1.4,14.6,거제,,8.0,통영,9.4,57.0,0.7,10.8,통영,,9.3
2017-01-24,거제,7.8,48.0,2.9,14.9,거제,,8.1,통영,6.3,52.0,2.1,12.0,통영,,9.4
2017-01-25,거제,4.2,45.0,4.8,15.4,거제,,8.1,통영,3.3,58.0,3.7,14.0,통영,,9.4
2017-01-26,거제,6.9,50.0,7.4,15.3,거제,,8.1,통영,4.5,56.0,5.8,13.2,통영,,9.0
2017-01-27,거제,8.0,55.0,10.3,14.7,거제,,5.0,통영,8.5,57.0,8.6,11.6,통영,,6.5
2017-01-28,거제,4.2,55.0,8.8,14.6,거제,,8.2,통영,3.4,56.0,8.1,10.9,통영,,8.8
2017-01-29,거제,4.2,84.0,11.5,14.6,거제,8.5,0.0,통영,4.2,83.0,10.5,12.3,통영,11.0,0.0
2017-01-30,거제,8.4,60.0,6.8,14.4,거제,0.5,6.9,통영,10.8,64.0,6.0,11.3,통영,0.3,7.9
2017-01-31,거제,5.6,63.0,5.9,14.3,거제,,6.1,통영,4.2,55.0,4.4,11.5,통영,,7.6
2017-02-01,거제,7.2,50.0,5.8,14.4,거제,,5.0,통영,7.1,50.0,5.0,11.7,통영,,7.0
2017-02-02,거제,6.1,40.0,6.8,15.9,거제,,8.4,통영,6.7,46.0,5.6,11.4,통영,,9.7
2017-02-03,거제,4.5,45.0,8.4,15.8,거제,,8.5,통영,3.9,51.0,7.0,11.3,통영,,9.2
2017-02-04,거제,3.4,52.0,11.5,,거제,0.3,4.0,통영,2.3,58.0,9.8,11.6,통영,0.5,2.7
2017-02-05,거제,6.9,77.0,10.4,15.1,거제,6.5,3.8,통영,8.7,79.0,8.7,11.8,통영,7.1,6.6
2017-02-06,거제,7.7,47.0,7.1,15.0,거제,,8.7,통영,9.2,52.0,5.7,11.0,통영,,9.3
2017-02-07,거제,4.6,53.0,7.2,15.1,거제,,5.3,통영,3.7,58.0,5.9,11.3,통영,,6.3
2017-02-08,거제,4.5,56.0,8.6,15.4,거제,,0.0,통영,5.2,56.0,6.7,11.1,통영,,0.6
2017-02-09,거제,10.1,52.0,3.9,15.1,거제,,8.9,통영,13.0,59.0,2.6,10.1,통영,,9.7
2017-02-10,거제,10.1,53.0,1.9,15.4,거제,,8.9,통영,12.1,59.0,0.7,9.8,통영,,9.8
2017-02-11,거제,8.2,54.0,2.6,15.2,거제,,8.9,통영,11.6,60.0,1.7,10.0,통영,,9.9
2017-02-12,거제,6.1,53.0,4.9,14.9,거제,,9.0,통영,7.7,55.0,4.3,10.2,통영,,9.9
2017-02-13,거제,7.1,50.0,7.3,15.1,거제,,9.1,통영,6.0,51.0,6.3,10.9,통영,,9.0
2017-02-14,거제,4.7,52.0,8.5,15.2,거제,,9.0,통영,5.5,,8.0,10.6,통영,,9.6
2017-02-15,거제,5.0,58.0,9.8,15.2,거제,,9.2,통영,4.1,,9.0,11.7,통영,,9.8
2017-02-16,거제,7.2,76.0,13.5,14.8,거제,1.0,6.4,통영,4.1,73.0,12.0,11.5,통영,0.8,7.1
