"월","건수","연도","나이"
"1월",1162,"2016",0
"2월",1138,"2016",0
"3월",1159,"2016",0
"4월",1135,"2016",0
"5월",1170,"2016",0
"6월",1086,"2016",0
"7월",1277,"2016",0
"8월",1568,"2016",0
"9월",1348,"2016",0
"10월",1299,"2016",0
"11월",1330,"2016",0
"12월",1426,"2016",0
"1월",1024,"2017",0
"2월",1047,"2017",0
"3월",1388,"2017",0
"4월",1314,"2017",0
"5월",1546,"2017",0
"6월",1641,"2017",0
"7월",2091,"2017",0
"8월",2395,"2017",0
"9월",1878,"2017",0
"10월",1954,"2017",0
"11월",2189,"2017",0
"12월",2093,"2017",0
"1월",2016,"2018",0
"2월",1904,"2018",0
"3월",2468,"2018",0
"4월",2376,"2018",0
"5월",2674,"2018",0
"6월",2404,"2018",0
"7월",2749,"2018",0
"8월",2913,"2018",0
"9월",2713,"2018",0
"10월",3089,"2018",0
"11월",3111,"2018",0
"12월",2980,"2018",0
"1월",2967,"2019",0
"2월",2554,"2019",0
"3월",3004,"2019",0
"4월",3100,"2019",0
"5월",2797,"2019",0
"6월",2754,"2019",0
"7월",3714,"2019",0
"8월",3820,"2019",0
"9월",3619,"2019",0
"10월",3778,"2019",0
"11월",3270,"2019",0
"12월",3519,"2019",0
"1월",3546,"2020",0
"2월",3613,"2020",0
"3월",3722,"2020",0
"4월",3147,"2020",0
"5월",3185,"2020",0
"6월",3004,"2020",0
"7월",3667,"2020",0
"8월",3659,"2020",0
"9월",3300,"2020",0
"10월",3080,"2020",0
"11월",3161,"2020",0
"12월",3061,"2020",0
"1월",1162,"2016",1
"2월",1138,"2016",1
"3월",1159,"2016",1
"4월",1135,"2016",1
"5월",1170,"2016",1
"6월",1086,"2016",1
"7월",1277,"2016",1
"8월",1568,"2016",1
"9월",1348,"2016",1
"10월",1299,"2016",1
"11월",1330,"2016",1
"12월",1426,"2016",1
"1월",1024,"2017",1
"2월",1047,"2017",1
"3월",1388,"2017",1
"4월",1314,"2017",1
"5월",1546,"2017",1
"6월",1641,"2017",1
"7월",2091,"2017",1
"8월",2395,"2017",1
"9월",1878,"2017",1
"10월",1954,"2017",1
"11월",2189,"2017",1
"12월",2093,"2017",1
"1월",2016,"2018",1
"2월",1904,"2018",1
"3월",2468,"2018",1
"4월",2376,"2018",1
"5월",2674,"2018",1
"6월",2404,"2018",1
"7월",2749,"2018",1
"8월",2913,"2018",1
"9월",2713,"2018",1
"10월",3089,"2018",1
"11월",3111,"2018",1
"12월",2980,"2018",1
"1월",2967,"2019",1
"2월",2554,"2019",1
"3월",3004,"2019",1
"4월",3100,"2019",1
"5월",2797,"2019",1
"6월",2754,"2019",1
"7월",3714,"2019",1
"8월",3820,"2019",1
"9월",3619,"2019",1
"10월",3778,"2019",1
"11월",3270,"2019",1
"12월",3519,"2019",1
"1월",3546,"2020",1
"2월",3613,"2020",1
"3월",3722,"2020",1
"4월",3147,"2020",1
"5월",3185,"2020",1
"6월",3004,"2020",1
"7월",3667,"2020",1
"8월",3659,"2020",1
"9월",3300,"2020",1
"10월",3080,"2020",1
"11월",3161,"2020",1
"12월",3061,"2020",1
"1월",631,"2016",2
"2월",667,"2016",2
"3월",818,"2016",2
"4월",784,"2016",2
"5월",831,"2016",2
"6월",815,"2016",2
"7월",940,"2016",2
"8월",898,"2016",2
"9월",977,"2016",2
"10월",941,"2016",2
"11월",825,"2016",2
"12월",710,"2016",2
"합계",9837,"2016",2
"1월",736,"2017",2
"2월",732,"2017",2
"3월",945,"2017",2
"4월",856,"2017",2
"5월",957,"2017",2
"6월",959,"2017",2
"7월",1212,"2017",2
"8월",1307,"2017",2
"9월",1081,"2017",2
"10월",1032,"2017",2
"11월",973,"2017",2
"12월",827,"2017",2
"합계",11617,"2017",2
"1월",927,"2018",2
"2월",829,"2018",2
"3월",1152,"2018",2
"4월",1149,"2018",2
"5월",1262,"2018",2
"6월",1085,"2018",2
"7월",1242,"2018",2
"8월",1235,"2018",2
"9월",1249,"2018",2
"10월",1293,"2018",2
"11월",1175,"2018",2
"12월",981,"2018",2
"합계",13579,"2018",2
"1월",1166,"2019",2
"2월",969,"2019",2
"3월",1177,"2019",2
"4월",1285,"2019",2
"5월",1228,"2019",2
"6월",1109,"2019",2
"7월",1465,"2019",2
"8월",1348,"2019",2
"9월",1398,"2019",2
"10월",1255,"2019",2
"11월",1062,"2019",2
"12월",1004,"2019",2
"합계",14466,"2019",2
"1월",1208,"2020",2
"2월",1067,"2020",2
"3월",1262,"2020",2
"4월",1096,"2020",2
"5월",1193,"2020",2
"6월",1087,"2020",2
"7월",1338,"2020",2
"8월",1201,"2020",2
"9월",1106,"2020",2
"10월",1026,"2020",2
"11월",910,"2020",2
"12월",861,"2020",2
"합계",13355,"2020",2
"1월",586,"2016",3
"2월",583,"2016",3
"3월",709,"2016",3
"4월",698,"2016",3
"5월",747,"2016",3
"6월",686,"2016",3
"7월",817,"2016",3
"8월",913,"2016",3
"9월",826,"2016",3
"10월",835,"2016",3
"11월",715,"2016",3
"12월",619,"2016",3
"합계",8734,"2016",3
"1월",605,"2017",3
"2월",617,"2017",3
"3월",771,"2017",3
"4월",821,"2017",3
"5월",855,"2017",3
"6월",782,"2017",3
"7월",1045,"2017",3
"8월",1113,"2017",3
"9월",1040,"2017",3
"10월",982,"2017",3
"11월",812,"2017",3
"12월",733,"2017",3
"합계",10176,"2017",3
"1월",839,"2018",3
"2월",731,"2018",3
"3월",994,"2018",3
"4월",1036,"2018",3
"5월",1087,"2018",3
"6월",1002,"2018",3
"7월",1163,"2018",3
"8월",1100,"2018",3
"9월",1062,"2018",3
"10월",1109,"2018",3
"11월",927,"2018",3
"12월",797,"2018",3
"합계",11847,"2018",3
"1월",924,"2019",3
"2월",841,"2019",3
"3월",981,"2019",3
"4월",1081,"2019",3
"5월",980,"2019",3
"6월",973,"2019",3
"7월",1231,"2019",3
"8월",1162,"2019",3
"9월",1021,"2019",3
"10월",972,"2019",3
"11월",812,"2019",3
"12월",773,"2019",3
"합계",11751,"2019",3
"1월",928,"2020",3
"2월",849,"2020",3
"3월",918,"2020",3
"4월",843,"2020",3
"5월",864,"2020",3
"6월",866,"2020",3
"7월",985,"2020",3
"8월",1019,"2020",3
"9월",943,"2020",3
"10월",816,"2020",3
"11월",749,"2020",3
"12월",700,"2020",3
"합계",10480,"2020",3
"1월",586,"2016",3
"2월",583,"2016",3
"3월",709,"2016",3
"4월",698,"2016",3
"5월",747,"2016",3
"6월",686,"2016",3
"7월",817,"2016",3
"8월",913,"2016",3
"9월",826,"2016",3
"10월",835,"2016",3
"11월",715,"2016",3
"12월",619,"2016",3
"합계",8734,"2016",3
"1월",605,"2017",3
"2월",617,"2017",3
"3월",771,"2017",3
"4월",821,"2017",3
"5월",855,"2017",3
"6월",782,"2017",3
"7월",1045,"2017",3
"8월",1113,"2017",3
"9월",1040,"2017",3
"10월",982,"2017",3
"11월",812,"2017",3
"12월",733,"2017",3
"합계",10176,"2017",3
"1월",839,"2018",3
"2월",731,"2018",3
"3월",994,"2018",3
"4월",1036,"2018",3
"5월",1087,"2018",3
"6월",1002,"2018",3
"7월",1163,"2018",3
"8월",1100,"2018",3
"9월",1062,"2018",3
"10월",1109,"2018",3
"11월",927,"2018",3
"12월",797,"2018",3
"합계",11847,"2018",3
"1월",924,"2019",3
"2월",841,"2019",3
"3월",981,"2019",3
"4월",1081,"2019",3
"5월",980,"2019",3
