"발생월","발생횟수","연도"
"1월",5071,"2016년"
"2월",5079,"2016년"
"3월",6161,"2016년"
"4월",7048,"2016년"
"5월",8650,"2016년"
"6월",8751,"2016년"
"7월",8993,"2016년"
"8월",8829,"2016년"
"9월",8597,"2016년"
"10월",8763,"2016년"
"11월",6852,"2016년"
"12월",5763,"2016년"
"합계",88557,"2016년"
"1월",5581,"2017년"
"2월",5242,"2017년"
"3월",6599,"2017년"
"4월",7593,"2017년"
"5월",9845,"2017년"
"6월",9716,"2017년"
"7월",11075,"2017년"
"8월",11119,"2017년"
"9월",9981,"2017년"
"10월",9312,"2017년"
"11월",8045,"2017년"
"12월",6732,"2017년"
"합계",100840,"2017년"
"1월",7334,"2018년"
"2월",6467,"2018년"
"3월",8822,"2018년"
"4월",9738,"2018년"
"5월",11991,"2018년"
"6월",11477,"2018년"
"7월",11818,"2018년"
"8월",11083,"2018년"
"9월",10903,"2018년"
"10월",11368,"2018년"
"11월",9878,"2018년"
"12월",7818,"2018년"
"합계",118697,"2018년"
"1월",9176,"2019년"
"2월",7880,"2019년"
"3월",9283,"2019년"
"4월",11096,"2019년"
"5월",12370,"2019년"
"6월",11998,"2019년"
"7월",14519,"2019년"
"8월",13036,"2019년"
"9월",12873,"2019년"
"10월",12679,"2019년"
"11월",9821,"2019년"
"12월",8782,"2019년"
"합계",133513,"2019년"
"1월",9871,"2020년"
"2월",9042,"2020년"
"3월",10059,"2020년"
"4월",9973,"2020년"
"5월",12578,"2020년"
"6월",12664,"2020년"
"7월",13696,"2020년"
"8월",12233,"2020년"
"9월",11483,"2020년"
"10월",10603,"2020년"
"11월",8948,"2020년"
"12월",7567,"2020년"
"합계",128717,"2020년"
