"지역","발생횟수","날짜","year","month"
"서울",133,2016-01-01,2016,1
"부산",146,2016-01-01,2016,1
"대구",78,2016-01-01,2016,1
"인천",108,2016-01-01,2016,1
"광주",60,2016-01-01,2016,1
"대전",64,2016-01-01,2016,1
"울산",52,2016-01-01,2016,1
"세종",7,2016-01-01,2016,1
"경기",619,2016-01-01,2016,1
"강원",137,2016-01-01,2016,1
"충북",84,2016-01-01,2016,1
"충남",107,2016-01-01,2016,1
"전북",107,2016-01-01,2016,1
"전남",103,2016-01-01,2016,1
"경북",162,2016-01-01,2016,1
"경남",290,2016-01-01,2016,1
"제주",114,2016-01-01,2016,1
"서울",145,2016-02-01,2016,2
"부산",138,2016-02-01,2016,2
"대구",86,2016-02-01,2016,2
"인천",119,2016-02-01,2016,2
"광주",68,2016-02-01,2016,2
"대전",75,2016-02-01,2016,2
"울산",56,2016-02-01,2016,2
"세종",2,2016-02-01,2016,2
"경기",547,2016-02-01,2016,2
"강원",140,2016-02-01,2016,2
"충북",110,2016-02-01,2016,2
"충남",122,2016-02-01,2016,2
"전북",114,2016-02-01,2016,2
"전남",96,2016-02-01,2016,2
"경북",192,2016-02-01,2016,2
"경남",302,2016-02-01,2016,2
"제주",175,2016-02-01,2016,2
"서울",178,2016-03-01,2016,3
"부산",180,2016-03-01,2016,3
"대구",114,2016-03-01,2016,3
"인천",104,2016-03-01,2016,3
"광주",57,2016-03-01,2016,3
"대전",70,2016-03-01,2016,3
"울산",71,2016-03-01,2016,3
"세종",7,2016-03-01,2016,3
"경기",652,2016-03-01,2016,3
"강원",162,2016-03-01,2016,3
"충북",96,2016-03-01,2016,3
"충남",186,2016-03-01,2016,3
"전북",142,2016-03-01,2016,3
"전남",144,2016-03-01,2016,3
"경북",174,2016-03-01,2016,3
"경남",320,2016-03-01,2016,3
"제주",108,2016-03-01,2016,3
"서울",181,2016-04-01,2016,4
"부산",170,2016-04-01,2016,4
"대구",93,2016-04-01,2016,4
"인천",136,2016-04-01,2016,4
"광주",45,2016-04-01,2016,4
"대전",60,2016-04-01,2016,4
"울산",48,2016-04-01,2016,4
"세종",6,2016-04-01,2016,4
"경기",612,2016-04-01,2016,4
"강원",166,2016-04-01,2016,4
"충북",90,2016-04-01,2016,4
"충남",151,2016-04-01,2016,4
"전북",142,2016-04-01,2016,4
"전남",113,2016-04-01,2016,4
"경북",183,2016-04-01,2016,4
"경남",321,2016-04-01,2016,4
"제주",130,2016-04-01,2016,4
