"지역","발생횟수","날짜","year","month"
"서울",223,2016-01-01,2016,1
"부산",102,2016-01-01,2016,1
"대구",63,2016-01-01,2016,1
"인천",113,2016-01-01,2016,1
"광주",44,2016-01-01,2016,1
"대전",168,2016-01-01,2016,1
"울산",33,2016-01-01,2016,1
"세종",4,2016-01-01,2016,1
"경기",455,2016-01-01,2016,1
"강원",89,2016-01-01,2016,1
"충북",125,2016-01-01,2016,1
"충남",59,2016-01-01,2016,1
"전북",69,2016-01-01,2016,1
"전남",55,2016-01-01,2016,1
"경북",71,2016-01-01,2016,1
"경남",110,2016-01-01,2016,1
"제주",36,2016-01-01,2016,1
"서울",230,2016-02-01,2016,2
"부산",118,2016-02-01,2016,2
"대구",53,2016-02-01,2016,2
"인천",133,2016-02-01,2016,2
"광주",40,2016-02-01,2016,2
"대전",121,2016-02-01,2016,2
"울산",44,2016-02-01,2016,2
"세종",8,2016-02-01,2016,2
"경기",461,2016-02-01,2016,2
"강원",88,2016-02-01,2016,2
"충북",114,2016-02-01,2016,2
"충남",62,2016-02-01,2016,2
"전북",70,2016-02-01,2016,2
"전남",72,2016-02-01,2016,2
"경북",72,2016-02-01,2016,2
"경남",118,2016-02-01,2016,2
"제주",40,2016-02-01,2016,2
"서울",277,2016-03-01,2016,3
"부산",109,2016-03-01,2016,3
"대구",87,2016-03-01,2016,3
"인천",161,2016-03-01,2016,3
"광주",54,2016-03-01,2016,3
"대전",131,2016-03-01,2016,3
"울산",49,2016-03-01,2016,3
"세종",11,2016-03-01,2016,3
"경기",581,2016-03-01,2016,3
"강원",107,2016-03-01,2016,3
"충북",112,2016-03-01,2016,3
"충남",125,2016-03-01,2016,3
"전북",108,2016-03-01,2016,3
"전남",79,2016-03-01,2016,3
"경북",94,2016-03-01,2016,3
"경남",137,2016-03-01,2016,3
"제주",47,2016-03-01,2016,3
"서울",363,2016-04-01,2016,4
"부산",134,2016-04-01,2016,4
"대구",83,2016-04-01,2016,4
"인천",179,2016-04-01,2016,4
"광주",71,2016-04-01,2016,4
"대전",109,2016-04-01,2016,4
"울산",78,2016-04-01,2016,4
"세종",11,2016-04-01,2016,4
"경기",616,2016-04-01,2016,4
"강원",107,2016-04-01,2016,4
"충북",118,2016-04-01,2016,4
"충남",106,2016-04-01,2016,4
"전북",112,2016-04-01,2016,4
"전남",90,2016-04-01,2016,4
"경북",85,2016-04-01,2016,4
"경남",132,2016-04-01,2016,4
"제주",41,2016-04-01,2016,4
"서울",361,2016-05-01,2016,5
"부산",125,2016-05-01,2016,5
"대구",99,2016-05-01,2016,5
"인천",204,2016-05-01,2016,5
"광주",89,2016-05-01,2016,5
"대전",91,2016-05-01,2016,5
"울산",67,2016-05-01,2016,5
"세종",10,2016-05-01,2016,5
"경기",683,2016-05-01,2016,5
"강원",105,2016-05-01,2016,5
"충북",132,2016-05-01,2016,5
"충남",109,2016-05-01,2016,5
"전북",120,2016-05-01,2016,5
"전남",102,2016-05-01,2016,5
"경북",92,2016-05-01,2016,5
"경남",147,2016-05-01,2016,5
"제주",54,2016-05-01,2016,5
"서울",359,2016-06-01,2016,6
"부산",144,2016-06-01,2016,6
"대구",106,2016-06-01,2016,6
"인천",200,2016-06-01,2016,6
"광주",89,2016-06-01,2016,6
"대전",184,2016-06-01,2016,6
"울산",80,2016-06-01,2016,6
"세종",8,2016-06-01,2016,6
"경기",690,2016-06-01,2016,6
"강원",117,2016-06-01,2016,6
"충북",115,2016-06-01,2016,6
"충남",112,2016-06-01,2016,6
"전북",128,2016-06-01,2016,6
"전남",83,2016-06-01,2016,6
"경북",84,2016-06-01,2016,6
"경남",166,2016-06-01,2016,6
"제주",37,2016-06-01,2016,6
"서울",388,2016-07-01,2016,7
"부산",158,2016-07-01,2016,7
"대구",113,2016-07-01,2016,7
"인천",217,2016-07-01,2016,7
"광주",108,2016-07-01,2016,7
"대전",164,2016-07-01,2016,7
"울산",71,2016-07-01,2016,7
"세종",16,2016-07-01,2016,7
"경기",894,2016-07-01,2016,7
"강원",148,2016-07-01,2016,7
"충북",156,2016-07-01,2016,7
"충남",107,2016-07-01,2016,7
"전북",143,2016-07-01,2016,7
"전남",93,2016-07-01,2016,7
"경북",124,2016-07-01,2016,7
"경남",184,2016-07-01,2016,7
"제주",33,2016-07-01,2016,7
"서울",403,2016-08-01,2016,8
"부산",148,2016-08-01,2016,8
"대구",118,2016-08-01,2016,8
"인천",222,2016-08-01,2016,8
"광주",81,2016-08-01,2016,8
"대전",159,2016-08-01,2016,8
"울산",88,2016-08-01,2016,8
"세종",6,2016-08-01,2016,8
"경기",806,2016-08-01,2016,8
"강원",179,2016-08-01,2016,8
"충북",135,2016-08-01,2016,8
"충남",113,2016-08-01,2016,8
"전북",154,2016-08-01,2016,8
"전남",108,2016-08-01,2016,8
"경북",114,2016-08-01,2016,8
"경남",183,2016-08-01,2016,8
"제주",46,2016-08-01,2016,8
"서울",418,2016-09-01,2016,9
"부산",153,2016-09-01,2016,9
"대구",118,2016-09-01,2016,9
"인천",190,2016-09-01,2016,9
"광주",94,2016-09-01,2016,9
"대전",136,2016-09-01,2016,9
"울산",79,2016-09-01,2016,9
"세종",14,2016-09-01,2016,9
"경기",747,2016-09-01,2016,9
"강원",137,2016-09-01,2016,9
"충북",115,2016-09-01,2016,9
"충남",124,2016-09-01,2016,9
"전북",121,2016-09-01,2016,9
"전남",102,2016-09-01,2016,9
"경북",107,2016-09-01,2016,9
"경남",185,2016-09-01,2016,9
"제주",44,2016-09-01,2016,9
"서울",336,2016-10-01,2016,10
"부산",157,2016-10-01,2016,10
"대구",101,2016-10-01,2016,10
"인천",175,2016-10-01,2016,10
"광주",96,2016-10-01,2016,10
"대전",147,2016-10-01,2016,10
"울산",71,2016-10-01,2016,10
"세종",15,2016-10-01,2016,10
"경기",716,2016-10-01,2016,10
"강원",121,2016-10-01,2016,10
"충북",123,2016-10-01,2016,10
"충남",119,2016-10-01,2016,10
"전북",142,2016-10-01,2016,10
"전남",94,2016-10-01,2016,10
"경북",93,2016-10-01,2016,10
"경남",166,2016-10-01,2016,10
"제주",38,2016-10-01,2016,10
"서울",278,2016-11-01,2016,11
"부산",150,2016-11-01,2016,11
"대구",80,2016-11-01,2016,11
"인천",155,2016-11-01,2016,11
"광주",75,2016-11-01,2016,11
"대전",132,2016-11-01,2016,11
"울산",61,2016-11-01,2016,11
"세종",11,2016-11-01,2016,11
"경기",566,2016-11-01,2016,11
"강원",117,2016-11-01,2016,11
"충북",131,2016-11-01,2016,11
"충남",88,2016-11-01,2016,11
