,0,1
0,멸종위기,941
1,멸종,509
2,생물,506
3,멸종위기종,482
4,야생,479
7,환경부,238
8,종,216
9,보호,216
10,지정,210
14,위기,166
15,식물,162
16,동물,159
17,있다,152
18,서식,149
19,수,145
20,보전,139
21,발견,137
22,복원,128
24,국제,123
25,사진,120
26,확인,115
27,세계,110
28,있는,101
29,사업,100
30,개체,97
31,마리,92
32,맹꽁이,92
33,서식지,91
34,환경,91
35,지역,90
37,국립생태원,88
38,지난,87
39,협약,85
41,천연기념물,81
42,지구,80
43,위해,76
44,이번,73
45,해양,72
46,자연,71
48,증식,66
49,바다거북,65
50,호랑이,65
51,야생동물,65
52,한국,63
53,최근,60
54,보존,59
55,뉴스,59
56,종이,58
57,제공,58
59,연합,57
60,솔개,57
61,기후변화,56
62,곤충,56
63,인간,54
64,환경운동,53
65,조사,53
66,펭귄,52
67,통해,52
69,목록,51
