국가별,시점,적색지수
대한민국,2000,0.76
대한민국,2001,0.76
대한민국,2002,0.75
대한민국,2003,0.75
대한민국,2004,0.75
대한민국,2005,0.74
대한민국,2006,0.74
대한민국,2007,0.74
대한민국,2008,0.73
대한민국,2009,0.73
대한민국,2010,0.73
대한민국,2011,0.73
대한민국,2012,0.72
대한민국,2013,0.72
대한민국,2014,0.72
대한민국,2015,0.71
대한민국,2016,0.71
대한민국,2017,0.71
대한민국,2018,0.7
대한민국,2019,0.7
대한민국,2020,0.7
대한민국,2021,0.7
대한민국,2022,0.69
아제르바이잔,2000,0.92
아제르바이잔,2001,0.91
아제르바이잔,2002,0.91
아제르바이잔,2003,0.91
아제르바이잔,2004,0.91
아제르바이잔,2005,0.91
아제르바이잔,2006,0.91
아제르바이잔,2007,0.91
아제르바이잔,2008,0.91
아제르바이잔,2009,0.91
아제르바이잔,2010,0.91
아제르바이잔,2011,0.91
아제르바이잔,2012,0.91
아제르바이잔,2013,0.91
아제르바이잔,2014,0.91
아제르바이잔,2015,0.91
아제르바이잔,2016,0.91
아제르바이잔,2017,0.91
아제르바이잔,2018,0.91
아제르바이잔,2019,0.91
아제르바이잔,2020,0.91
아제르바이잔,2021,0.91
아제르바이잔,2022,0.91
바레인,2000,0.81
바레인,2001,0.81
바레인,2002,0.8
바레인,2003,0.8
바레인,2004,0.8
바레인,2005,0.8
바레인,2006,0.79
바레인,2007,0.79
바레인,2008,0.79
바레인,2009,0.79
바레인,2010,0.78
바레인,2011,0.78
바레인,2012,0.78
바레인,2013,0.77
바레인,2014,0.77
바레인,2015,0.77
바레인,2016,0.76
바레인,2017,0.76
바레인,2018,0.76
바레인,2019,0.75
바레인,2020,0.75
바레인,2021,0.75
바레인,2022,0.74
중국,2000,0.8
중국,2001,0.8
중국,2002,0.8
중국,2003,0.79
중국,2004,0.79
중국,2005,0.79
중국,2006,0.78
중국,2007,0.78
중국,2008,0.78
중국,2009,0.77
중국,2010,0.77
중국,2011,0.77
중국,2012,0.76
중국,2013,0.76
중국,2014,0.76
중국,2015,0.75
중국,2016,0.75
중국,2017,0.75
중국,2018,0.74
중국,2019,0.74
중국,2020,0.74
중국,2021,0.73
중국,2022,0.73
키프로스,2000,0.99
키프로스,2001,0.99
키프로스,2002,0.99
키프로스,2003,0.99
키프로스,2004,0.99
키프로스,2005,0.99
키프로스,2006,0.99
키프로스,2007,0.99
키프로스,2008,0.99
키프로스,2009,0.99
키프로스,2010,0.99
키프로스,2011,0.99
키프로스,2012,0.99
키프로스,2013,0.99
키프로스,2014,0.99
키프로스,2015,0.99
키프로스,2016,0.99
키프로스,2017,0.99
키프로스,2018,0.99
키프로스,2019,0.99
키프로스,2020,0.99
키프로스,2021,0.99
키프로스,2022,0.99
조지아,2000,0.9
조지아,2001,0.9
조지아,2002,0.9
조지아,2003,0.9
조지아,2004,0.9
조지아,2005,0.9
조지아,2006,0.9
조지아,2007,0.89
조지아,2008,0.89
조지아,2009,0.89
조지아,2010,0.89
조지아,2011,0.89
조지아,2012,0.89
조지아,2013,0.89
조지아,2014,0.89
조지아,2015,0.89
조지아,2016,0.89
조지아,2017,0.89
조지아,2018,0.89
조지아,2019,0.89
조지아,2020,0.89
조지아,2021,0.89
조지아,2022,0.89
홍콩,2000,0.84
홍콩,2001,0.84
홍콩,2002,0.84
홍콩,2003,0.84
홍콩,2004,0.84
홍콩,2005,0.84
홍콩,2006,0.84
홍콩,2007,0.84
홍콩,2008,0.84
홍콩,2009,0.84
홍콩,2010,0.84
홍콩,2011,0.84
홍콩,2012,0.84
홍콩,2013,0.84
홍콩,2014,0.84
홍콩,2015,0.84
홍콩,2016,0.84
홍콩,2017,0.84
홍콩,2018,0.84
홍콩,2019,0.84
홍콩,2020,0.84
홍콩,2021,0.84
홍콩,2022,0.84
인도,2000,0.75
인도,2001,0.74
인도,2002,0.74
인도,2003,0.74
인도,2004,0.73
인도,2005,0.73
인도,2006,0.73
인도,2007,0.72
인도,2008,0.72
인도,2009,0.71
인도,2010,0.71
인도,2011,0.71
인도,2012,0.7
인도,2013,0.7
인도,2014,0.7
인도,2015,0.69
인도,2016,0.69
인도,2017,0.69
인도,2018,0.68
인도,2019,0.68
인도,2020,0.68
인도,2021,0.67
인도,2022,0.67
인도네시아,2000,0.84
인도네시아,2001,0.84
인도네시아,2002,0.83
인도네시아,2003,0.83
인도네시아,2004,0.82
인도네시아,2005,0.82
인도네시아,2006,0.82
인도네시아,2007,0.81
인도네시아,2008,0.81
인도네시아,2009,0.8
인도네시아,2010,0.8
인도네시아,2011,0.8
인도네시아,2012,0.79
인도네시아,2013,0.79
인도네시아,2014,0.78
인도네시아,2015,0.78
인도네시아,2016,0.78
인도네시아,2017,0.77
인도네시아,2018,0.77
인도네시아,2019,0.77
인도네시아,2020,0.76
인도네시아,2021,0.76
인도네시아,2022,0.75
이란,2000,0.9
이란,2001,0.9
이란,2002,0.9
이란,2003,0.89
이란,2004,0.89
이란,2005,0.89
이란,2006,0.88
이란,2007,0.88
이란,2008,0.88
이란,2009,0.87
이란,2010,0.87
이란,2011,0.87
이란,2012,0.87
이란,2013,0.86
이란,2014,0.86
이란,2015,0.85
이란,2016,0.85
이란,2017,0.85
이란,2018,0.85
이란,2019,0.84
이란,2020,0.84
이란,2021,0.84
이란,2022,0.83
이라크,2000,0.85
이라크,2001,0.85
이라크,2002,0.85
이라크,2003,0.84
이라크,2004,0.84
이라크,2005,0.83
이라크,2006,0.83
이라크,2007,0.83
이라크,2008,0.83
이라크,2009,0.82
이라크,2010,0.82
이라크,2011,0.82
이라크,2012,0.82
이라크,2013,0.81
이라크,2014,0.81
이라크,2015,0.81
이라크,2016,0.81
이라크,2017,0.8
이라크,2018,0.8
이라크,2019,0.8
이라크,2020,0.8
이라크,2021,0.79
이라크,2022,0.79
이스라엘,2000,0.73
이스라엘,2001,0.73
이스라엘,2002,0.72
이스라엘,2003,0.72
이스라엘,2004,0.72
이스라엘,2005,0.72
이스라엘,2006,0.72
이스라엘,2007,0.72
이스라엘,2008,0.72
이스라엘,2009,0.72
이스라엘,2010,0.72
이스라엘,2011,0.72
이스라엘,2012,0.72
이스라엘,2013,0.72
이스라엘,2014,0.72
이스라엘,2015,0.72
이스라엘,2016,0.72
이스라엘,2017,0.72
이스라엘,2018,0.72
이스라엘,2019,0.72
이스라엘,2020,0.72
이스라엘,2021,0.72
이스라엘,2022,0.72
일본,2000,0.83
일본,2001,0.82
일본,2002,0.82
일본,2003,0.82
일본,2004,0.82
일본,2005,0.81
일본,2006,0.81
일본,2007,0.81
일본,2008,0.8
일본,2009,0.8
일본,2010,0.8
일본,2011,0.8
일본,2012,0.79
일본,2013,0.79
일본,2014,0.79
일본,2015,0.78
일본,2016,0.78
일본,2017,0.78
일본,2018,0.77
일본,2019,0.77
일본,2020,0.77
일본,2021,0.76
일본,2022,0.76
요르단,2000,0.97
요르단,2001,0.97
요르단,2002,0.97
요르단,2003,0.97
요르단,2004,0.97
요르단,2005,0.97
요르단,2006,0.97
요르단,2007,0.97
요르단,2008,0.97
요르단,2009,0.97
요르단,2010,0.97
요르단,2011,0.97
요르단,2012,0.97
요르단,2013,0.97
요르단,2014,0.97
요르단,2015,0.97
요르단,2016,0.97
요르단,2017,0.97
요르단,2018,0.97
요르단,2019,0.97
요르단,2020,0.97
요르단,2021,0.97
요르단,2022,0.97
카자흐스탄,2000,0.88
카자흐스탄,2001,0.88
카자흐스탄,2002,0.88
카자흐스탄,2003,0.88
카자흐스탄,2004,0.88
