네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
화장품/미용 > 향수 > 여성향수
화장품/미용 > 향수 > 남성향수
조회기간 : 2022.06.11. ~ 2022.07.11. 일간
기기별 : 전체
성별 : 전체
연령별 : 50대,40대

"날짜","여성향수","남성향수"
"2019-01-01",47,17
"2019-01-02",50,19
"2019-01-03",54,19
"2019-01-04",51,16
"2019-01-05",51,18
"2019-01-06",55,21
"2019-01-07",57,19
"2019-01-08",55,20
"2019-01-09",51,18
"2019-01-10",51,18
"2019-01-11",47,16
"2019-01-12",47,18
"2019-01-13",51,20
"2019-01-14",50,19
"2019-01-15",57,21
"2019-01-16",56,21
"2019-01-17",58,21
"2019-01-18",55,20
"2019-01-19",50,18
"2019-01-20",57,21
"2019-01-21",56,21
"2019-01-22",60,24
"2019-01-23",60,22
"2019-01-24",60,21
"2019-01-25",53,19
"2019-01-26",56,19
"2019-01-27",60,23
"2019-01-28",54,21
"2019-01-29",56,21
"2019-01-30",53,20
"2019-01-31",52,18
"2019-02-01",51,19
"2019-02-02",51,18
"2019-02-03",54,19
"2019-02-04",44,18
"2019-02-05",46,20
"2019-02-06",68,25
"2019-02-07",69,29
"2019-02-08",74,27
"2019-02-09",70,27
"2019-02-10",77,32
"2019-02-11",66,30
"2019-02-12",69,30
"2019-02-13",66,32
"2019-02-14",66,32
"2019-02-15",63,22
"2019-02-16",59,21
"2019-02-17",64,25
"2019-02-18",56,23
"2019-02-19",62,24
"2019-02-20",65,26
"2019-02-21",58,22
"2019-02-22",52,19
"2019-02-23",55,20
"2019-02-24",64,22
"2019-02-25",56,21
"2019-02-26",54,21
"2019-02-27",57,20
"2019-02-28",52,18
"2019-03-01",60,18
"2019-03-02",55,20
"2019-03-03",57,21
"2019-03-04",58,23
"2019-03-05",59,22
"2019-03-06",59,23
"2019-03-07",58,21
"2019-03-08",72,24
"2019-03-09",60,23
"2019-03-10",68,26
"2019-03-11",65,25
"2019-03-12",66,22
"2019-03-13",61,23
"2019-03-14",65,23
"2019-03-15",52,22
"2019-03-16",55,22
"2019-03-17",58,24
"2019-03-18",52,27
"2019-03-19",55,26
"2019-03-20",54,25
"2019-03-21",52,23
"2019-03-22",53,22
"2019-03-23",52,20
"2019-03-24",52,21
"2019-03-25",54,22
"2019-03-26",54,22
"2019-03-27",50,23
"2019-03-28",46,22
"2019-03-29",46,20
"2019-03-30",56,20
"2019-03-31",61,25
"2019-04-01",54,25
"2019-04-02",55,26
"2019-04-03",50,23
"2019-04-04",50,21
"2019-04-05",47,20
"2019-04-06",47,19
"2019-04-07",50,23
"2019-04-08",48,22
"2019-04-09",48,23
"2019-04-10",47,22
"2019-04-11",49,21
"2019-04-12",47,19
"2019-04-13",44,17
"2019-04-14",52,20
"2019-04-15",48,20
"2019-04-16",52,22
"2019-04-17",52,22
"2019-04-18",56,20
"2019-04-19",53,20
"2019-04-20",59,20
"2019-04-21",58,20
"2019-04-22",51,23
"2019-04-23",56,23
"2019-04-24",56,22
"2019-04-25",55,21
"2019-04-26",50,20
"2019-04-27",51,17
"2019-04-28",52,21
"2019-04-29",56,22
"2019-04-30",53,21
"2019-05-01",61,25
"2019-05-02",54,23
"2019-05-03",49,20
"2019-05-04",53,18
"2019-05-05",51,20
"2019-05-06",59,23
"2019-05-07",60,23
"2019-05-08",60,23
"2019-05-09",60,24
"2019-05-10",56,20
"2019-05-11",56,21
"2019-05-12",57,21
"2019-05-13",59,22
"2019-05-14",69,24
"2019-05-15",73,25
"2019-05-16",67,24
"2019-05-17",62,21
"2019-05-18",62,21
"2019-05-19",69,24
"2019-05-20",77,29
"2019-05-21",68,26
"2019-05-22",64,24
"2019-05-23",66,24
"2019-05-24",56,21
"2019-05-25",62,21
"2019-05-26",57,24
"2019-05-27",64,25
"2019-05-28",60,24
"2019-05-29",61,24
"2019-05-30",63,25
"2019-05-31",62,23
"2019-06-01",61,26
"2019-06-02",63,29
"2019-06-03",69,31
"2019-06-04",70,33
"2019-06-05",65,29
"2019-06-06",60,27
"2019-06-07",59,26
"2019-06-08",59,25
"2019-06-09",70,28
"2019-06-10",69,28
"2019-06-11",92,32
"2019-06-12",78,31
"2019-06-13",74,29
"2019-06-14",68,25
"2019-06-15",61,23
"2019-06-16",66,26
"2019-06-17",66,26
"2019-06-18",69,29
"2019-06-19",64,29
"2019-06-20",66,28
"2019-06-21",62,26
"2019-06-22",62,27
"2019-06-23",80,29
"2019-06-24",67,30
"2019-06-25",67,30
"2019-06-26",71,33
"2019-06-27",66,29
"2019-06-28",60,26
"2019-06-29",70,26
"2019-06-30",63,27
"2019-07-01",69,31
"2019-07-02",69,28
"2019-07-03",66,28
"2019-07-04",64,27
"2019-07-05",62,26
"2019-07-06",57,24
"2019-07-07",61,27
"2019-07-08",65,27
"2019-07-09",62,26
"2019-07-10",60,27
"2019-07-11",61,25
"2019-07-12",58,23
"2019-07-13",60,23
"2019-07-14",81,27
"2019-07-15",65,25
"2019-07-16",70,27
"2019-07-17",68,27
"2019-07-18",66,26
"2019-07-19",57,23
"2019-07-20",54,21
"2019-07-21",62,25
"2019-07-22",59,25
"2019-07-23",59,24
"2019-07-24",61,25
"2019-07-25",57,24
"2019-07-26",54,23
"2019-07-27",52,21
"2019-07-28",59,23
"2019-07-29",57,25
"2019-07-30",60,24
"2019-07-31",59,22
"2019-08-01",63,24
"2019-08-02",56,23
"2019-08-03",56,21
"2019-08-04",56,22
"2019-08-05",55,22
"2019-08-06",63,25
"2019-08-07",61,24
"2019-08-08",63,23
"2019-08-09",59,20
"2019-08-10",58,21
"2019-08-11",56,27
"2019-08-12",59,25
"2019-08-13",74,25
"2019-08-14",62,23
