날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 06월 30일,"230,500","234,000","235,000","230,500",0.01K,-1.50%
2022년 06월 29일,"234,000","237,000","237,000","233,000",0.29K,-3.70%
2022년 06월 28일,"243,000","238,500","243,000","238,500",247.55K,2.10%
2022년 06월 27일,"238,000","240,500","240,500","233,500",0.03K,0.00%
2022년 06월 26일,"238,000","238,000","238,000","238,000",-,0.00%
2022년 06월 24일,"238,000","234,000","239,500","229,500",327.40K,1.71%
2022년 06월 23일,"234,000","239,000","241,000","233,500",0.08K,-3.51%
2022년 06월 22일,"242,500","252,500","252,500","241,000",0.03K,-3.19%
2022년 06월 21일,"250,500","253,500","255,000","248,500",217.80K,-0.79%
2022년 06월 20일,"252,500","264,000","264,000","250,500",0.00K,-3.81%
2022년 06월 17일,"262,500","260,000","265,000","259,500",599.42K,-1.87%
2022년 06월 16일,"267,500","263,500","270,000","263,500",295.80K,2.29%
2022년 06월 15일,"261,500","265,500","266,000","259,000",0.10K,-0.76%
2022년 06월 14일,"263,500","262,000","265,000","261,000",0.00K,-1.68%
2022년 06월 13일,"268,000","273,500","274,000","268,000",372.82K,-3.94%
2022년 06월 12일,"279,000","279,000","279,000","279,000",-,0.00%
2022년 06월 10일,"279,000","282,500","282,500","278,000",277.30K,-2.45%
2022년 06월 09일,"286,000","285,000","287,000","284,000",0.02K,0.18%
2022년 06월 08일,"285,500","287,500","290,000","285,000",151.46K,-0.52%
2022년 06월 07일,"287,000","290,000","293,000","286,500",0.00K,-1.03%
2022년 06월 06일,"290,000","290,000","290,000","290,000",-,0.00%
2022년 06월 03일,"290,000","290,500","295,000","289,000",237.22K,0.69%
2022년 06월 02일,"288,000","291,000","291,000","286,000",0.01K,-0.35%
2022년 06월 01일,"289,000","289,000","289,000","289,000",-,0.00%
2022년 05월 31일,"289,000","294,000","294,000","288,000",640.59K,-1.70%
2022년 05월 30일,"294,000","295,000","296,000","292,500",199.36K,0.00%
2022년 05월 27일,"294,000","295,000","296,500","292,000",240.37K,0.00%
2022년 05월 26일,"294,000","289,000","294,000","289,000",0.00K,1.20%
2022년 05월 25일,"290,500","293,000","294,000","290,500",194.07K,0.52%
2022년 05월 24일,"289,000","291,500","295,500","289,000",0.05K,-1.20%
2022년 05월 23일,"292,500","292,000","293,500","289,000",0.11K,0.34%
2022년 05월 22일,"291,500","291,500","291,500","291,500",-,0.00%
2022년 05월 20일,"291,500","286,500","293,000","286,500",205.52K,2.28%
2022년 05월 19일,"285,000","280,000","287,500","279,500",0.10K,-1.04%
2022년 05월 18일,"288,000","289,000","290,500","287,000",0.01K,0.17%
2022년 05월 17일,"287,500","283,000","288,500","283,000",0.10K,2.31%
2022년 05월 16일,"281,000","282,000","283,500","279,500",0.11K,0.18%
2022년 05월 15일,"280,500","280,500","280,500","280,500",-,0.00%
2022년 05월 13일,"280,500","276,500","282,000","273,000",254.30K,2.75%
2022년 05월 12일,"273,000","272,500","279,000","272,500",0.06K,-0.55%
2022년 05월 11일,"274,500","275,500","276,500","273,000",0.00K,-0.54%
2022년 05월 10일,"276,000","277,500","280,000","272,000",289.46K,-1.78%
2022년 05월 09일,"281,000","284,500","286,000","280,500",179.86K,-1.75%
2022년 05월 08일,"286,000","286,000","286,000","286,000",-,0.00%
2022년 05월 06일,"286,000","286,000","288,000","284,000",191.95K,-1.89%
2022년 05월 04일,"291,500","289,000","298,000","289,000",192.49K,0.87%
2022년 05월 03일,"289,000","292,000","295,000","289,000",154.11K,-1.37%
2022년 05월 02일,"293,000","285,000","293,500","284,500",233.77K,1.38%
2022년 04월 29일,"289,000","286,500","290,500","285,500",177.86K,-0.34%
2022년 04월 28일,"290,000","280,500","290,000","280,500",1.58K,4.32%
2022년 04월 27일,"278,000","279,000","279,500","276,000",0.05K,-2.11%
2022년 04월 26일,"284,000","288,000","288,500","282,000",0.00K,-0.70%
