"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 06월 30일","32,100","32,850","33,300","32,100","0.01K","-1.83%"
"2022년 06월 29일","32,700","32,750","33,100","32,500","0.04K","-2.10%"
"2022년 06월 28일","33,400","32,950","34,000","32,950","0.00K","0.91%"
"2022년 06월 27일","33,100","33,150","33,600","32,400","0.57K","0.91%"
"2022년 06월 24일","32,800","31,450","33,150","31,350","668.77K","3.63%"
"2022년 06월 23일","31,650","32,250","32,750","31,150","0.12K","-2.62%"
"2022년 06월 22일","32,500","34,200","34,350","32,450","0.06K","-4.41%"
"2022년 06월 21일","34,000","34,250","34,450","33,750","498.28K","0.29%"
"2022년 06월 20일","33,900","36,250","36,300","33,600","0.20K","-6.09%"
"2022년 06월 19일","36,100","36,100","36,100","36,100","-","0.00%"
"2022년 06월 17일","36,100","36,150","36,300","35,400","866.68K","-3.09%"
"2022년 06월 16일","37,250","37,450","38,000","37,050","0.01K","0.54%"
"2022년 06월 15일","37,050","38,150","38,350","36,600","600.33K","-2.11%"
"2022년 06월 14일","37,850","37,700","38,400","37,500","0.02K","-1.69%"
"2022년 06월 13일","38,500","39,700","39,700","38,500","0.00K","-5.06%"
"2022년 06월 10일","40,550","41,000","41,000","40,100","418.23K","-2.17%"
"2022년 06월 09일","41,450","41,100","41,450","40,800","0.02K","0.36%"
"2022년 06월 08일","41,300","41,550","41,700","41,150","0.01K","-0.24%"
"2022년 06월 07일","41,400","41,500","41,850","40,950","345.96K","-0.72%"
"2022년 06월 06일","41,700","41,700","41,700","41,700","-","0.00%"
"2022년 06월 03일","41,700","41,800","42,250","41,500","283.54K","0.60%"
"2022년 06월 02일","41,450","41,250","42,200","40,850","518.64K","0.48%"
"2022년 06월 01일","41,250","41,250","41,250","41,250","-","0.00%"
"2022년 05월 31일","41,250","41,400","41,500","40,900","613.66K","-0.12%"
"2022년 05월 30일","41,300","41,400","41,650","40,900","261.73K","0.61%"
"2022년 05월 27일","41,050","41,450","41,450","40,900","227.49K","0.12%"
"2022년 05월 26일","41,000","40,450","41,200","40,450","292.43K","1.11%"
"2022년 05월 25일","40,550","40,450","40,900","40,250","279.40K","0.75%"
"2022년 05월 24일","40,250","40,400","41,300","40,200","0.06K","-0.25%"
"2022년 05월 23일","40,350","40,500","40,500","40,050","1.40K","0.50%"
"2022년 05월 20일","40,150","39,800","40,600","39,750","366.22K","1.77%"
"2022년 05월 19일","39,450","39,200","39,750","39,200","444.85K","-1.87%"
"2022년 05월 18일","40,200","40,700","40,700","40,000","381.74K","-0.50%"
"2022년 05월 17일","40,400","40,100","41,050","40,100","372.68K","0.62%"
"2022년 05월 16일","40,150","40,750","40,850","40,000","0.00K","-0.86%"
"2022년 05월 13일","40,500","40,000","40,600","39,950","388.98K","1.38%"
"2022년 05월 12일","39,950","39,900","40,950","39,700","0.02K","-1.11%"
"2022년 05월 11일","40,400","40,800","41,100","40,300","0.02K","-1.46%"
"2022년 05월 10일","41,000","41,550","41,650","40,450","542.03K","-2.38%"
"2022년 05월 09일","42,000","43,150","43,550","41,950","493.09K","-2.67%"
"2022년 05월 08일","43,150","43,150","43,150","43,150","-","0.00%"
