,단어,검색수
0,공연,221
1,문화,84
2,예술,55
3,기자,39
4,광주,29
5,회관,28
6,이번,23
7,시민,22
8,국악,22
9,오후,22
10,뮤지컬,21
11,날,21
12,뉴스,20
13,서울,19
14,공연예술,19
15,제공,18
16,문화재단,18
17,은,18
18,위해,18
19,개최,18
20,등,17
21,한국,17
22,지역,17
23,무대,16
24,진행,16
25,정보,15
26,사업,15
27,수,14
28,기회,14
29,극장,14
30,아트,14
31,중,14
32,여름,13
33,위,13
34,사진,12
35,뮤지컬,249
36,마타하리,242
37,공연,187
38,무대,164
39,서울,164
40,중,162
41,뉴스,161
42,장치,160
43,오후,90
44,배우,88
45,등,82
46,두,82
47,명,81
48,김민지,80
49,기자,80
50,윤,80
51,소호,80
52,사고,80
53,발생,80
54,송파구,80
55,샤,80
56,롯데,80
57,씨,80
58,터,80
59,진행,80
60,이동,80
61,정보,21
62,드라큘라,15
63,가사,12
64,티켓,10
65,오픈,9
66,추천,8
67,목,7
68,한국,7
69,마틸다,7
70,콘서트,209
71,기자,41
72,공연,41
73,우쿨렐레,36
74,개최,34
75,부산,32
76,를,30
77,단독,29
78,지난,27
79,서울,26
80,진행,26
81,문화,24
82,가수,23
83,사진,21
84,토크,21
85,의,19
86,제공,19
87,이번,19
88,키즈,18
89,랜드,18
90,홀,17
91,티켓,15
92,오후,15
93,뉴스,14
94,날,14
95,임영웅,14
96,소속사,13
97,라이브,13
98,북,13
99,이,12
100,전,12
101,무대,12
102,회,12
103,전국투어,12
104,편,12
