No.,countryname,number,LOCATION,alpha-2
1,가나,288,GHA,GH
2,가봉,266,GAB,GA
3,가이아나,328,GUY,GY
4,감비아,270,GMB,GM
5,건지 섬,831,GGY,GG
6,과들루프,312,GLP,GP
7,과테말라,320,GTM,GT
8,괌,316,GUM,GU
9,그레나다,308,GRD,GD
10,조지아,268,GEO,GE
11,그리스,300,GRC,GR
12,그린란드,304,GRL,GL
13,기니,324,GIN,GN
14,기니비사우,624,GNB,GW
15,나미비아,516,NAM,NA
16,나우루,520,NRU,NR
17,나이지리아,566,NGA,NG
18,남극,10,ATA,AQ
19,남아프리카 공화국,710,ZAF,ZA
20,네덜란드,528,NLD,NL
21,네덜란드령 안틸레스,530,ANT,AN
22,네팔,524,NPL,NP
23,노르웨이,578,NOR,NO
24,노퍽 섬,574,NFK,NF
25,누벨칼레도니,540,NCL,NC
26,뉴질랜드,554,NZL,NZ
27,니우에,570,NIU,NU
28,니제르,562,NER,NE
29,니카라과,558,NIC,NI
30,대한민국,410,KOR,KR
31,덴마크,208,DNK,DK
32,도미니카,212,DMA,DM
33,도미니카 공화국,214,DOM,DO
34,독일,276,DEU,DE
35,동티모르,626,TLS,TL
36,라오스,418,LAO,LA
37,라이베리아,430,LBR,LR
38,라트비아,428,LVA,LV
39,러시아,643,RUS,RU
40,레바논,422,LBN,LB
41,레소토,426,LSO,LS
42,레위니옹,638,REU,RE
43,루마니아,642,ROU,RO
44,룩셈부르크,442,LUX,LU
45,르완다,646,RWA,RW
46,리비아,434,LBY,LY
47,리투아니아,440,LTU,LT
48,리히텐슈타인,438,LIE,LI
49,마다가스카르,450,MDG,MG
50,마르티니크,474,MTQ,MQ
51,마셜 제도,584,MHL,MH
52,마요트,175,MYT,YT
53,마카오,446,MAC,MO
54,마케도니아 공화국,807,MKD,MK
55,말라위,454,MWI,MW
56,말레이시아,458,MYS,MY
57,말리,466,MLI,ML
58,맨 섬,833,IMN,IM
59,멕시코,484,MEX,MX
60,모나코,492,MCO,MC
61,모로코,504,MAR,MA
62,모리셔스,480,MUS,MU
63,모리타니,478,MRT,MR
64,모잠비크,508,MOZ,MZ
65,몬테네그로,499,MNE,ME
66,몬트세랫,500,MSR,MS
