Team,Outcome,Task_Completed,All_Tasks_Completed,Murdered,Imposter_Kills,Game_Length,Ejected,Sabotages_Fixed,Time_to_complete_all_tasks
Crewmate,Win,3,No,Yes,,424,No,2.0,
Crewmate,Loss,7,Yes,No,,981,No,1.0,09m 48s
Crewmate,Win,3,No,No,,693,No,0.0,
Imposter,Win,,,,2,485,No,,
Crewmate,Loss,4,No,No,,310,No,0.0,
Crewmate,Loss,7,Yes,Yes,,982,No,0.0,12m 16s
Crewmate,Loss,8,Yes,Yes,,1301,No,1.0,18m 38s
Crewmate,Win,8,Yes,No,,1123,Yes,0.0,07m 48s
Crewmate,Win,7,Yes,Yes,,795,No,0.0,13m 15s
Crewmate,Loss,7,Yes,Yes,,763,No,0.0,12m 43s
Crewmate,Win,4,No,Yes,,660,No,0.0,
Crewmate,Win,7,Yes,No,,1063,No,0.0,11m 59s
Crewmate,Loss,6,No,Yes,,826,No,0.0,
Imposter,Loss,,,,3,952,Yes,,
Crewmate,Win,7,Yes,Yes,,1134,No,1.0,11m 09s
Crewmate,Loss,7,Yes,Yes,,480,No,0.0,01m 41s
Crewmate,Win,7,Yes,Yes,,1086,No,0.0,09m 34s
Crewmate,Win,7,Yes,Yes,,778,No,1.0,09m 03s
Crewmate,Win,7,Yes,Yes,,897,No,0.0,14m 50s
Crewmate,Loss,7,Yes,Yes,,663,No,0.0,10m 34s
Crewmate,Loss,2,No,Yes,,883,No,0.0,
Crewmate,Loss,3,No,Yes,,514,No,1.0,
Crewmate,Loss,8,Yes,No,,332,No,0.0,05m 32s
Crewmate,Win,8,Yes,Yes,,1004,No,0.0,14m 45s
Crewmate,Loss,8,Yes,Yes,,551,No,1.0,08m 29s
Crewmate,Loss,8,Yes,Yes,,890,No,0.0,05m 56s
Crewmate,Loss,8,Yes,Yes,,1069,No,0.0,17m 12s
Imposter,Loss,,,,2,1081,No,,
Crewmate,Win,8,Yes,Yes,,710,No,1.0,06m 00s
Crewmate,Win,5,Yes,No,,566,No,2.0,08m 16s
Crewmate,Win,1,No,No,,188,No,1.0,
Imposter,Loss,,,,1,155,Yes,,
Crewmate,Win,1,No,No,,147,No,0.0,
Crewmate,Win,3,No,No,,293,No,1.0,
Crewmate,Win,1,No,Yes,,324,No,0.0,
Imposter,Loss,,,,2,1179,No,,
Crewmate,Loss,2,No,Yes,,619,No,0.0,
Imposter,Win,,,,5,763,No,,
Crewmate,Win,8,Yes,No,,841,No,1.0,09m 28s
Imposter,Win,,,,1,950,No,,
Crewmate,Win,3,No,No,,778,No,0.0,
Imposter,Loss,,,,2,899,No,,
Crewmate,Win,8,Yes,No,,677,No,2.0,11m 16s
Crewmate,Win,8,Yes,Yes,,1335,No,3.0,14m 00s
Imposter,Loss,,,,2,774,Yes,,
Crewmate,Win,5,No,Yes,,912,No,0.0,
Crewmate,Win,4,No,No,,576,No,0.0,
Imposter,Win,,,,1,1096,No,,
Crewmate,Win,5,No,No,,628,No,0.0,
Crewmate,Win,7,No,No,,723,No,0.0,
Crewmate,Win,7,No,No,,930,No,1.0,
Imposter,Win,,,,3,715,No,,
Crewmate,Loss,8,Yes,Yes,,722,No,0.0,05m 28s
Crewmate,Loss,6,No,No,,860,No,0.0,
Crewmate,Loss,8,Yes,No,,782,No,0.0,08m 50s
Crewmate,Loss,7,No,No,,313,No,0.0,
Crewmate,Win,7,No,Yes,,405,No,0.0,
Imposter,Win,,,,2,756,No,,
Imposter,Loss,,,,1,88,Yes,,
Crewmate,Loss,6,No,Yes,,314,No,1.0,
Crewmate,Win,8,Yes,No,,466,No,0.0,07m 46s
Crewmate,Loss,7,Yes,Yes,,1178,No,1.0,11m 00s
Crewmate,Loss,7,Yes,Yes,,739,No,1.0,09m 01s
Imposter,Win,,,,3,535,No,,
Crewmate,Win,8,Yes,Yes,,1106,No,1.0,14m 32s
Crewmate,Loss,8,Yes,Yes,,1022,No,0.0,09m 26s
Crewmate,Win,5,No,No,,347,No,0.0,
Imposter,Win,,,,5,340,No,,
Crewmate,Win,7,Yes,No,,632,No,0.0,05m 15s
Crewmate,Win,5,No,No,,648,No,1.0,
Crewmate,Loss,7,Yes,Yes,,764,No,0.0,12m 43s
Imposter,Win,,,,2,466,No,,
Imposter,Win,,,,0,0,No,,
Crewmate,Loss,1,No,Yes,,110,No,0.0,
Crewmate,Loss,7,No,Yes,,534,No,0.0,
Crewmate,Win,8,Yes,Yes,,1453,No,1.0,13m 26s
Imposter,Loss,,,,2,634,Yes,,
Crewmate,Win,3,No,Yes,,947,No,0.0,
Crewmate,Win,7,Yes,Yes,,735,No,0.0,05m 28s
Crewmate,Win,7,Yes,No,,1018,No,0.0,14m 00s
Crewmate,Win,8,Yes,Yes,,1040,No,0.0,04m 59s
Imposter,Loss,,,,1,691,No,,
Crewmate,Win,4,No,No,,688,No,1.0,
Crewmate,Loss,4,No,Yes,,753,No,0.0,
Crewmate,Win,8,Yes,Yes,,1262,No,0.0,14m 07s
Crewmate,Loss,7,No,Yes,,520,No,0.0,
Crewmate,Win,4,No,No,,470,No,1.0,
Crewmate,Win,8,Yes,No,,737,No,0.0,08m 17s
Crewmate,Loss,7,No,No,,623,No,1.0,
Imposter,Win,,,,2,719,No,,
Imposter,Win,,,,2,49,No,,
Imposter,Win,,,,3,527,No,,
Crewmate,Loss,6,No,Yes,,763,No,0.0,
Crewmate,Loss,7,Yes,Yes,,1297,No,0.0,13m 10s
Crewmate,Loss,7,No,Yes,,700,No,1.0,
Crewmate,Win,8,Yes,Yes,,689,No,0.0,05m 01s
Crewmate,Win,8,Yes,No,,691,No,0.0,05m 45s
Crewmate,Win,8,Yes,No,,636,No,0.0,06m 55s
Crewmate,Loss,8,Yes,Yes,,672,No,0.0,07m 43s
Imposter,Win,,,,4,1283,No,,
Crewmate,Win,3,No,No,,310,No,0.0,
Crewmate,Win,2,No,Yes,,491,No,0.0,
Crewmate,Loss,7,Yes,Yes,,664,No,0.0,06m 32s
Imposter,Loss,,,,2,336,No,,
Crewmate,Loss,7,Yes,Yes,,826,No,1.0,05m 46s
Crewmate,Loss,7,Yes,Yes,,596,No,0.0,06m 29s
Imposter,Loss,,,,3,904,No,,
Crewmate,Win,7,Yes,Yes,,372,No,1.0,05m 53s
Crewmate,Win,4,No,No,,484,No,1.0,
Crewmate,Loss,9,No,Yes,,307,No,0.0,04m 27s
Crewmate,Win,9,Yes,No,,638,No,1.0,04m 13s
Crewmate,Win,8,Yes,No,,1173,No,3.0,09m 01s
Crewmate,Loss,7,Yes,Yes,,795,No,0.0,05m 35s
Crewmate,Win,7,Yes,Yes,,796,No,0.0,08m 01s
Imposter,Loss,,,,1,660,Yes,,
Imposter,Loss,,,,1,1081,Yes,,
Imposter,Win,,,,2,865,No,,
Crewmate,Win,7,Yes,No,,1013,No,2.0,05m 07s
Crewmate,Win,7,Yes,Yes,,1165,No,1.0,11m 44s
Crewmate,Win,7,Yes,Yes,,506,No,1.0,04m 43s
Crewmate,Win,7,Yes,Yes,,773,No,0.0,04m 36s
Crewmate,Win,7,Yes,No,,741,No,1.0,04m 56s
