Variable,Description
end_m,Endangered listings of mammals
thrt_m,Threatened listings of mammals
all_m,Total threatened and endangered listings of mammals
end_b,Endangered listings of birds
thrt_b,Threatened listings of birds
all_b,Total threatened and endangered listings of birds
end_r,Endangered listings of reptiles
thrt_r,Threatened listings of reptiles
all_r,Total threatened and endangered listings of reptiles
end_am,Endangered listings of amphibians
thrt_am,Threatened listings of amphibians
all_am,Total threatened and endangered listings of amphibians
end_f,Endangered listings of fishes
thrt_f,Threatened listings of fishes
all_f,Total threatened and endangered listings of fishes
end_s,Endangered listings of snails
thrt_s,Threatened listings of snails
all_s,Total threatened and endangered listings of snails
end_cl,Endangered listings of clams
thrt_cl,Threatened listings of clams
all_cl,Total threatened and endangered listings of clams
end_mo,Endangered listings of mollusks (Snails and Clams combined) 
thrt_mo,Threatened listings of mollusks (Snails and Clams combined)
all_mo,Total threatened and endangered listings of mollusks (Snails and Clams combined)
end_cr,Endangered listings of crustaceans
thrt_cr,Threatened listings of crustaceans
all_cr,Total threatened and endangered listings of crustaceans
end_i,Endangered listings of insects
thrt_i,Threatened listings of insects
all_i,Total threatened and endangered listings of insects
end_ar,Endangered listings of arachnids
thrt_ar,Threatened listings of arachnids
all_ar,Total threatened and endangered listings of arachnids
end_p,Endangered listings of plants
thrt_p,Threatened listings of plants
all_p,Total threatened and endangered listings of plants
end_co,Endangered listings of corals
thrt_co,Threatened listings of corals
all_co,Total threatened and endangered listings of corals
end_ani,Endangered listings of animals
thrt_ani,Threatened listings of animals
all_ani,Total threatened and endangered listings of animals
end_all,Endangered listings of all taxa
thrt_all,Threatened listings of all taxa
all_all,Total threatened and endangered listings of all taxa
