 본부명 , 지사명 , 노선명 , 구간 , 방 향 , 5km , 발생건수 ,위도,경도
 수도권 , 경기광주 , 제2중부선 ,330~335, 통영 ,330, 5 ,37.2830594,127.3855901
 수도권 , 경기광주 , 제2중부선 ,335~340, 하남 ,335, 3 ,37.3153254,127.3472754
 수도권 , 경기광주 , 중부선 ,330~335, 통영 ,330, 3 ,37.2831926,127.3849201
 수도권 , 경기광주 , 중부선 ,340~345, 통영 ,340, 3 ,37.3536425,127.3205395
 수도권 , 경기광주 , 중부선 ,325~330, 하남 ,325, 3 ,37.2489572,127.4213702
 수도권 , 경기광주 , 중부선 ,330~335, 하남 ,330, 3 ,37.2831926,127.3849201
 수도권 , 경기광주 , 중부선 ,350~355, 하남 ,350, 5 ,37.4389270,127.2891253
 수도권 , 동서울 , 수도권제1순환선 ,120~125, 일산 ,120, 4 ,37.3903004,127.0096347
 수도권 , 동서울 , 수도권제1순환선 ,30~35, 판교 ,30, 3 ,37.6138233,127.1420652
 수도권 , 동서울 , 수도권제1순환선 ,115~120, 판교 ,115, 3 ,37.3791853,126.9574134
 수도권 , 시흥 , 제2경인선 ,20~25, 안양 ,20, 3 ,37.4398798,126.8492325
 강원 , 강릉 , 동해선 ,15~20, 속초 ,15, 3 ,37.4862924,129.0907032
 강원 , 강릉 , 동해선 ,50~55, 속초 ,50, 3 ,37.6908378,128.8971321
 강원 , 양양 , 서울양양선 ,95~100, 양양 ,95, 3 ,37.7885332,128.1371004
 강원 , 이천 , 영동선 ,55~60, 인천 ,55, 3 ,37.2477833,127.2353300
 강원 , 이천 , 중부내륙선 ,280~285, 양평 ,280, 3 ,37.3480828,127.5412771
 강원 , 홍천 , 중앙선 ,315~320, 부산 ,315, 8 ,37.3409870,127.9125914
 강원 , 홍천 , 중앙선 ,345~350, 부산 ,345, 4 ,37.5728840,127.9732079
 강원 , 홍천 , 중앙선 ,350~355, 부산 ,350, 3 ,37.6134811,127.9563302
 강원 , 홍천 , 중앙선 ,355~360, 부산 ,355, 3 ,37.6467580,127.9193938
 강원 , 홍천 , 중앙선 ,360~365, 부산 ,360, 3 ,37.6701836,127.8743817
 강원 , 홍천 , 중앙선 ,375~380, 부산 ,375, 3 ,37.7664292,127.7909967
 강원 , 홍천 , 중앙선 ,385~390, 부산 ,385, 3 ,37.8387689,127.7779955
 강원 , 홍천 , 중앙선 ,315~320, 춘천 ,315, 6 ,37.3409870,127.9125914
 강원 , 홍천 , 중앙선 ,325~330, 춘천 ,325, 6 ,37.4183258,127.9169690
 강원 , 홍천 , 중앙선 ,345~350, 춘천 ,345, 3 ,37.5728840,127.9732079
 강원 , 홍천 , 중앙선 ,375~380, 춘천 ,375, 4 ,37.7664292,127.7909967
 강원 , 홍천 , 중앙선 ,380~385, 춘천 ,380, 3 ,37.8022068,127.7716686
 강원 , 홍천 , 중앙선 ,385~390, 춘천 ,385, 4 ,37.8387689,127.7779955
 충북 , 보은 , 청주상주선 ,0~5, 상주 ,0, 3 ,36.5647448,127.4306527
 충북 , 보은 , 청주상주선 ,5~10, 상주 ,5, 3 ,36.5458603,127.4793220
 충북 , 보은 , 청주상주선 ,45~50, 상주 ,45, 3 ,36.4474108,127.8883615
 충북 , 엄정 , 평택제천선 ,90~95, 제천 ,90, 3 ,37.0363053,127.7918926
 충북 , 엄정 , 평택제천선 ,35~40, 평택 ,35, 6 ,36.9817443,127.2375483
 충북 , 제천 , 중앙선 ,270~275, 부산 ,270, 4 ,37.0512475,128.2059482
 충북 , 제천 , 중앙선 ,260~265, 춘천 ,260, 3 ,37.0048542,128.2941624
 충북 , 진천 , 중부선 ,255~260, 통영 ,255, 4 ,36.6665470,127.4240858
 충북 , 진천 , 중부선 ,290~295, 통영 ,290, 5 ,36.9476101,127.4714058
 충북 , 진천 , 중부선 ,300~305, 통영 ,300, 3 ,37.0354010,127.4801145
 충북 , 진천 , 중부선 ,320~325, 통영 ,320, 5 ,37.2077647,127.4422137
 충북 , 진천 , 중부선 ,250~255, 하남 ,250, 4 ,36.6222664,127.4202485
 충북 , 진천 , 중부선 ,260~265, 하남 ,260, 5 ,36.7088023,127.4375391
 충북 , 진천 , 중부선 ,270~275, 하남 ,270, 3 ,36.7782731,127.5066813
 충북 , 진천 , 중부선 ,300~305, 하남 ,300, 6 ,37.0354010,127.4801145
 충북 , 진천 , 중부선 ,305~310, 하남 ,305, 4 ,37.0774519,127.4625306
 대전충남 , 공주 , 당진대전선 ,50~55, 당진 ,50, 3 ,36.5450241,126.9895716
 대전충남 , 공주 , 당진대전선 ,60~65, 당진 ,60, 3 ,36.4847862,127.0585342
 대전충남 , 공주 , 당진대전선 ,85~90, 당진 ,85, 3 ,36.4278717,127.2883162
 대전충남 , 공주 , 당진대전선 ,70~75, 대전 ,70, 3 ,36.4975705,127.1654894
 대전충남 , 공주 , 당진대전선 ,75~80, 대전 ,75, 4 ,36.4878046,127.2162697
 대전충남 , 공주 , 당진대전선 ,90~95, 대전 ,90, 4 ,36.3935980,127.3203725
 대전충남 , 당진 , 당진대전선 ,10~15, 대전 ,10, 5 ,36.7825784,126.6897475
 대전충남 , 당진 , 서해안선 ,240~245, 목포 ,240, 3 ,36.7323702,126.5639501
 대전충남 , 당진 , 서해안선 ,245~250, 목포 ,245, 3 ,36.7762619,126.5662366
 대전충남 , 당진 , 서해안선 ,270~275, 목포 ,270, 6 ,36.9190730,126.7591522
 대전충남 , 당진 , 서해안선 ,235~240, 서울 ,235, 6 ,36.6883810,126.5547572
 대전충남 , 당진 , 서해안선 ,245~250, 서울 ,245, 6 ,36.7762619,126.5662366
 대전충남 , 대전 , 경부선 ,275~280, 부산 ,275, 3 ,36.3795490,127.4275565
 대전충남 , 대전 , 경부선 ,285~290, 부산 ,285, 5 ,36.4657563,127.4183421
 대전충남 , 대전 , 경부선 ,270~275, 서울 ,270, 3 ,36.3496295,127.4663024
 대전충남 , 대전 , 호남지선 ,35~40, 회덕 ,35, 3 ,36.2991000,127.3139200
 대전충남 , 영동 , 경부선 ,255~260, 부산 ,255, 3 ,36.2948484,127.6029307
 대전충남 , 영동 , 경부선 ,260~265, 부산 ,260, 3 ,36.3177499,127.5564176
 대전충남 , 영동 , 경부선 ,225~230, 서울 ,225, 4 ,36.2197596,127.8809713
 대전충남 , 영동 , 대전남부순환선 ,0~5, 산내 ,0, 3 ,36.2940785,127.3160565
 대전충남 , 영동 , 대전남부순환선 ,5~10, 서대전 ,5, 4 ,36.2856573,127.3700006
 대전충남 , 천안 , 경부선 ,305~310, 부산 ,305, 6 ,36.6253599,127.3836864
 대전충남 , 천안 , 경부선 ,310~315, 부산 ,310, 4 ,36.6684890,127.3727573
 대전충남 , 천안 , 경부선 ,315~320, 부산 ,315, 3 ,36.7044544,127.3472224
 대전충남 , 천안 , 경부선 ,320~325, 부산 ,320, 4 ,36.7264483,127.3085103
