"시점","국가별",산림면적 (1000km²),멸종위기종(포유동물) (종),멸종위기종(조류) (종),멸종위기종(어류) (종),멸종위기종(고등식물) (종),육상보호구역 (%),해양보호구역 (%)
"1998","아시아",,,,,,,
"1998","대한민국",65,-,-,-,-,2.2,3.5
"1998","아프가니스탄",12,-,-,-,-,0.4,-
"1998","아르메니아",3,-,-,-,-,6.9,-
"1998","아제르바이잔",10,-,-,-,-,6.8,-
"1998","바레인",0,-,-,-,-,1.4,-
"1998","방글라데시",19,-,-,-,-,1.8,0.5
"1998","부탄",26,-,-,-,-,28.4,-
"1998","브루나이",4,-,-,-,-,44.0,1.4
"1998","캄보디아",108,-,-,-,-,17.5,0.4
"1998","중국",1730,-,-,-,-,14.6,0.9
"1998","키프로스",2,-,-,-,-,10.5,0.6
"1998","동티모르",10,-,-,-,-,-,-
"1998","조지아",28,-,-,-,-,3.7,0.5
"1998","홍콩",-,-,-,-,-,41.8,-
"1998","인도",669,-,-,-,-,5.0,1.7
"1998","인도네시아",1047,-,-,-,-,12.8,1.0
"1998","이란",93,-,-,-,-,5.8,1.0
"1998","이라크",8,-,-,-,-,0.1,-
"1998","이스라엘",1,-,-,-,-,17.8,0.5
"1998","일본",249,-,-,-,-,15.8,4.9
"1998","요르단",1,-,-,-,-,1.9,30.0
"1998","카자흐스탄",32,-,-,-,-,2.5,-
"1998","북한",65,-,-,-,-,4.3,0.1
"1998","쿠웨이트",0,-,-,-,-,1.6,0.0
"1998","키르기스스탄",12,-,-,-,-,6.9,-
"1998","라오스",175,-,-,-,-,16.3,-
"1998","레바논",1,-,-,-,-,0.5,0.1
"1998","말레이시아",199,-,-,-,-,18.0,1.9
"1998","몰디브",0,-,-,-,-,-,-
"1998","몽골",143,-,-,-,-,12.2,-
"1998","미얀마",357,-,-,-,-,4.4,0.3
"1998","네팔",58,-,-,-,-,17.0,-
"1998","오만",0,-,-,-,-,10.7,1.3
"1998","파키스탄",46,-,-,-,-,10.1,1.8
"1998","필리핀",74,-,-,-,-,9.8,2.1
"1998","카타르",0,-,-,-,-,2.3,0.3
"1998","사우디아라비아",10,-,-,-,-,31.3,3.4
"1998","싱가포르",0,-,-,-,-,5.2,1.4
"1998","스리랑카",22,-,-,-,-,21.5,1.1
"1998","시리아",4,-,-,-,-,0.3,0.3
"1998","타지키스탄",4,-,-,-,-,4.1,-
"1998","태국",191,-,-,-,-,18.1,4.1
"1998","튀르키예",201,-,-,-,-,1.9,2.4
"1998","투르크메니스탄",41,-,-,-,-,3.0,-
