"지역(1)","지역(2)","발생횟수","연도"
"서울","강남구",240,2016
"서울","강동구",297,2016
"서울","강북구",355,2016
"서울","강서구",394,2016
"서울","관악구",814,2016
"서울","광진구",296,2016
"서울","구로구",210,2016
"서울","금천구",216,2016
"서울","노원구",330,2016
"서울","도봉구",315,2016
"서울","동대문구",363,2016
"서울","동작구",335,2016
"서울","마포구",599,2016
"서울","서대문구",328,2016
"서울","서초구",176,2016
"서울","성동구",231,2016
"서울","성북구",376,2016
"서울","송파구",336,2016
"서울","양천구",425,2016
"서울","영등포구",279,2016
"서울","용산구",482,2016
"서울","은평구",448,2016
"서울","종로구",242,2016
"서울","중구",147,2016
"서울","중랑구",393,2016
"부산","강서구",408,2016
"부산","금정구",445,2016
"부산","기장군",444,2016
"부산","남구",439,2016
"부산","동구",159,2016
"부산","동래구",509,2016
"부산","부산진구",779,2016
"부산","북구",338,2016
"부산","사상구",521,2016
"부산","사하구",585,2016
"부산","서구",415,2016
"부산","수영구",373,2016
"부산","연제구",551,2016
"부산","영도구",288,2016
"부산","중구",161,2016
"부산","해운대구",547,2016
"대구","남구",430,2016
"대구","달서구",691,2016
"대구","달성군",423,2016
"대구","동구",538,2016
"대구","북구",485,2016
"대구","서구",549,2016
"대구","수성구",654,2016
"대구","중구",233,2016
"인천","강화군",234,2016
"인천","계양구",659,2016
"인천","남동구",829,2016
"인천","동구",192,2016
"인천","미추홀구",846,2016
"인천","부평구",957,2016
"인천","서구",909,2016
"인천","연수구",436,2016
"인천","옹진군",48,2016
"인천","중구",511,2016
"광주","광산구",526,2016
"광주","남구",306,2016
"광주","동구",216,2016
"광주","북구",984,2016
"광주","서구",575,2016
"광주","대덕구",464,2016
"광주","동구",686,2016
"광주","서구",1324,2016
"광주","유성구",929,2016
"광주","중구",608,2016
"울산","남구",1270,2016
"울산","동구",368,2016
"울산","북구",270,2016
"울산","울주군",581,2016
"울산","중구",595,2016
"경기","가평군",190,2016
"경기","고양시",1218,2016
"경기","과천시",77,2016
"경기","광명시",370,2016
"경기","광주시",794,2016
"경기","구리시",206,2016
"경기","군포시",557,2016
"경기","김포시",410,2016
"경기","남양주시",1239,2016
"경기","동두천시",277,2016
"경기","부천시",991,2016
"경기","성남시",1532,2016
"경기","수원시",1795,2016
"경기","시흥시",837,2016
"경기","안산시",1405,2016
"경기","안성시",525,2016
"경기","안양시",499,2016
"경기","양주시",443,2016
"경기","양평군",399,2016
"경기","여주시",429,2016
"경기","연천군",229,2016
"경기","오산시",314,2016
"경기","용인시",1259,2016
"경기","의왕시",193,2016
"경기","의정부시",505,2016
"경기","이천시",622,2016
"경기","파주시",650,2016
"경기","평택시",1857,2016
"경기","포천시",344,2016
"경기","하남시",439,2016
"경기","화성시",1074,2016
"강원","강릉시",419,2016
"강원","고성군",65,2016
"강원","동해시",261,2016
"강원","삼척시",159,2016
"강원","속초시",456,2016
"강원","양구군",8,2016
"강원","양양군",46,2016
"강원","영월군",57,2016
"강원","원주시",962,2016
"강원","인제군",55,2016
"강원","정선군",198,2016
"강원","철원군",204,2016
"강원","춘천시",549,2016
"강원","태백시",69,2016
"강원","평창군",100,2016
"강원","홍천군",240,2016
"강원","화천군",22,2016
"강원","횡성군",59,2016
"충북","괴산군",6,2016
"충북","단양군",66,2016
"충북","보은군",72,2016
"충북","영동군",169,2016
"충북","옥천군",173,2016
"충북","음성군",231,2016
"충북","제천시",255,2016
"충북","증평군",30,2016
"충북","진천군",103,2016
"충북","청주시",2239,2016
"충북","충주시",492,2016
"충남","계룡시",94,2016
"충남","공주시",697,2016
"충남","금산군",1,2016
"충남","논산시",305,2016
"충남","당진시",328,2016
"충남","보령시",173,2016
"충남","부여군",124,2016
"충남","서산시",330,2016
"충남","서천군",27,2016
"충남","아산시",751,2016
"충남","예산군",112,2016
"충남","천안시",1271,2016
"충남","청양군",26,2016
"충남","태안군",133,2016
"충남","홍성군",200,2016
"전북","고창군",99,2016
"전북","군산시",470,2016
"전북","김제시",147,2016
"전북","남원시",270,2016
"전북","무주군",16,2016
"전북","부안군",62,2016
"전북","순창군",40,2016
"전북","완주군",147,2016
"전북","익산시",396,2016
"전북","임실군",20,2016
"전북","장수군",24,2016
"전북","전주시",1567,2016
"전북","정읍시",308,2016
"전북","진안군",22,2016
"전남","강진군",44,2016
"전남","고흥군",45,2016
"전남","곡성군",44,2016
"전남","광양시",225,2016
"전남","구례군",38,2016
"전남","나주시",123,2016
"전남","담양군",72,2016
"전남","목포시",555,2016
"전남","무안군",222,2016
"전남","보성군",55,2016
"전남","순천시",612,2016
"전남","신안군",0,2016
"전남","여수시",336,2016
"전남","영광군",36,2016
"전남","영암군",68,2016
"전남","완도군",7,2016
"전남","장성군",5,2016
"전남","장흥군",7,2016
"전남","진도군",27,2016
"전남","함평군",28,2016
"전남","해남군",33,2016
"전남","화순군",170,2016
"경북","경산시",93,2016
"경북","경주시",279,2016
"경북","고령군",84,2016
"경북","구미시",181,2016
"경북","군위군",25,2016
"경북","김천시",68,2016
"경북","문경시",217,2016
"경북","봉화군",24,2016
"경북","상주시",130,2016
"경북","성주군",131,2016
"경북","안동시",192,2016
"경북","영덕군",75,2016
"경북","영양군",15,2016
"경북","영주시",285,2016
"경북","영천시",121,2016
"경북","예천군",83,2016
"경북","울릉군",10,2016
"경북","울진군",44,2016
"경북","의성군",23,2016
"경북","청도군",113,2016
"경북","청송군",16,2016
"경북","칠곡군",195,2016
"경북","포항시",1289,2016
"경남","거제시",757,2016
"경남","거창군",149,2016
"경남","고성군",110,2016
"경남","김해시",801,2016
"경남","남해군",75,2016
"경남","밀양시",777,2016
"경남","사천시",364,2016
"경남","산청군",132,2016
"경남","양산시",365,2016
"경남","의령군",38,2016
"경남","진주시",146,2016
"경남","창녕군",187,2016
"경남","창원시 마산합포회원구",617,2016
"경남","창원시 의창성산구",824,2016
"경남","창원시 진해구",438,2016
"경남","통영시",320,2016
