"지역","발생횟수","날짜","year","month","비품종견","품종견"
"서울",356,"2016-01-01",2016,1,133,223
"부산",248,"2016-01-01",2016,1,146,102
"대구",141,"2016-01-01",2016,1,78,63
"인천",221,"2016-01-01",2016,1,108,113
"광주",104,"2016-01-01",2016,1,60,44
"대전",232,"2016-01-01",2016,1,64,168
"울산",85,"2016-01-01",2016,1,52,33
"세종",11,"2016-01-01",2016,1,7,4
"경기",1074,"2016-01-01",2016,1,619,455
"강원",226,"2016-01-01",2016,1,137,89
"충북",209,"2016-01-01",2016,1,84,125
"충남",166,"2016-01-01",2016,1,107,59
"전북",176,"2016-01-01",2016,1,107,69
"전남",158,"2016-01-01",2016,1,103,55
"경북",233,"2016-01-01",2016,1,162,71
"경남",400,"2016-01-01",2016,1,290,110
"제주",150,"2016-01-01",2016,1,114,36
"서울",375,"2016-02-01",2016,2,145,230
"부산",256,"2016-02-01",2016,2,138,118
"대구",139,"2016-02-01",2016,2,86,53
"인천",252,"2016-02-01",2016,2,119,133
"광주",108,"2016-02-01",2016,2,68,40
"대전",196,"2016-02-01",2016,2,75,121
"울산",100,"2016-02-01",2016,2,56,44
"세종",10,"2016-02-01",2016,2,2,8
"경기",1008,"2016-02-01",2016,2,547,461
"강원",228,"2016-02-01",2016,2,140,88
"충북",224,"2016-02-01",2016,2,110,114
"충남",184,"2016-02-01",2016,2,122,62
"전북",184,"2016-02-01",2016,2,114,70
"전남",168,"2016-02-01",2016,2,96,72
"경북",264,"2016-02-01",2016,2,192,72
"경남",420,"2016-02-01",2016,2,302,118
"제주",215,"2016-02-01",2016,2,175,40
"서울",455,"2016-03-01",2016,3,178,277
"부산",289,"2016-03-01",2016,3,180,109
"대구",201,"2016-03-01",2016,3,114,87
"인천",265,"2016-03-01",2016,3,104,161
"광주",111,"2016-03-01",2016,3,57,54
"대전",201,"2016-03-01",2016,3,70,131
"울산",120,"2016-03-01",2016,3,71,49
"세종",18,"2016-03-01",2016,3,7,11
"경기",1233,"2016-03-01",2016,3,652,581
"강원",269,"2016-03-01",2016,3,162,107
"충북",208,"2016-03-01",2016,3,96,112
"충남",311,"2016-03-01",2016,3,186,125
"전북",250,"2016-03-01",2016,3,142,108
"전남",223,"2016-03-01",2016,3,144,79
"경북",268,"2016-03-01",2016,3,174,94
"경남",457,"2016-03-01",2016,3,320,137
"제주",155,"2016-03-01",2016,3,108,47
"서울",544,"2016-04-01",2016,4,181,363
"부산",304,"2016-04-01",2016,4,170,134
"대구",176,"2016-04-01",2016,4,93,83
"인천",315,"2016-04-01",2016,4,136,179
"광주",116,"2016-04-01",2016,4,45,71
"대전",169,"2016-04-01",2016,4,60,109
"울산",126,"2016-04-01",2016,4,48,78
"세종",17,"2016-04-01",2016,4,6,11
"경기",1228,"2016-04-01",2016,4,612,616
"강원",273,"2016-04-01",2016,4,166,107
"충북",208,"2016-04-01",2016,4,90,118
"충남",257,"2016-04-01",2016,4,151,106
"전북",254,"2016-04-01",2016,4,142,112
"전남",203,"2016-04-01",2016,4,113,90
"경북",268,"2016-04-01",2016,4,183,85
"경남",453,"2016-04-01",2016,4,321,132
"제주",171,"2016-04-01",2016,4,130,41
"서울",535,"2016-05-01",2016,5,174,361
"부산",271,"2016-05-01",2016,5,146,125
"대구",196,"2016-05-01",2016,5,97,99
"인천",336,"2016-05-01",2016,5,132,204
"광주",153,"2016-05-01",2016,5,64,89
"대전",158,"2016-05-01",2016,5,67,91
"울산",120,"2016-05-01",2016,5,53,67
"세종",19,"2016-05-01",2016,5,9,10
"경기",1331,"2016-05-01",2016,5,648,683
"강원",255,"2016-05-01",2016,5,150,105
"충북",229,"2016-05-01",2016,5,97,132
"충남",263,"2016-05-01",2016,5,154,109
"전북",232,"2016-05-01",2016,5,112,120
"전남",210,"2016-05-01",2016,5,108,102
"경북",312,"2016-05-01",2016,5,220,92
"경남",504,"2016-05-01",2016,5,357,147
"제주",180,"2016-05-01",2016,5,126,54
"서울",517,"2016-06-01",2016,6,158,359
"부산",306,"2016-06-01",2016,6,162,144
"대구",184,"2016-06-01",2016,6,78,106
"인천",319,"2016-06-01",2016,6,119,200
"광주",166,"2016-06-01",2016,6,77,89
"대전",246,"2016-06-01",2016,6,62,184
"울산",145,"2016-06-01",2016,6,65,80
"세종",12,"2016-06-01",2016,6,4,8
"경기",1212,"2016-06-01",2016,6,522,690
"강원",282,"2016-06-01",2016,6,165,117
"충북",211,"2016-06-01",2016,6,96,115
"충남",274,"2016-06-01",2016,6,162,112
"전북",287,"2016-06-01",2016,6,159,128
"전남",187,"2016-06-01",2016,6,104,83
"경북",243,"2016-06-01",2016,6,159,84
"경남",544,"2016-06-01",2016,6,378,166
"제주",199,"2016-06-01",2016,6,162,37
"서울",569,"2016-07-01",2016,7,181,388
"부산",316,"2016-07-01",2016,7,158,158
