,0,1
0,endangered,385
2,species,83
3,found,55
4,wildlife,54
5,amp,52
6,conservation,48
7,beautiful,46
8,white,40
9,give,40
10,rt,37
11,called,37
12,l,36
13,flowers,36
14,saratoga,35
15,omg,35
16,men,35
17,thrill's,35
18,bar,35
19,saloon,35
20,hill,35
21,picking,35
22,lillie,35
23,wyoming,35
24,gal,34
25,safetymentalst,33
26,women,31
27,species',31
28,rtitbot,31
30,pinnedtweet,27
31,animals,24
32,elephant,23
33,birds,23
34,deforestation,23
35,boycott4wildlife,23
36,help,22
37,art,21
38,palmoil,20
39,save,20
40,time,20
41,wildlifephotography,19
42,years,18
43,habitat,18
44,nature,17
45,photography,17
46,missing,16
47,elephants,16
48,sea,16
49,water,15
50,rare,14
51,contest,14
53,plant,13
54,black,12
55,vole,12
56,join,12
57,animal,12
58,iucn,12
59,wild,12
60,due,12
61,work,11
62,large,11
63,zoo,11
64,turtles,11
65,palmoildetect,11
66,monarch,11
67,left,10
68,last,10
69,cites,10
