"","시점","국가별","X","산림면적..1000km..","멸종위기종.포유동물...종.","멸종위기종.조류...종.","멸종위기종.어류...종.","멸종위기종.고등식물...종.","육상보호구역....","해양보호구역....","적색지수"
"1",2000,"가나",2777,"88","-","-","-","-","15.1","1.7",0.84
"2",2000,"가봉",2775,"237","-","-","-","-","6.4","0.7",0.95
"3",2000,"과테말라",2687,"42","-","-","-","-","29.5","12.7",0.74
"4",2000,"그리스",2724,"36","-","-","-","-","24.1","4.8",0.84
"5",2000,"기니",2778,"69","-","-","-","-","7.2","4.2",0.89
"6",2000,"나이지리아",2793,"249","-","-","-","-","12.9","0.2",0.85
"7",2000,"남아프리카공화국",2800,"178","-","-","-","-","6.6","3.4",0.82
"8",2000,"네덜란드",2738,"4","-","-","-","-","10.5","54.7",0.97
"9",2000,"노르웨이",2739,"121","-","-","-","-","19.8","50.8",0.96
"10",2000,"뉴질랜드",2820,"99","-","-","-","-","28.5","12.4",0.71
"11",2000,"니카라과",2692,"54","-","-","-","-","36.7","15.7",0.85
"12",2000,"대한민국",2612,"65","-","-","-","-","5.2","3.4",0.76
"13",2000,"덴마크",2717,"6","-","-","-","-","16.8","26.8",0.98
"14",2000,"독일",2722,"114","-","-","-","-","28.7","51.1",0.98
"15",2000,"라이베리아",2782,"82","-","-","-","-","1.6","0.0",0.9
"16",2000,"라트비아",2730,"32","-","-","-","-","14.8","2.5",0.99
"17",2000,"러시아",2743,"8093","-","-","-","-","10.8","11.1",0.96
"18",2000,"레바논",2638,"1","-","-","-","-","2.3","0.0",0.93
"19",2000,"루마니아",2742,"64","-","-","-","-","5.0","35.1",0.86
"20",2000,"룩셈부르크",2733,"1","-","-","-","-","29.3","0.0",0.98
"21",2000,"리비아",2783,"2","-","-","-","-","0.2","4.3",0.97
"22",2000,"리투아니아",2732,"20","-","-","-","-","11.6","10.3",0.99
"23",2000,"마다가스카르",2784,"130","-","-","-","-","3.1","0.1",0.82
"24",2000,"말레이시아",2640,"197","-","-","-","-","18.2","2.0",0.79
"25",2000,"멕시코",2665,"684","-","-","-","-","7.7","12.2",0.72
"26",2000,"모로코",2789,"55","-","-","-","-","0.6","0.3",0.9
"27",2000,"몬테네그로",2753,"6","-","-","-","-","3.7","0.0",0.86
"28",2000,"몰도바",2736,"3","-","-","-","-","1.8","0.0",0.94
"29",2000,"몰타",2735,"0","-","-","-","-","15.4","0.3",0.88
"30",2000,"몽골",2642,"143","-","-","-","-","13.1","0.0",0.96
"31",2000,"미국",2666,"3035","-","-","-","-","13.8","28.3",0.85
"32",2000,"바레인",2616,"0","-","-","-","-","2.8","0.8",0.81
"33",2000,"바베이도스",2672,"0","-","-","-","-","0.1","0.1",0.92
"34",2000,"바하마",2671,"5","-","-","-","-","7.3","0.2",0.73
"35",2000,"베냉",2758,"41","-","-","-","-","25.0","0.0",0.91
"36",2000,"베네수엘라",2705,"492","-","-","-","-","53.8","16.8",0.85
"37",2000,"베트남",2659,"118","-","-","-","-","6.1","0.5",0.79
"38",2000,"벨기에",2711,"7","-","-","-","-","12.7","44.4",0.98
"39",2000,"벨라루스",2710,"83","-","-","-","-","7.2","0.0",0.95
"40",2000,"보스니아-헤르체고비나",2712,"21","-","-","-","-","0.0","7.1",0.9
"41",2000,"볼리비아",2674,"551","-","-","-","-","18.8","0.0",0.89
"42",2000,"북마케도니아",2734,"10","-","-","-","-","9.2","0.0",0.97
