"","시점","국가별","산림면적..1000km..","멸종위기종.포유동물...종.","멸종위기종.조류...종.","멸종위기종.어류...종.","멸종위기종.고등식물...종.","육상보호구역....","해양보호구역...."
"4565",1990,"아시아","","","","","","",""
"4566",1990,"대한민국","66","-","-","-","-","5.1","3.3"
"4567",1990,"아프가니스탄","12","-","-","-","-","0.4","0.0"
"4568",1990,"아르메니아","3","-","-","-","-","7.9","0.0"
"4569",1990,"아제르바이잔","9","-","-","-","-","5.2","0.0"
"4570",1990,"바레인","0","-","-","-","-","1.4","0.0"
"4571",1990,"방글라데시","19","-","-","-","-","0.8","0.1"
"4572",1990,"부탄","25","-","-","-","-","14.2","0.0"
"4573",1990,"브루나이","4","-","-","-","-","36.9","1.5"
"4574",1990,"캄보디아","110","-","-","-","-","0.0","0.0"
"4575",1990,"중국","1571","-","-","-","-","13.6","0.4"
"4576",1990,"키프로스","2","-","-","-","-","0.5","0.0"
"4577",1990,"동티모르","10","-","-","-","-","0.0","0.0"
"4578",1990,"조지아","28","-","-","-","-","1.9","0.0"
"4579",1990,"홍콩","-","-","-","-","-","41.1","0.0"
"4580",1990,"인도","639","-","-","-","-","4.7","1.5"
"4581",1990,"인도네시아","1185","-","-","-","-","10.1","0.4"
"4582",1990,"이란","91","-","-","-","-","5.6","1.5"
"4583",1990,"이라크","8","-","-","-","-","0.1","0.0"
"4584",1990,"이스라엘","1","-","-","-","-","12.0","0.1"
"4585",1990,"일본","250","-","-","-","-","18.1","5.0"
"4586",1990,"요르단","1","-","-","-","-","1.1","0.0"
"4587",1990,"카자흐스탄","34","-","-","-","-","2.4","0.0"
"4588",1990,"북한","69","-","-","-","-","2.3","0.1"
"4589",1990,"쿠웨이트","0","-","-","-","-","2.0","0.0"
"4590",1990,"키르기스스탄","8","-","-","-","-","6.3","0.0"
"4591",1990,"라오스","178","-","-","-","-","1.5","0.0"
"4592",1990,"레바논","1","-","-","-","-","0.5","0.0"
"4593",1990,"마카오","-","-","-","-","-","0.0","0.0"
"4594",1990,"말레이시아","206","-","-","-","-","17.2","1.5"
"4595",1990,"몰디브","0","-","-","-","-","0.1","0.0"
"4596",1990,"몽골","144","-","-","-","-","4.1","0.0"
"4597",1990,"미얀마","392","-","-","-","-","3.0","0.2"
"4598",1990,"네팔","57","-","-","-","-","7.7","0.0"
"4599",1990,"오만","0","-","-","-","-","0.0","0.0"
"4600",1990,"파키스탄","1","-","-","-","-","10.1","1.8"
"4601",1990,"필리핀","78","-","-","-","-","8.7","0.3"
"4602",1990,"카타르","0","-","-","-","-","1.8","0.0"
"4603",1990,"사우디아라비아","10","-","-","-","-","7.6","0.6"
"4604",1990,"싱가포르","0","-","-","-","-","5.4","0.0"
"4605",1990,"스리랑카","24","-","-","-","-","20.3","0.1"
"4606",1990,"시리아","4","-","-","-","-","0.3","0.0"
"4607",1990,"타지키스탄","4","-","-","-","-","2.6","0.0"
"4608",1990,"태국","194","-","-","-","-","11.9","3.9"
"4609",1990,"튀르키예","198","-","-","-","-","0.0","0.0"
"4610",1990,"투르크메니스탄","41","-","-","-","-","3.0","0.0"
"4611",1990,"아랍에미리트","2","-","-","-","-","12.6","0.3"
"4612",1990,"우즈베키스탄","30","-","-","-","-","2.1","0.0"
"4613",1990,"베트남","94","-","-","-","-","4.6","0.3"
"4614",1990,"예멘","5","-","-","-","-","0.0","0.0"
"4615",1990,"북아메리카","","","","","","",""
"4616",1990,"버뮤다","0","-","-","-","-","5.4","4.8"
"4617",1990,"캐나다","3483","-","-","-","-","5.8","0.7"
"4618",1990,"그린란드","0","-","-","-","-","40.8","36.5"
"4619",1990,"멕시코","706","-","-","-","-","2.4","1.6"
"4620",1990,"미국","3025","-","-","-","-","13.7","22.6"
"4621",1990,"남아메리카","","","","","","",""
"4622",1990,"앤티가바부다","0","-","-","-","-","0.0","0.2"
"4623",1990,"아르헨티나","352","-","-","-","-","4.4","2.7"
"4624",1990,"아루바","0","-","-","-","-","0.5","0.0"
"4625",1990,"바하마","5","-","-","-","-","6.1","0.2"
"4626",1990,"바베이도스","0","-","-","-","-","0.1","0.1"
"4627",1990,"벨리즈","16","-","-","-","-","26.0","0.5"
"4628",1990,"볼리비아","578","-","-","-","-","8.8","0.0"
"4629",1990,"브라질","5889","-","-","-","-","6.7","2.5"
"4630",1990,"영국령버진아일랜드","0","-","-","-","-","5.0","1.8"
"4631",1990,"케이맨제도","0","-","-","-","-","7.1","1.1"
"4632",1990,"칠레","152","-","-","-","-","16.1","3.3"
"4633",1990,"콜롬비아","650","-","-","-","-","19.5","2.4"
"4634",1990,"코스타리카","29","-","-","-","-","19.9","11.9"
"4635",1990,"쿠바","21","-","-","-","-","4.3","1.3"
"4636",1990,"도미니카연방","1","-","-","-","-","21.4","0.1"
"4637",1990,"도미니카공화국","16","-","-","-","-","20.0","11.9"
"4638",1990,"에콰도르","146","-","-","-","-","22.0","74.7"
"4639",1990,"엘살바도르","7","-","-","-","-","0.0","0.0"
"4640",1990,"그레나다","0","-","-","-","-","1.7","0.0"
"4641",1990,"과테말라","48","-","-","-","-","25.9","0.3"
"4642",1990,"가이아나","186","-","-","-","-","0.3","0.0"
"4643",1990,"아이티","4","-","-","-","-","0.3","0.0"
"4644",1990,"온두라스","70","-","-","-","-","13.5","2.2"
"4645",1990,"자메이카","5","-","-","-","-","9.9","0.0"
"4646",1990,"니카라과","64","-","-","-","-","15.4","0.6"
"4647",1990,"파나마","46","-","-","-","-","18.2","3.8"
"4648",1990,"파라과이","255","-","-","-","-","2.9","0.0"
"4649",1990,"페루","764","-","-","-","-","4.8","2.8"
"4650",1990,"푸에르토리코","3","-","-","-","-","10.0","1.7"
"4651",1990,"세인트키츠네비스","0","-","-","-","-","3.3","0.6"
"4652",1990,"세인트루시아","0","-","-","-","-","14.3","0.1"
"4653",1990,"세인트빈센트그레나딘","0","-","-","-","-","19.9","1.3"
"4654",1990,"수리남","154","-","-","-","-","3.5","22.9"
"4655",1990,"트리니다드토바고","2","-","-","-","-","30.5","0.2"
"4656",1990,"터크스케이커스제도","0","-","-","-","-","36.5","0.7"
"4657",1990,"미국령버진아일랜드","0","-","-","-","-","14.9","1.6"
"4658",1990,"우루과이","8","-","-","-","-","2.2","0.3"
"4659",1990,"베네수엘라","520","-","-","-","-","40.0","7.7"
"4660",1990,"유럽","","","","","","",""
"4661",1990,"알바니아","8","-","-","-","-","0.2","0.0"
"4662",1990,"안도라","0","-","-","-","-","5.5","0.0"
"4663",1990,"오스트리아","38","-","-","-","-","19.2","0.0"
"4664",1990,"벨라루스","78","-","-","-","-","6.5","0.0"
"4665",1990,"벨기에","8","-","-","-","-","7.1","3.7"
"4666",1990,"보스니아-헤르체고비나","22","-","-","-","-","0.0","7.1"
"4667",1990,"불가리아","33","-","-","-","-","2.0","0.1"
"4668",1990,"샤넬군도","0","-","-","-","-","-","-"
"4669",1990,"크로아티아","19","-","-","-","-","7.7","1.4"
"4670",1990,"체코","26","-","-","-","-","13.1","0.0"
"4671",1990,"덴마크","5","-","-","-","-","10.5","19.7"
"4672",1990,"에스토니아","22","-","-","-","-","1.1","0.2"
"4673",1990,"페로제도","0","-","-","-","-","0.0","0.0"
"4674",1990,"핀란드","219","-","-","-","-","4.4","3.3"
"4675",1990,"프랑스","144","-","-","-","-","10.7","2.0"
"4676",1990,"독일","113","-","-","-","-","19.6","40.2"
"4677",1990,"지브롤터","0","-","-","-","-","-","-"
"4678",1990,"그리스","33","-","-","-","-","9.7","0.4"
"4679",1990,"헝가리","18","-","-","-","-","6.1","0.0"
"4680",1990,"아이슬란드","0","-","-","-","-","2.8","0.0"
"4681",1990,"아일랜드","5","-","-","-","-","0.2","0.5"
"4682",1990,"맨섬","0","-","-","-","-","-","-"
"4683",1990,"이탈리아","76","-","-","-","-","5.8","0.6"
"4684",1990,"라트비아","32","-","-","-","-","6.6","0.0"
"4685",1990,"리히텐슈타인","0","-","-","-","-","40.2","0.0"
"4686",1990,"리투아니아","19","-","-","-","-","2.0","0.2"
