,번호,생태통로명,주소,도로명,도로번호,차선_수,경도,위도
1,1001,중동터널,서울특별시 구로구 궁동,계남큰길,,왕복6차로,126.830988888889,37.5064916666667
2,1002,개좌생태터널,부산광역시 금정구 회동동 산4-1,개좌로,0,왕복2차선,129.140919444444,35.2516805555556
3,1004,곰내 생태통로,부산광역시 기장군 철마면 웅천리,군도,19호선,왕복2차선,129.172,35.3057777777778
4,1005,정관예림리 생태통로,부산광역시 기장군 정관면 예림리,국지도,60호,왕복4차선,129.203305555556,35.3296666666667
5,1006,을숙도 생태통로,부산광역시 사하구 하단동,낙동남로,1240,왕복7차선,128.9412414,35.1088462
6,1007,만덕생태터널,부산광역시 북구 만덕동 산89-2,만덕고갯길,1,왕복 1 차선,129.051641666667,35.2113472222222
7,1008,징매이고개 생태통로,인천광역시 서구 공촌동,경명로,광3-9호,왕복8차선,126.709594444444,37.5466527777778
8,1009,원적산길 생태통로,인천광역시 서구 가좌동,원적로,중로1류33호선,왕복6차로,126.690277777778,37.5030361111111
9,1010,,광주광역시 광산구 지정동,국지도,49호선,왕복4차선,126.727777777778,35.1438888888889
10,1011,,대전광역시 동구 용운동,동부순환도로,,왕복4차선,127.459444444444,36.3408333333333
11,1012,,대전광역시 동구 가양동,동부순환도로,,왕복4차선,127.460555555556,36.3480555555556
12,1013,,대전광역시 중구 침산동,대전남부순환고속도로,남부순환도로,왕복4차선,127.387319444444,36.2833888888889
13,1014,국도14호선,울산광역시 남구 두왕동,국도,14호선,왕복4차선,129.295,35.5036111111111
14,1015,하늘공원 진입로,울산광역시 울주군 삼동면 조일리,보삼길,소로 1-3 호선,왕복2차선,129.111666666667,35.4952777777778
15,1016,두꺼비 생태통로,울산광역시 울주군 웅천면 통천리,군도,18호선,왕복2차선,129.246333333333,35.4751666666667
16,1017,목동 직동간 터널,경기도 광주시 직동,시도,9호선,왕복2차선,127.196194444444,37.39625
17,1018,오포터널,경기도 광주시 오포읍 능평리,-,57호선,왕복4차선,127.169888888889,37.3516944444444
18,1019,-,경기도 광주시 중대동 ,마을진입로,-,왕복2차선,127.235166666667,37.396
19,1021,외방리 생태통로,경기도 남양주시 수동면 외방리,농어촌,201호선,왕복2차선,127.302797222222,37.7347138888889
20,1022,도곡리 생태통로,경기도 남양주시 와부읍 도곡리,군도,13호선,왕복2차선,127.234272222222,37.5902416666667
21,1023,갈마치생태통로,경기도 성남시 중원구 갈현동,,389,왕복2차선,127.1875,37.4197222222222
22,1024,돌마로생태통로,경기도 성남시 중원구 도촌동,돌마로,,왕복4차선,127.143333333333,37.4158333333333
23,1026,범배산 생태 연결통로,경기도 시흥시 광석동 산24-9,시도,1호선,왕복 6 차선,126.811666666667,37.3838888888889
24,1027,마유로 생태 연결통로,경기도 시흥시 장곡동 산84-3,시도,9호선,왕복6차선,126.7725,37.3777777777778
25,1028,,경기도 경기도 양주시 광적면 우고리,시도,39호선,왕복2차선,126.940361111111,37.8291666666667
26,1029,,경기도 양주시 어둔동,시도,3호선,왕복2차선,127.021388888889,37.782
27,1031,,경기도 여주시 현암리,군도,10호선,왕복4차선,127.631361111111,37.3142666666667
28,1032,,경기도 용인시 처인구 삼가동,학고개터널,321호선,왕복4차선,127.163122222222,37.2252222222222
29,1033,,경기도 용인시 처인구 양지면 주북리,도시계획도로소,1-13호선,왕복2차선,127.238022222222,37.2602833333333
30,1034,,경기도 용인시 처인구 원삼면 두창리 산2-6,원설로,318호선,왕복2차선,127.354605555556,37.1498444444444
31,1035,곱든고개 생태통로,경기도 용인시 처인구 원삼면 사암리,소로1-11,57호선,왕복2차선,127.296294444444,37.1870861111111
32,1036,모락산 터널,경기도 의왕시 내손동 산142번지,시도,125호선,왕복2차선,126.990888888889,37.37525
33,1040,봉서터널,경기도 파주시 파주읍 봉서리,시도,6호선(도시계획 대1-2),왕복4차선,126.795277777778,37.8502777777778
34,1041,신산터널,경기도 파주시 광탄면 신산리,시도,13호선(도시계획 중2-1),왕복2차선,126.853888888889,37.7788888888889
35,1042,학령1터널,경기도 파주시 아동동,시청로,(도시계획 중1-1),왕복4차선,126.780833333333,37.7608333333333
36,1043,학령2터널,경기도 파주시 아동동,학령로,(도시계획 소2-101),왕복4차선,126.790277777778,37.7569444444444
37,1044,덕고개터널,경기도 파주시 적성면 답곡리,시도,18호선(농어촌 301),왕복2차선,126.868055555556,37.9477777777778
38,1045,,경기도 평택시 장안동,지방도,317호선,왕복4차선,127.091716666667,37.0678083333333
39,1046,,경기도 평택시 지산동 ,지방도,317호선,왕복4차선,127.091827777778,37.0786833333333
40,1047,노채고개,경기도 포천시 일동면 기산리,하면~일동,387,왕복2차선,127.338055555556,37.9283333333333
41,1048,없음,경기도 하남시 광암동,지방도,180호선,왕복4차선,127.17735,37.52185
42,1049,없음,경기도 화성시 송산면 육일리,지방도,318호선,왕복2차선,126.718697222222,37.1944305555555
43,1050,없음,경기도 화성시 송산면 육일리,지방도,318호선,왕복2차선,126.718730555556,37.1947555555556
44,1051,일산생태통로,경기도 고양시 일산동구 중산동,하능마을로,중로2-1호선,왕복2차선,126.787388888889,37.6841388888889
45,1052,밤일생태육교,경기도 광명시 노온사동,금하로,1,왕복6차선,126.856872222222,37.4533638888889
46,1053,밤일생태육교,경기도 광명시 노온사동 ,밤일로,1,왕복2차선,126.856827777778,37.4533611111111
47,1054,절터육교,경기도 의왕시 월암동,서수원∼의왕간고속화도로,지방도 309호선,왕복6∼8차선,126.966388888889,37.3172333333333
48,1055,,경기도 의왕시 고천동 ,서수원∼의왕간고속화도로,지방도309호선,왕복6∼8차선,126.973172222222,37.3366111111111
49,1056,풍뎅이다리,경기도 수원시 영통구 이의동,지방도,1,왕복4차선,127.044277777778,37.3055555555556
50,1057,반딧불이다리,경기도 수원시 영통구 이의동,지방도,1,왕복6차선,127.035666666667,37.2945555555556
51,1058,나비잠자리다리,경기도 수원시 영통구 이의동,지방도,1,왕복8차선,127.042388888889,37.2889722222222
52,1059,소나무다리,경기도 수원시 영통구 이의동,지방도,1,왕복4차선,127.051083333333,37.2826944444444
53,1060,갈참나무다리,경기도 수원시 영통구 이의동,지방도,1,왕복8차선,127.052805555556,37.2825555555556
