,본부명,지사명,노선명,구간,방.향,X5km,발생건수,위도.x,경도,X,번호,생태통로명,주소,도로명,도로번호,차선_수,위도.y,위도
1, 수도권 , 경기광주 , 제2중부선 ,330~335, 통영 ,330,5,37.2830594,127.3855901,NA,NA,NA,NA,NA,NA,NA,NA,37.2830594
2, 수도권 , 경기광주 , 제2중부선 ,335~340, 하남 ,335,3,37.3153254,127.3472754,NA,NA,NA,NA,NA,NA,NA,NA,37.3153254
3, 수도권 , 경기광주 , 중부선 ,330~335, 통영 ,330,3,37.2831926,127.3849201,NA,NA,NA,NA,NA,NA,NA,NA,37.2831926
4, 수도권 , 경기광주 , 중부선 ,340~345, 통영 ,340,3,37.3536425,127.3205395,NA,NA,NA,NA,NA,NA,NA,NA,37.3536425
5, 수도권 , 경기광주 , 중부선 ,325~330, 하남 ,325,3,37.2489572,127.4213702,NA,NA,NA,NA,NA,NA,NA,NA,37.2489572
6, 수도권 , 경기광주 , 중부선 ,330~335, 하남 ,330,3,37.2831926,127.3849201,NA,NA,NA,NA,NA,NA,NA,NA,37.2831926
7, 수도권 , 경기광주 , 중부선 ,350~355, 하남 ,350,5,37.438927,127.2891253,NA,NA,NA,NA,NA,NA,NA,NA,37.438927
8, 수도권 , 동서울 , 수도권제1순환선 ,120~125, 일산 ,120,4,37.3903004,127.0096347,NA,NA,NA,NA,NA,NA,NA,NA,37.3903004
9, 수도권 , 동서울 , 수도권제1순환선 ,30~35, 판교 ,30,3,37.6138233,127.1420652,NA,NA,NA,NA,NA,NA,NA,NA,37.6138233
10, 수도권 , 동서울 , 수도권제1순환선 ,115~120, 판교 ,115,3,37.3791853,126.9574134,NA,NA,NA,NA,NA,NA,NA,NA,37.3791853
11, 수도권 , 시흥 , 제2경인선 ,20~25, 안양 ,20,3,37.4398798,126.8492325,NA,NA,NA,NA,NA,NA,NA,NA,37.4398798
12, 강원 , 강릉 , 동해선 ,15~20, 속초 ,15,3,37.4862924,129.0907032,NA,NA,NA,NA,NA,NA,NA,NA,37.4862924
13, 강원 , 강릉 , 동해선 ,50~55, 속초 ,50,3,37.6908378,128.8971321,NA,NA,NA,NA,NA,NA,NA,NA,37.6908378
14, 강원 , 양양 , 서울양양선 ,95~100, 양양 ,95,3,37.7885332,128.1371004,NA,NA,NA,NA,NA,NA,NA,NA,37.7885332
15, 강원 , 이천 , 영동선 ,55~60, 인천 ,55,3,37.2477833,127.23533,NA,NA,NA,NA,NA,NA,NA,NA,37.2477833
16, 강원 , 이천 , 중부내륙선 ,280~285, 양평 ,280,3,37.3480828,127.5412771,NA,NA,NA,NA,NA,NA,NA,NA,37.3480828
17, 강원 , 홍천 , 중앙선 ,315~320, 부산 ,315,8,37.340987,127.9125914,NA,NA,NA,NA,NA,NA,NA,NA,37.340987
18, 강원 , 홍천 , 중앙선 ,345~350, 부산 ,345,4,37.572884,127.9732079,NA,NA,NA,NA,NA,NA,NA,NA,37.572884
19, 강원 , 홍천 , 중앙선 ,350~355, 부산 ,350,3,37.6134811,127.9563302,NA,NA,NA,NA,NA,NA,NA,NA,37.6134811
20, 강원 , 홍천 , 중앙선 ,355~360, 부산 ,355,3,37.646758,127.9193938,NA,NA,NA,NA,NA,NA,NA,NA,37.646758
21, 강원 , 홍천 , 중앙선 ,360~365, 부산 ,360,3,37.6701836,127.8743817,NA,NA,NA,NA,NA,NA,NA,NA,37.6701836
22, 강원 , 홍천 , 중앙선 ,375~380, 부산 ,375,3,37.7664292,127.7909967,NA,NA,NA,NA,NA,NA,NA,NA,37.7664292
23, 강원 , 홍천 , 중앙선 ,385~390, 부산 ,385,3,37.8387689,127.7779955,NA,NA,NA,NA,NA,NA,NA,NA,37.8387689
24, 강원 , 홍천 , 중앙선 ,315~320, 춘천 ,315,6,37.340987,127.9125914,NA,NA,NA,NA,NA,NA,NA,NA,37.340987
25, 강원 , 홍천 , 중앙선 ,325~330, 춘천 ,325,6,37.4183258,127.916969,NA,NA,NA,NA,NA,NA,NA,NA,37.4183258
26, 강원 , 홍천 , 중앙선 ,345~350, 춘천 ,345,3,37.572884,127.9732079,NA,NA,NA,NA,NA,NA,NA,NA,37.572884
27, 강원 , 홍천 , 중앙선 ,375~380, 춘천 ,375,4,37.7664292,127.7909967,NA,NA,NA,NA,NA,NA,NA,NA,37.7664292
28, 강원 , 홍천 , 중앙선 ,380~385, 춘천 ,380,3,37.8022068,127.7716686,NA,NA,NA,NA,NA,NA,NA,NA,37.8022068
29, 강원 , 홍천 , 중앙선 ,385~390, 춘천 ,385,4,37.8387689,127.7779955,NA,NA,NA,NA,NA,NA,NA,NA,37.8387689
30, 충북 , 보은 , 청주상주선 ,0~5, 상주 ,0,3,36.5647448,127.4306527,NA,NA,NA,NA,NA,NA,NA,NA,36.5647448
31, 충북 , 보은 , 청주상주선 ,5~10, 상주 ,5,3,36.5458603,127.479322,NA,NA,NA,NA,NA,NA,NA,NA,36.5458603
32, 충북 , 보은 , 청주상주선 ,45~50, 상주 ,45,3,36.4474108,127.8883615,NA,NA,NA,NA,NA,NA,NA,NA,36.4474108
33, 충북 , 엄정 , 평택제천선 ,90~95, 제천 ,90,3,37.0363053,127.7918926,NA,NA,NA,NA,NA,NA,NA,NA,37.0363053
34, 충북 , 엄정 , 평택제천선 ,35~40, 평택 ,35,6,36.9817443,127.2375483,NA,NA,NA,NA,NA,NA,NA,NA,36.9817443
35, 충북 , 제천 , 중앙선 ,270~275, 부산 ,270,4,37.0512475,128.2059482,NA,NA,NA,NA,NA,NA,NA,NA,37.0512475
36, 충북 , 제천 , 중앙선 ,260~265, 춘천 ,260,3,37.0048542,128.2941624,NA,NA,NA,NA,NA,NA,NA,NA,37.0048542
37, 충북 , 진천 , 중부선 ,255~260, 통영 ,255,4,36.666547,127.4240858,NA,NA,NA,NA,NA,NA,NA,NA,36.666547
38, 충북 , 진천 , 중부선 ,290~295, 통영 ,290,5,36.9476101,127.4714058,NA,NA,NA,NA,NA,NA,NA,NA,36.9476101
39, 충북 , 진천 , 중부선 ,300~305, 통영 ,300,3,37.035401,127.4801145,NA,NA,NA,NA,NA,NA,NA,NA,37.035401
40, 충북 , 진천 , 중부선 ,320~325, 통영 ,320,5,37.2077647,127.4422137,NA,NA,NA,NA,NA,NA,NA,NA,37.2077647
41, 충북 , 진천 , 중부선 ,250~255, 하남 ,250,4,36.6222664,127.4202485,NA,NA,NA,NA,NA,NA,NA,NA,36.6222664
42, 충북 , 진천 , 중부선 ,260~265, 하남 ,260,5,36.7088023,127.4375391,NA,NA,NA,NA,NA,NA,NA,NA,36.7088023
43, 충북 , 진천 , 중부선 ,270~275, 하남 ,270,3,36.7782731,127.5066813,NA,NA,NA,NA,NA,NA,NA,NA,36.7782731
44, 충북 , 진천 , 중부선 ,300~305, 하남 ,300,6,37.035401,127.4801145,NA,NA,NA,NA,NA,NA,NA,NA,37.035401
45, 충북 , 진천 , 중부선 ,305~310, 하남 ,305,4,37.0774519,127.4625306,NA,NA,NA,NA,NA,NA,NA,NA,37.0774519
46, 대전충남 , 공주 , 당진대전선 ,50~55, 당진 ,50,3,36.5450241,126.9895716,NA,NA,NA,NA,NA,NA,NA,NA,36.5450241
47, 대전충남 , 공주 , 당진대전선 ,60~65, 당진 ,60,3,36.4847862,127.0585342,NA,NA,NA,NA,NA,NA,NA,NA,36.4847862
48, 대전충남 , 공주 , 당진대전선 ,85~90, 당진 ,85,3,36.4278717,127.2883162,NA,NA,NA,NA,NA,NA,NA,NA,36.4278717
49, 대전충남 , 공주 , 당진대전선 ,70~75, 대전 ,70,3,36.4975705,127.1654894,NA,NA,NA,NA,NA,NA,NA,NA,36.4975705
50, 대전충남 , 공주 , 당진대전선 ,75~80, 대전 ,75,4,36.4878046,127.2162697,NA,NA,NA,NA,NA,NA,NA,NA,36.4878046
