瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥历扁柯 矫阿(hhmi),弥绊扁柯(∑C),弥绊扁柯 矫阿(hhmi),老碍荐樊(mm),乞闭 浅加(m/s),钦拌 老炼矫埃(hr),钦拌 老荤樊(MJ/m2)
294,芭力,2017-01-01,4.8,0,457,12.2,1448,,.6,7,
294,芭力,2017-01-02,8.3,2.1,134,14,1314,,1.1,6.5,
294,芭力,2017-01-03,5.8,1.8,720,12.9,1421,,.7,7.3,
294,芭力,2017-01-04,5.7,1,559,11.6,1454,,.8,6.5,
294,芭力,2017-01-05,7,2,347,11.6,1314,,1.5,.9,
294,芭力,2017-01-06,7.7,4.5,2351,12.2,1424,,1.8,5.6,
294,芭力,2017-01-07,6.8,1.4,631,11,1457,1.4,.5,1.1,
294,芭力,2017-01-08,8.4,6.7,2239,12.8,1433,5,1,1.6,
294,芭力,2017-01-09,7,2.4,2314,11,1519,,2.2,6.9,
294,芭力,2017-01-10,4.1,.2,424,8.1,1420,,2.4,7.5,
294,芭力,2017-01-11,1.2,-1.2,837,4.7,1506,,2.3,7.5,
294,芭力,2017-01-12,4.3,0,413,8.5,1448,,2.3,5.3,
294,芭力,2017-01-13,2.3,-1.4,629,6.4,1520,,2.8,6.5,
294,芭力,2017-01-14,-.9,-4.4,2354,3,1337,,3.7,7.6,
294,芭力,2017-01-15,-1.4,-6.8,643,5.2,1537,,2.2,7.7,
294,芭力,2017-01-16,.3,-3,618,5.9,1451,,1.9,7.7,
294,芭力,2017-01-17,2.2,-3,239,8.4,1437,,.6,6.4,
294,芭力,2017-01-18,4.6,-.5,511,8.9,1501,,1.5,3.7,
294,芭力,2017-01-19,3.6,-.3,744,9.3,1433,,1,6.3,
294,芭力,2017-01-20,2.4,-1.5,2400,5,1136,,3.8,6.7,
294,芭力,2017-01-21,.8,-2.8,759,4.8,1507,,2.1,7.3,
294,芭力,2017-01-22,1,-2.7,2355,4.4,1435,,3.3,7,
294,芭力,2017-01-23,-1.3,-3.9,617,3.4,1415,,3,8,
294,芭力,2017-01-24,-1.1,-4.2,716,4.7,1531,,2,8.1,
294,芭力,2017-01-25,-.4,-5.3,623,6.5,1542,,.7,8.1,
294,芭力,2017-01-26,3.2,-4.4,728,9.1,1352,,1.5,8.1,
294,芭力,2017-01-27,6.7,.3,2344,11.6,1450,,2.7,5,
294,芭力,2017-01-28,4.6,-1.8,753,11.9,1517,,.8,8.2,
294,芭力,2017-01-29,6,4.4,808,9.4,2342,8.5,.5,0,
294,芭力,2017-01-30,3.8,-.5,2322,10,10,.5,2.8,6.9,
294,芭力,2017-01-31,2,-2.3,623,8.6,1537,,1.3,6.1,
294,芭力,2017-02-01,2.6,-.8,2339,8.5,1514,,2.1,5,
294,芭力,2017-02-02,2.9,-3,658,10.5,1500,,1.4,8.4,
294,芭力,2017-02-03,4.7,-1.1,404,12,1456,,1.1,8.5,
