네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
생활/건강 > 원예/식물
조회기간 : 2021.07.10. ~ 2022.07.10. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","원예/식물"
"2021-07-10",38
"2021-07-11",40
"2021-07-12",38
"2021-07-13",38
"2021-07-14",36
"2021-07-15",36
"2021-07-16",34
"2021-07-17",38
"2021-07-18",40
"2021-07-19",38
"2021-07-20",37
"2021-07-21",36
"2021-07-22",36
"2021-07-23",33
"2021-07-24",33
"2021-07-25",36
"2021-07-26",32
"2021-07-27",33
"2021-07-28",33
"2021-07-29",32
"2021-07-30",30
"2021-07-31",32
"2021-08-01",34
"2021-08-02",33
"2021-08-03",34
"2021-08-04",35
"2021-08-05",34
"2021-08-06",32
"2021-08-07",34
"2021-08-08",38
"2021-08-09",37
"2021-08-10",37
"2021-08-11",38
"2021-08-12",37
"2021-08-13",34
"2021-08-14",37
"2021-08-15",38
"2021-08-16",42
"2021-08-17",40
"2021-08-18",40
"2021-08-19",40
"2021-08-20",38
"2021-08-21",41
"2021-08-22",42
"2021-08-23",44
"2021-08-24",40
"2021-08-25",40
"2021-08-26",38
"2021-08-27",37
"2021-08-28",37
"2021-08-29",42
"2021-08-30",41
"2021-08-31",41
"2021-09-01",39
"2021-09-02",39
"2021-09-03",37
"2021-09-04",37
"2021-09-05",42
"2021-09-06",41
"2021-09-07",40
"2021-09-08",38
"2021-09-09",38
"2021-09-10",35
"2021-09-11",35
"2021-09-12",40
"2021-09-13",39
"2021-09-14",37
"2021-09-15",34
"2021-09-16",32
"2021-09-17",30
"2021-09-18",28
"2021-09-19",28
"2021-09-20",26
"2021-09-21",29
"2021-09-22",35
"2021-09-23",37
"2021-09-24",36
"2021-09-25",38
"2021-09-26",42
"2021-09-27",39
"2021-09-28",40
"2021-09-29",40
"2021-09-30",38
"2021-10-01",36
"2021-10-02",37
"2021-10-03",40
"2021-10-04",44
"2021-10-05",41
"2021-10-06",40
"2021-10-07",39
"2021-10-08",38
"2021-10-09",37
"2021-10-10",40
"2021-10-11",42
"2021-10-12",38
"2021-10-13",37
"2021-10-14",37
"2021-10-15",35
"2021-10-16",34
"2021-10-17",35
"2021-10-18",34
"2021-10-19",35
"2021-10-20",35
"2021-10-21",34
"2021-10-22",33
"2021-10-23",33
"2021-10-24",37
"2021-10-25",37
"2021-10-26",37
"2021-10-27",37
"2021-10-28",37
"2021-10-29",38
"2021-10-30",38
"2021-10-31",41
"2021-11-01",42
"2021-11-02",42
"2021-11-03",42
"2021-11-04",41
"2021-11-05",38
"2021-11-06",37
"2021-11-07",41
"2021-11-08",43
"2021-11-09",42
"2021-11-10",40
"2021-11-11",39
"2021-11-12",35
"2021-11-13",33
"2021-11-14",35
"2021-11-15",36
"2021-11-16",37
"2021-11-17",36
"2021-11-18",35
"2021-11-19",38
"2021-11-20",38
"2021-11-21",42
"2021-11-22",41
