네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
생활/건강
조회기간 : 2021.07.10. ~ 2022.07.10. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","장미","카네이션"
"2021-07-10",1,0
"2021-07-11",1,0
"2021-07-12",1,0
"2021-07-13",0,0
"2021-07-14",1,0
"2021-07-15",1,0
"2021-07-16",1,0
"2021-07-17",1,0
"2021-07-18",0,0
"2021-07-19",1,0
"2021-07-20",1,0
"2021-07-21",1,0
"2021-07-22",1,0
"2021-07-23",0,0
"2021-07-24",0,0
"2021-07-25",1,0
"2021-07-26",0,0
"2021-07-27",1,0
"2021-07-28",0,0
"2021-07-29",1,0
"2021-07-30",0,0
"2021-07-31",1,0
"2021-08-01",0,0
"2021-08-02",1,0
"2021-08-03",0,0
"2021-08-04",0,0
"2021-08-05",1,0
"2021-08-06",0,0
"2021-08-07",0,0
"2021-08-08",0,0
"2021-08-09",1,0
"2021-08-10",1,0
"2021-08-11",1,0
"2021-08-12",1,0
"2021-08-13",1,0
"2021-08-14",1,0
"2021-08-15",1,0
"2021-08-16",1,0
"2021-08-17",1,0
"2021-08-18",1,0
"2021-08-19",1,0
"2021-08-20",1,0
"2021-08-21",1,0
"2021-08-22",1,0
"2021-08-23",1,0
"2021-08-24",1,0
"2021-08-25",0,0
"2021-08-26",0,0
"2021-08-27",0,0
"2021-08-28",1,0
"2021-08-29",1,0
"2021-08-30",1,0
"2021-08-31",1,0
"2021-09-01",0,0
"2021-09-02",0,0
"2021-09-03",1,0
"2021-09-04",0,0
"2021-09-05",1,0
"2021-09-06",0,0
"2021-09-07",1,0
"2021-09-08",0,0
"2021-09-09",1,0
"2021-09-10",1,0
"2021-09-11",1,0
"2021-09-12",1,0
"2021-09-13",0,0
"2021-09-14",0,0
"2021-09-15",0,0
"2021-09-16",1,0
"2021-09-17",1,0
"2021-09-18",0,0
"2021-09-19",0,0
"2021-09-20",0,0
"2021-09-21",0,0
"2021-09-22",1,0
"2021-09-23",0,0
"2021-09-24",0,0
"2021-09-25",0,0
"2021-09-26",1,0
"2021-09-27",0,0
"2021-09-28",0,0
"2021-09-29",1,0
"2021-09-30",0,0
"2021-10-01",1,0
"2021-10-02",0,0
"2021-10-03",0,0
"2021-10-04",1,0
"2021-10-05",1,0
"2021-10-06",0,0
"2021-10-07",1,0
"2021-10-08",0,0
"2021-10-09",0,0
"2021-10-10",0,0
"2021-10-11",1,0
"2021-10-12",1,0
"2021-10-13",0,0
"2021-10-14",0,0
"2021-10-15",1,0
"2021-10-16",0,0
"2021-10-17",0,0
"2021-10-18",0,0
"2021-10-19",0,0
"2021-10-20",0,0
"2021-10-21",0,0
"2021-10-22",0,0
"2021-10-23",0,0
"2021-10-24",0,0
"2021-10-25",0,0
"2021-10-26",0,0
"2021-10-27",0,0
"2021-10-28",0,0
"2021-10-29",1,0
"2021-10-30",0,0
"2021-10-31",1,0
"2021-11-01",0,0
"2021-11-02",0,0
"2021-11-03",0,0
"2021-11-04",1,0
"2021-11-05",0,0
"2021-11-06",1,0
"2021-11-07",0,0
"2021-11-08",0,0
"2021-11-09",0,0
"2021-11-10",0,0
"2021-11-11",0,0
"2021-11-12",1,0
"2021-11-13",0,0
"2021-11-14",0,0
"2021-11-15",0,0
"2021-11-16",1,0
"2021-11-17",0,0
"2021-11-18",0,0
"2021-11-19",1,0
"2021-11-20",0,0
"2021-11-21",0,0
"2021-11-22",0,0
"2021-11-23",0,0
"2021-11-24",0,0
"2021-11-25",0,0
"2021-11-26",1,0
"2021-11-27",0,0
"2021-11-28",1,0
"2021-11-29",1,0
"2021-11-30",0,0
"2021-12-01",1,0
"2021-12-02",0,0
"2021-12-03",0,0
"2021-12-04",1,0
"2021-12-05",1,0
"2021-12-06",1,0
"2021-12-07",1,0
"2021-12-08",1,0
"2021-12-09",1,0
"2021-12-10",1,0
"2021-12-11",1,0
"2021-12-12",0,0
"2021-12-13",0,0
"2021-12-14",0,0
"2021-12-15",1,0
"2021-12-16",0,0
"2021-12-17",0,0
"2021-12-18",0,0
"2021-12-19",0,0
"2021-12-20",0,0
"2021-12-21",1,0
"2021-12-22",0,0
"2021-12-23",0,0
"2021-12-24",1,0
"2021-12-25",1,0
"2021-12-26",1,0
"2021-12-27",1,0
"2021-12-28",1,0
"2021-12-29",1,0
"2021-12-30",1,0
"2021-12-31",0,0
"2022-01-01",1,0
"2022-01-02",1,0
"2022-01-03",0,0
"2022-01-04",1,0
"2022-01-05",1,0
"2022-01-06",1,0
"2022-01-07",1,0
"2022-01-08",1,0
"2022-01-09",1,0
"2022-01-10",1,0
"2022-01-11",1,0
"2022-01-12",0,0
"2022-01-13",0,0
"2022-01-14",1,0
"2022-01-15",1,0
"2022-01-16",1,0
"2022-01-17",1,0
"2022-01-18",1,0
"2022-01-19",0,0
"2022-01-20",1,0
"2022-01-21",0,0
"2022-01-22",1,0
"2022-01-23",1,0
"2022-01-24",1,0
"2022-01-25",1,0
"2022-01-26",1,0
"2022-01-27",1,0
"2022-01-28",1,0
"2022-01-29",1,0
"2022-01-30",0,0
"2022-01-31",0,0
"2022-02-01",1,0
"2022-02-02",1,0
"2022-02-03",1,0
"2022-02-04",1,0
"2022-02-05",1,0
"2022-02-06",1,0
"2022-02-07",1,0
"2022-02-08",1,0
"2022-02-09",1,0
"2022-02-10",1,0
"2022-02-11",1,0
"2022-02-12",1,0
"2022-02-13",1,0
"2022-02-14",1,0
"2022-02-15",1,0
"2022-02-16",1,0
"2022-02-17",1,0
"2022-02-18",1,0
"2022-02-19",1,0
"2022-02-20",1,0
"2022-02-21",1,0
"2022-02-22",1,0
"2022-02-23",1,0
"2022-02-24",1,0
"2022-02-25",1,0
"2022-02-26",1,0
