네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품 > 과자/베이커리
조회기간 : 2021.07.11. ~ 2022.07.11. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","약과","페레로로쉐","마카롱","츄파춥스"
"2021-07-11",5,2,4,2
"2021-07-12",6,1,6,2
"2021-07-13",9,2,6,2
"2021-07-14",6,1,6,1
"2021-07-15",6,2,4,2
"2021-07-16",6,1,3,1
"2021-07-17",3,1,4,2
"2021-07-18",5,1,4,1
"2021-07-19",6,2,5,1
"2021-07-20",5,2,5,2
"2021-07-21",5,2,5,1
"2021-07-22",6,2,5,2
"2021-07-23",4,1,4,1
"2021-07-24",5,1,3,1
"2021-07-25",6,1,5,2
"2021-07-26",8,2,5,1
"2021-07-27",8,1,4,2
"2021-07-28",6,1,5,1
"2021-07-29",6,1,5,1
"2021-07-30",5,1,4,1
"2021-07-31",6,1,4,1
"2021-08-01",7,1,5,1
"2021-08-02",13,1,6,2
"2021-08-03",17,2,5,1
"2021-08-04",15,2,5,2
"2021-08-05",11,2,5,2
"2021-08-06",10,1,4,2
"2021-08-07",10,2,4,1
"2021-08-08",12,2,5,2
"2021-08-09",12,3,5,2
"2021-08-10",10,2,6,2
"2021-08-11",10,2,6,2
"2021-08-12",11,2,6,1
"2021-08-13",8,1,5,2
"2021-08-14",7,2,5,1
"2021-08-15",7,1,5,1
"2021-08-16",11,2,5,2
"2021-08-17",11,2,6,2
"2021-08-18",13,2,5,2
"2021-08-19",10,2,5,2
"2021-08-20",8,2,4,2
"2021-08-21",9,2,4,2
"2021-08-22",9,3,5,2
"2021-08-23",16,4,5,2
"2021-08-24",14,3,6,2
"2021-08-25",11,3,5,2
"2021-08-26",10,2,4,2
"2021-08-27",7,3,5,2
"2021-08-28",8,2,5,2
"2021-08-29",11,2,6,2
"2021-08-30",15,3,5,2
"2021-08-31",16,3,6,2
"2021-09-01",15,3,7,2
"2021-09-02",16,3,6,2
"2021-09-03",17,2,5,2
"2021-09-04",11,2,4,2
"2021-09-05",14,3,6,2
"2021-09-06",21,3,7,1
"2021-09-07",21,4,6,2
"2021-09-08",16,3,5,2
"2021-09-09",22,3,5,1
"2021-09-10",18,3,4,1
"2021-09-11",16,3,4,2
"2021-09-12",21,3,6,2
"2021-09-13",24,4,6,2
"2021-09-14",22,3,5,2
"2021-09-15",15,3,4,1
"2021-09-16",9,3,4,1
"2021-09-17",7,2,3,1
"2021-09-18",6,2,3,1
"2021-09-19",8,2,3,1
"2021-09-20",9,1,3,1
"2021-09-21",10,1,3,1
"2021-09-22",11,2,5,1
"2021-09-23",11,3,5,1
"2021-09-24",9,3,4,2
