네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
식품 > 농산물 > 과일 > 포도
조회기간 : 2021.01.01. ~ 2021.12.31. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","포도"
"2021-01-01",5
"2021-01-02",5
"2021-01-03",6
"2021-01-04",9
"2021-01-05",7
"2021-01-06",6
"2021-01-07",6
"2021-01-08",4
"2021-01-09",5
"2021-01-10",6
"2021-01-11",6
"2021-01-12",6
"2021-01-13",6
"2021-01-14",6
"2021-01-15",5
"2021-01-16",6
"2021-01-17",6
"2021-01-18",6
"2021-01-19",6
"2021-01-20",6
"2021-01-21",6
"2021-01-22",5
"2021-01-23",6
"2021-01-24",6
"2021-01-25",6
"2021-01-26",7
"2021-01-27",7
"2021-01-28",7
"2021-01-29",6
"2021-01-30",6
"2021-01-31",8
"2021-02-01",11
"2021-02-02",13
"2021-02-03",12
"2021-02-04",12
"2021-02-05",11
"2021-02-06",9
"2021-02-07",9
"2021-02-08",9
"2021-02-09",6
"2021-02-10",6
"2021-02-11",5
"2021-02-12",6
"2021-02-13",4
"2021-02-14",4
"2021-02-15",5
"2021-02-16",5
"2021-02-17",5
"2021-02-18",4
"2021-02-19",3
"2021-02-20",4
"2021-02-21",4
"2021-02-22",5
"2021-02-23",4
"2021-02-24",4
"2021-02-25",4
"2021-02-26",3
"2021-02-27",4
"2021-02-28",4
"2021-03-01",5
"2021-03-02",5
"2021-03-03",4
"2021-03-04",4
"2021-03-05",4
"2021-03-06",4
"2021-03-07",5
"2021-03-08",6
"2021-03-09",5
"2021-03-10",5
"2021-03-11",5
"2021-03-12",5
"2021-03-13",5
"2021-03-14",6
"2021-03-15",6
"2021-03-16",6
"2021-03-17",5
"2021-03-18",5
"2021-03-19",6
"2021-03-20",6
"2021-03-21",7
"2021-03-22",7
"2021-03-23",7
"2021-03-24",7
"2021-03-25",5
"2021-03-26",5
"2021-03-27",6
"2021-03-28",6
"2021-03-29",6
"2021-03-30",6
"2021-03-31",5
"2021-04-01",5
"2021-04-02",5
"2021-04-03",5
"2021-04-04",6
"2021-04-05",6
"2021-04-06",7
"2021-04-07",8
"2021-04-08",6
"2021-04-09",6
"2021-04-10",5
"2021-04-11",6
"2021-04-12",7
"2021-04-13",7
"2021-04-14",7
"2021-04-15",7
"2021-04-16",6
"2021-04-17",6
"2021-04-18",6
"2021-04-19",7
"2021-04-20",7
"2021-04-21",7
"2021-04-22",7
"2021-04-23",6
"2021-04-24",6
"2021-04-25",9
"2021-04-26",8
"2021-04-27",8
"2021-04-28",7
"2021-04-29",6
"2021-04-30",5
"2021-05-01",6
"2021-05-02",7
"2021-05-03",6
"2021-05-04",6
"2021-05-05",7
"2021-05-06",7
"2021-05-07",5
"2021-05-08",6
"2021-05-09",5
"2021-05-10",6
"2021-05-11",6
"2021-05-12",5
"2021-05-13",7
"2021-05-14",6
"2021-05-15",5
"2021-05-16",6
"2021-05-17",5
"2021-05-18",5
"2021-05-19",5
"2021-05-20",6
"2021-05-21",5
"2021-05-22",4
"2021-05-23",5
"2021-05-24",5
"2021-05-25",5
"2021-05-26",5
"2021-05-27",7
"2021-05-28",5
"2021-05-29",4
"2021-05-30",5
"2021-05-31",6
"2021-06-01",6
"2021-06-02",6
"2021-06-03",6
"2021-06-04",5
"2021-06-05",4
"2021-06-06",5
"2021-06-07",5
"2021-06-08",6
"2021-06-09",5
"2021-06-10",5
"2021-06-11",4
"2021-06-12",3
"2021-06-13",4
"2021-06-14",6
"2021-06-15",5
"2021-06-16",5
"2021-06-17",5
"2021-06-18",4
"2021-06-19",4
"2021-06-20",4
"2021-06-21",7
"2021-06-22",5
"2021-06-23",6
"2021-06-24",5
"2021-06-25",4
"2021-06-26",4
"2021-06-27",4
"2021-06-28",6
"2021-06-29",6
"2021-06-30",5
"2021-07-01",6
"2021-07-02",6
"2021-07-03",5
"2021-07-04",5
"2021-07-05",7
"2021-07-06",6
"2021-07-07",6
"2021-07-08",6
"2021-07-09",5
"2021-07-10",5
"2021-07-11",6
"2021-07-12",8
"2021-07-13",13
"2021-07-14",9
"2021-07-15",8
"2021-07-16",7
"2021-07-17",7
"2021-07-18",8
"2021-07-19",9
"2021-07-20",10
"2021-07-21",10
"2021-07-22",10
"2021-07-23",9
"2021-07-24",8
"2021-07-25",9
"2021-07-26",12
"2021-07-27",13
"2021-07-28",13
"2021-07-29",13
"2021-07-30",12
"2021-07-31",13
"2021-08-01",13
"2021-08-02",16
"2021-08-03",17
"2021-08-04",19
"2021-08-05",19
"2021-08-06",17
"2021-08-07",16
"2021-08-08",18
"2021-08-09",22
"2021-08-10",22
"2021-08-11",23
"2021-08-12",23
"2021-08-13",20
"2021-08-14",20
"2021-08-15",24
"2021-08-16",27
"2021-08-17",28
"2021-08-18",30
"2021-08-19",29
"2021-08-20",30
"2021-08-21",26
"2021-08-22",28
"2021-08-23",30
"2021-08-24",31
"2021-08-25",47
"2021-08-26",41
"2021-08-27",44
"2021-08-28",45
"2021-08-29",39
"2021-08-30",48
"2021-08-31",50
"2021-09-01",51
"2021-09-02",55
"2021-09-03",54
"2021-09-04",43
"2021-09-05",49
"2021-09-06",60
"2021-09-07",62
"2021-09-08",65
"2021-09-09",72
"2021-09-10",67
"2021-09-11",61
"2021-09-12",75
"2021-09-13",100
"2021-09-14",97
"2021-09-15",80
"2021-09-16",56
"2021-09-17",47
"2021-09-18",42
"2021-09-19",38
"2021-09-20",33
"2021-09-21",33
"2021-09-22",32
"2021-09-23",35
"2021-09-24",32
"2021-09-25",29
"2021-09-26",29
"2021-09-27",32
"2021-09-28",30
"2021-09-29",29
"2021-09-30",28
"2021-10-01",26
"2021-10-02",24
"2021-10-03",25
"2021-10-04",29
"2021-10-05",29
"2021-10-06",29
"2021-10-07",25
"2021-10-08",22
"2021-10-09",21
"2021-10-10",28
"2021-10-11",25
"2021-10-12",24
"2021-10-13",22
"2021-10-14",22
"2021-10-15",20
"2021-10-16",18
"2021-10-17",19
"2021-10-18",19
"2021-10-19",19
"2021-10-20",20
"2021-10-21",18
"2021-10-22",17
"2021-10-23",16
"2021-10-24",17
"2021-10-25",29
"2021-10-26",25
"2021-10-27",20
"2021-10-28",18
"2021-10-29",17
"2021-10-30",15
"2021-10-31",17
"2021-11-01",18
"2021-11-02",18
"2021-11-03",16
"2021-11-04",14
"2021-11-05",11
"2021-11-06",11
"2021-11-07",12
"2021-11-08",14
"2021-11-09",12
"2021-11-10",11
"2021-11-11",11
"2021-11-12",10
"2021-11-13",8
"2021-11-14",9
"2021-11-15",9
"2021-11-16",10
"2021-11-17",9
"2021-11-18",8
"2021-11-19",8
"2021-11-20",8
"2021-11-21",10
"2021-11-22",10
"2021-11-23",10
"2021-11-24",9
"2021-11-25",8
"2021-11-26",7
"2021-11-27",7
"2021-11-28",7
"2021-11-29",8
"2021-11-30",9
"2021-12-01",8
"2021-12-02",8
"2021-12-03",7
"2021-12-04",6
"2021-12-05",7
"2021-12-06",8
"2021-12-07",7
"2021-12-08",7
"2021-12-09",7
"2021-12-10",6
"2021-12-11",6
"2021-12-12",7
"2021-12-13",7
"2021-12-14",8
"2021-12-15",7
"2021-12-16",7
"2021-12-17",6
"2021-12-18",6
"2021-12-19",7
"2021-12-20",7
"2021-12-21",8
"2021-12-22",8
"2021-12-23",7
"2021-12-24",6
"2021-12-25",6
"2021-12-26",7
"2021-12-27",8
"2021-12-28",8
"2021-12-29",8
"2021-12-30",6
"2021-12-31",6
