네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
화장품/미용 > 향수 > 여성향수
화장품/미용 > 향수 > 남성향수
조회기간 : 2022.06.10. ~ 2022.07.10. 일간
기기별 : 전체
성별 : 여성
연령별 : 20대

"날짜","여성향수","남성향수"
"2019-01-01",47,7
"2019-01-02",52,9
"2019-01-03",52,8
"2019-01-04",46,7
"2019-01-05",49,6
"2019-01-06",54,8
"2019-01-07",57,10
"2019-01-08",54,8
"2019-01-09",54,8
"2019-01-10",53,8
"2019-01-11",46,7
"2019-01-12",45,6
"2019-01-13",52,7
"2019-01-14",51,7
"2019-01-15",53,7
"2019-01-16",51,8
"2019-01-17",52,8
"2019-01-18",50,7
"2019-01-19",43,7
"2019-01-20",56,8
"2019-01-21",56,9
"2019-01-22",58,10
"2019-01-23",54,9
"2019-01-24",55,9
"2019-01-25",49,8
"2019-01-26",50,8
"2019-01-27",53,9
"2019-01-28",53,10
"2019-01-29",51,9
"2019-01-30",49,9
"2019-01-31",50,8
"2019-02-01",54,9
"2019-02-02",52,10
"2019-02-03",56,11
"2019-02-04",58,11
"2019-02-05",61,12
"2019-02-06",80,16
"2019-02-07",85,20
"2019-02-08",80,20
"2019-02-09",75,16
"2019-02-10",81,21
"2019-02-11",75,25
"2019-02-12",72,20
"2019-02-13",71,18
"2019-02-14",67,18
"2019-02-15",56,11
"2019-02-16",56,9
"2019-02-17",62,9
"2019-02-18",60,10
"2019-02-19",59,10
"2019-02-20",65,10
"2019-02-21",57,8
"2019-02-22",49,8
"2019-02-23",49,7
"2019-02-24",57,9
"2019-02-25",57,9
"2019-02-26",55,8
"2019-02-27",52,9
"2019-02-28",48,7
"2019-03-01",58,8
"2019-03-02",58,8
"2019-03-03",64,8
"2019-03-04",62,9
"2019-03-05",60,9
"2019-03-06",56,8
"2019-03-07",56,7
"2019-03-08",59,8
"2019-03-09",59,8
"2019-03-10",69,10
"2019-03-11",60,10
"2019-03-12",53,8
"2019-03-13",52,8
"2019-03-14",52,8
"2019-03-15",51,7
"2019-03-16",48,7
"2019-03-17",58,8
"2019-03-18",50,9
"2019-03-19",51,8
"2019-03-20",48,8
"2019-03-21",47,8
"2019-03-22",43,7
"2019-03-23",44,6
"2019-03-24",50,8
"2019-03-25",51,9
"2019-03-26",49,7
"2019-03-27",43,7
"2019-03-28",40,6
"2019-03-29",41,6
"2019-03-30",43,6
"2019-03-31",50,7
"2019-04-01",51,9
"2019-04-02",48,8
"2019-04-03",46,8
"2019-04-04",45,6
"2019-04-05",40,7
"2019-04-06",45,6
"2019-04-07",48,7
"2019-04-08",48,9
"2019-04-09",49,9
"2019-04-10",50,8
"2019-04-11",48,7
"2019-04-12",42,7
"2019-04-13",46,6
"2019-04-14",51,8
"2019-04-15",51,8
"2019-04-16",47,7
"2019-04-17",55,7
"2019-04-18",50,7
"2019-04-19",49,6
"2019-04-20",54,6
"2019-04-21",55,7
"2019-04-22",49,8
"2019-04-23",52,8
"2019-04-24",54,8
"2019-04-25",52,8
"2019-04-26",48,7
"2019-04-27",49,7
"2019-04-28",54,8
"2019-04-29",55,9
"2019-04-30",52,8
"2019-05-01",63,9
"2019-05-02",57,9
"2019-05-03",51,7
"2019-05-04",54,7
"2019-05-05",57,8
"2019-05-06",62,9
"2019-05-07",62,12
"2019-05-08",64,11
"2019-05-09",54,8
"2019-05-10",50,7
"2019-05-11",50,7
"2019-05-12",57,8
"2019-05-13",58,10
"2019-05-14",59,10
"2019-05-15",62,10
