네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
화장품/미용 > 향수 > 여성향수
화장품/미용 > 향수 > 남성향수
조회기간 : 2022.06.10. ~ 2022.07.10. 일간
기기별 : 전체
성별 : 남성
연령별 : 20대

"날짜","여성향수","남성향수"
"2019-01-01",44,46
"2019-01-02",49,51
"2019-01-03",51,49
"2019-01-04",45,45
"2019-01-05",41,41
"2019-01-06",46,53
"2019-01-07",52,57
"2019-01-08",48,55
"2019-01-09",47,55
"2019-01-10",41,52
"2019-01-11",37,46
"2019-01-12",34,38
"2019-01-13",39,48
"2019-01-14",43,49
"2019-01-15",42,46
"2019-01-16",43,50
"2019-01-17",41,44
"2019-01-18",42,52
"2019-01-19",35,44
"2019-01-20",43,49
"2019-01-21",49,53
"2019-01-22",51,57
"2019-01-23",48,51
"2019-01-24",45,44
"2019-01-25",40,45
"2019-01-26",42,46
"2019-01-27",45,53
"2019-01-28",47,56
"2019-01-29",45,57
"2019-01-30",41,50
"2019-01-31",37,44
"2019-02-01",42,51
"2019-02-02",40,45
"2019-02-03",41,48
"2019-02-04",40,50
"2019-02-05",45,56
"2019-02-06",59,72
"2019-02-07",72,80
"2019-02-08",63,71
"2019-02-09",57,66
"2019-02-10",62,71
"2019-02-11",72,76
"2019-02-12",67,79
"2019-02-13",71,85
"2019-02-14",68,88
"2019-02-15",59,74
"2019-02-16",56,69
"2019-02-17",62,72
"2019-02-18",63,70
"2019-02-19",61,72
"2019-02-20",63,78
"2019-02-21",56,64
"2019-02-22",48,59
"2019-02-23",46,54
"2019-02-24",54,60
"2019-02-25",60,68
"2019-02-26",60,66
"2019-02-27",55,60
"2019-02-28",45,50
"2019-03-01",48,59
"2019-03-02",49,59
"2019-03-03",58,61
"2019-03-04",67,67
"2019-03-05",63,64
"2019-03-06",59,68
"2019-03-07",52,65
"2019-03-08",60,72
"2019-03-09",59,75
"2019-03-10",74,90
"2019-03-11",78,84
"2019-03-12",73,67
"2019-03-13",66,68
"2019-03-14",65,56
"2019-03-15",46,55
"2019-03-16",46,56
"2019-03-17",50,67
"2019-03-18",51,66
"2019-03-19",49,65
"2019-03-20",42,57
"2019-03-21",45,53
"2019-03-22",40,52
"2019-03-23",42,53
"2019-03-24",44,64
"2019-03-25",52,62
"2019-03-26",46,60
"2019-03-27",44,58
"2019-03-28",37,54
"2019-03-29",32,45
"2019-03-30",33,45
"2019-03-31",43,57
"2019-04-01",50,65
"2019-04-02",47,69
"2019-04-03",42,64
"2019-04-04",37,56
"2019-04-05",35,52
"2019-04-06",37,53
"2019-04-07",40,59
"2019-04-08",43,64
"2019-04-09",43,64
"2019-04-10",42,66
"2019-04-11",40,58
"2019-04-12",38,51
"2019-04-13",36,53
"2019-04-14",52,64
"2019-04-15",52,64
"2019-04-16",45,60
"2019-04-17",47,57
"2019-04-18",45,53
"2019-04-19",42,49
"2019-04-20",45,52
"2019-04-21",52,65
"2019-04-22",48,60
"2019-04-23",47,61
"2019-04-24",46,61
"2019-04-25",40,53
"2019-04-26",41,50
"2019-04-27",42,48
"2019-04-28",47,55
"2019-04-29",54,57
"2019-04-30",47,52
"2019-05-01",55,59
"2019-05-02",52,57
"2019-05-03",41,47
"2019-05-04",44,48
"2019-05-05",49,55
"2019-05-06",60,65
"2019-05-07",61,63
"2019-05-08",65,58
"2019-05-09",48,53
"2019-05-10",52,53
"2019-05-11",48,53
"2019-05-12",53,63
"2019-05-13",62,64
"2019-05-14",65,64
"2019-05-15",63,67
"2019-05-16",56,55
"2019-05-17",47,53
"2019-05-18",49,50
"2019-05-19",62,62
"2019-05-20",87,86
"2019-05-21",62,65
"2019-05-22",51,60
"2019-05-23",45,55
"2019-05-24",40,47
"2019-05-25",46,49
"2019-05-26",50,61
"2019-05-27",55,69
"2019-05-28",53,65
"2019-05-29",50,61
"2019-05-30",43,62
"2019-05-31",42,56
"2019-06-01",47,63
"2019-06-02",55,77
"2019-06-03",58,83
"2019-06-04",53,72
"2019-06-05",48,71
"2019-06-06",47,65
"2019-06-07",45,61
"2019-06-08",44,62
"2019-06-09",48,72
"2019-06-10",58,79
"2019-06-11",65,83
"2019-06-12",59,89
"2019-06-13",55,76
"2019-06-14",47,64
"2019-06-15",45,64
"2019-06-16",48,72
"2019-06-17",53,75
"2019-06-18",51,75
"2019-06-19",47,73
"2019-06-20",47,71
"2019-06-21",44,65
"2019-06-22",44,67
"2019-06-23",54,73
"2019-06-24",56,77
"2019-06-25",55,86
"2019-06-26",60,89
"2019-06-27",54,77
"2019-06-28",56,70
"2019-06-29",54,63
"2019-06-30",61,85
"2019-07-01",72,89
"2019-07-02",62,80
"2019-07-03",56,73
"2019-07-04",52,75
"2019-07-05",53,70
"2019-07-06",49,64
"2019-07-07",57,70
"2019-07-08",59,78
"2019-07-09",58,74
"2019-07-10",56,78
"2019-07-11",56,76
"2019-07-12",51,63
"2019-07-13",50,58
"2019-07-14",61,73
"2019-07-15",67,82
"2019-07-16",62,77
"2019-07-17",56,72
"2019-07-18",52,63
"2019-07-19",50,58
"2019-07-20",48,58
"2019-07-21",51,69
"2019-07-22",58,75
"2019-07-23",58,70
"2019-07-24",53,65
"2019-07-25",60,69
"2019-07-26",53,60
"2019-07-27",43,53
"2019-07-28",54,63
"2019-07-29",58,69
"2019-07-30",55,63
"2019-07-31",51,62
"2019-08-01",58,71
"2019-08-02",51,61
"2019-08-03",50,56
"2019-08-04",56,68
"2019-08-05",61,70
"2019-08-06",62,70
"2019-08-07",59,67
"2019-08-08",57,65
"2019-08-09",51,63
"2019-08-10",50,63
"2019-08-11",60,83
"2019-08-12",62,88
"2019-08-13",60,76
"2019-08-14",54,63
"2019-08-15",56,66
"2019-08-16",53,57
"2019-08-17",48,54
"2019-08-18",50,60
"2019-08-19",57,62
"2019-08-20",52,67
"2019-08-21",54,66
"2019-08-22",53,62
"2019-08-23",46,54
"2019-08-24",48,55
"2019-08-25",59,68
"2019-08-26",58,69
"2019-08-27",64,72
