"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 12월","209,000","198,500","217,000","196,500","13.20M","6.91%"
"2021년 11월","195,500","208,000","220,000","194,500","15.51M","-6.01%"
"2021년 10월","208,000","198,000","215,000","189,000","14.45M","4.00%"
"2021년 9월","200,000","214,000","218,500","197,500","11.45M","-5.88%"
"2021년 8월","212,500","218,000","225,000","200,000","14.26M","-2.52%"
"2021년 7월","218,000","238,500","243,500","218,000","16.98M","-8.98%"
"2021년 6월","239,500","235,000","249,000","232,000","20.24M","1.91%"
"2021년 5월","235,000","212,000","236,000","211,000","22.48M","10.85%"
"2021년 4월","212,000","220,500","238,500","211,000","20.43M","-2.75%"
"2021년 3월","218,000","244,500","249,000","211,000","22.81M","-8.02%"
"2021년 2월","237,000","229,000","253,000","224,500","29.77M","3.49%"
"2021년 1월","229,000","194,000","289,000","193,500","97.45M","19.27%"
"2020년 12월","192,000","183,000","199,000","179,500","39.66M","5.79%"
"2020년 11월","181,500","166,000","188,500","166,000","41.03M","10.33%"
"2020년 10월","164,500","183,000","188,500","156,500","41.54M","-7.84%"
"2020년 9월","178,500","178,500","191,500","165,500","51.17M","1.13%"
"2020년 8월","176,500","126,500","182,000","123,500","78.13M","39.53%"
"2020년 7월","126,500","98,500","130,500","98,000","50.01M","29.48%"
"2020년 6월","97,700","98,000","115,000","97,000","34.66M","-0.31%"
"2020년 5월","98,000","91,100","99,600","90,500","28.95M","4.70%"
"2020년 4월","93,600","88,500","103,500","83,000","40.74M","5.52%"
"2020년 3월","88,700","116,000","116,500","65,000","52.92M","-22.87%"
"2020년 2월","115,000","123,000","137,500","114,000","19.19M","-8.00%"
"2020년 1월","125,000","121,000","133,000","110,000","21.00M","3.73%"
"2019년 12월","120,500","121,000","125,000","117,500","19.16M","-0.41%"
"2019년 11월","121,000","121,500","126,000","120,000","13.35M","-0.82%"
"2019년 10월","122,000","134,000","134,000","120,000","11.11M","-8.96%"
"2019년 9월","134,000","128,000","136,500","125,500","10.33M","4.28%"
"2019년 8월","128,500","126,500","132,500","123,000","10.81M","1.58%"
"2019년 7월","126,500","141,500","142,500","126,500","11.66M","-9.64%"
"2019년 6월","140,000","134,000","143,500","132,500","7.64M","4.09%"
"2019년 5월","134,500","138,000","140,500","125,000","12.66M","-2.89%"
"2019년 4월","138,500","120,000","140,500","117,500","11.72M","15.90%"
"2019년 3월","119,500","125,000","129,000","117,000","10.62M","-5.53%"
"2019년 2월","126,500","129,500","130,000","118,500","10.25M","-2.32%"
"2019년 1월","129,500","117,500","132,000","113,000","12.23M","9.28%"
"2018년 12월","118,500","108,500","124,500","105,500","12.33M","10.75%"
"2018년 11월","107,000","106,500","110,500","92,500","18.04M","0.47%"
"2018년 10월","106,500","130,000","130,000","102,500","12.06M","-17.76%"
"2018년 9월","129,500","124,500","137,000","123,500","7.02M","3.60%"
"2018년 8월","125,000","130,000","130,500","122,000","7.34M","-3.47%"
"2018년 7월","129,500","125,000","131,500","118,000","9.14M","3.19%"
"2018년 6월","125,500","138,500","144,000","123,000","11.46M","-9.71%"
"2018년 5월","139,000","159,000","163,000","136,000","11.33M","-13.13%"
"2018년 4월","160,000","144,500","165,500","144,000","10.55M","11.50%"
"2018년 3월","143,500","158,000","159,500","142,500","11.33M","-11.15%"
"2018년 2월","161,500","161,500","164,000","152,000","8.53M","-0.31%"
"2018년 1월","162,000","150,500","167,500","145,500","12.62M","3.85%"
"2017년 12월","156,000","164,500","165,500","148,000","8.67M","-5.17%"
"2017년 11월","164,500","159,000","166,500","153,000","10.83M","2.17%"
"2017년 10월","161,000","149,500","162,000","146,500","10.81M","6.98%"
"2017년 9월","150,500","141,000","151,000","133,000","11.48M","7.12%"
"2017년 8월","140,500","145,000","151,000","138,500","10.03M","-3.10%"
"2017년 7월","145,000","158,500","164,000","144,500","12.50M","-9.09%"
"2017년 6월","159,500","162,500","170,000","157,000","9.17M","-2.15%"
"2017년 5월","163,000","143,000","173,000","143,000","13.19M","13.19%"
"2017년 4월","144,000","156,500","157,000","136,500","11.94M","-8.57%"
"2017년 3월","157,500","149,000","171,000","140,000","13.60M","5.35%"
"2017년 2월","149,500","140,000","151,500","135,500","8.76M","7.17%"
"2017년 1월","139,500","146,000","155,500","139,000","8.99M","-4.45%"
"2016년 12월","146,000","133,000","148,000","132,000","7.80M","9.77%"
"2016년 11월","133,000","141,000","141,500","129,000","10.46M","-5.00%"
"2016년 10월","140,000","138,500","141,500","131,000","9.56M","3.32%"
"2016년 9월","135,500","133,000","142,000","131,500","10.19M","1.88%"
"2016년 8월","133,000","132,500","138,000","129,500","10.27M","0.76%"
"2016년 7월","132,000","136,500","139,500","128,500","12.04M","-2.58%"
"2016년 6월","135,500","137,500","144,000","133,500","10.66M","-2.87%"
"2016년 5월","139,500","142,000","144,000","131,500","9.65M","-2.79%"
"2016년 4월","143,500","152,500","155,000","142,000","7.85M","-5.90%"
"2016년 3월","152,500","150,000","159,500","143,500","10.16M","3.39%"
"2016년 2월","147,500","132,000","153,000","126,500","10.09M","10.90%"
"2016년 1월","133,000","147,500","148,000","131,000","11.21M","-10.74%"
"2015년 12월","149,000","148,500","156,000","146,500","8.11M","1.02%"
"2015년 11월","147,500","157,000","167,000","147,500","8.80M","-5.45%"
"2015년 10월","156,000","164,000","169,500","150,000","11.54M","-4.88%"
"2015년 9월","164,000","147,000","167,500","145,000","14.52M","10.07%"
"2015년 8월","149,000","148,500","154,000","134,500","15.02M","0.00%"
"2015년 7월","149,000","136,000","151,000","123,000","20.04M","9.56%"
"2015년 6월","136,000","157,500","158,000","128,000","23.75M","-13.92%"
"2015년 5월","158,000","170,000","175,500","155,000","9.84M","-6.51%"
"2015년 4월","169,000","167,500","181,000","160,500","15.52M","0.30%"
"2015년 3월","168,500","162,000","187,000","160,000","15.75M","4.98%"
"2015년 2월","160,500","170,000","171,000","155,000","10.04M","-5.31%"
"2015년 1월","169,500","169,000","182,500","161,000","12.48M","0.30%"
"2014년 12월","169,000","178,000","191,500","164,000","12.58M","-5.59%"
"2014년 11월","179,000","168,000","182,000","149,000","19.60M","5.29%"
"2014년 10월","170,000","190,000","191,000","157,500","18.74M","-10.76%"
"2014년 9월","190,500","233,000","233,000","185,500","16.31M","-18.24%"
