카테고리: 모든 카테고리

도시,포도: (21. 7. 11.~22. 7. 11.)
영동군,100
김천시,61
해남군,61
여주군,49
제천시,48
동해시,45
남원시,44
상주시,42
서귀포시,42
영천시,41
가평군,39
삼척시,38
순천시,37
금산군,37
김제시,36
강릉시,34
양평군,34
칠곡군,33
논산시,32
부여군,32
남양주시,31
완주군,31
당진시,31
익산시,31
천안시,30
음성군,30
충주시,30
경산시,30
구미시,
전주시,
광주시,
목포시,
김해시,
통영시,
청주시,
홍성군,
홍천군,
의정부시,
포항시,
안동시,
태안군,
사천시,
원주시,
양주시,
연기군,
광주광역시,
부천시,
울산광역시,
거제시,
진주시,
오산시,
고양시,
부산광역시,
예산군,
군산시,
인천광역시,
화성시,
서산시,
대구광역시,
제주시,
정읍시,
춘천시,
아산시,
광명시,
양산시,
청원군,
평택시,
함안군,
경주시,
안산시,
시흥시,
나주시,
대전광역시,
공주시,
보령시,
고흥군,
파주시,
구리시,
안성시,
여수시,
영주시,
군포시,
하남시,
서울특별시,
수원시,
과천시,
고성군,
안양시,
용인시,
성남시,
의왕시,
동두천시,
김포시,
무안군,
광양시,
옥천군,
화순군,
이천시,
진천군,
밀양시,
포천시,
장수군,
곡성군,
영월군,
화천군,
인제군,
고령군,
장흥군,
완도군,
단양군,
울진군,
계룡시,
예천군,
담양군,
부안군,
속초시,
고창군,
장성군,
신안군,
평창군,
남해군,
보성군,
영덕군,
문경시,
하동군,
영암군,
함평군,
태백시,
거창군,
정선군,
증평군,
청도군,
합천군,
영광군,
진도군,
청양군,
괴산군,
울릉군,
의성군,
양양군,
진안군,
구례군,
연천군,
고성군,
함양군,
순창군,
성주군,
봉화군,
횡성군,
창녕군,
강진군,
철원군,
군위군,
청송군,
무주군,
서천군,
산청군,
