"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 06월 30일","12,850","13,500","13,500","12,850","0.30K","-4.46%"
"2022년 06월 29일","13,450","13,350","13,550","13,200","0.01K","-1.47%"
"2022년 06월 28일","13,650","13,450","14,100","13,450","0.01K","1.11%"
"2022년 06월 27일","13,500","13,550","13,700","13,200","0.42K","0.75%"
"2022년 06월 24일","13,400","12,900","13,450","12,800","512.21K","3.88%"
"2022년 06월 23일","12,900","13,250","13,550","12,800","0.55K","-3.37%"
"2022년 06월 22일","13,350","14,250","14,300","13,350","0.30K","-5.32%"
"2022년 06월 21일","14,100","14,050","14,250","13,800","485.54K","0.36%"
"2022년 06월 20일","14,050","15,100","15,200","13,850","676.86K","-6.64%"
"2022년 06월 17일","15,050","14,550","15,150","14,500","560.10K","-0.99%"
"2022년 06월 16일","15,200","15,650","15,800","15,200","440.34K","-0.33%"
"2022년 06월 15일","15,250","15,800","16,150","14,950","0.03K","-4.09%"
"2022년 06월 14일","15,900","15,550","16,000","15,500","0.10K","-0.93%"
"2022년 06월 13일","16,050","16,750","16,750","16,050","0.05K","-6.69%"
"2022년 06월 12일","17,200","17,200","17,200","17,200","-","0.00%"
"2022년 06월 10일","17,200","17,650","17,700","17,150","505.95K","-4.18%"
"2022년 06월 09일","17,950","17,950","18,000","17,650","339.31K","-0.28%"
"2022년 06월 08일","18,000","18,050","18,200","17,850","264.81K","0.00%"
"2022년 06월 07일","18,000","18,250","18,300","17,900","0.04K","-0.28%"
"2022년 06월 06일","18,050","18,050","18,050","18,050","-","0.00%"
"2022년 06월 03일","18,050","18,150","18,350","17,950","351.89K","0.28%"
"2022년 06월 02일","18,000","17,600","18,050","17,500","303.63K","1.12%"
"2022년 06월 01일","17,800","17,800","17,800","17,800","-","0.00%"
"2022년 05월 31일","17,800","18,000","18,100","17,600","332.11K","-0.84%"
"2022년 05월 30일","17,950","18,000","18,150","17,900","366.90K","0.56%"
"2022년 05월 27일","17,850","17,800","17,950","17,650","403.39K","1.13%"
"2022년 05월 26일","17,650","17,600","17,800","17,500","336.43K","0.28%"
"2022년 05월 25일","17,600","17,250","17,650","17,200","264.42K","2.33%"
"2022년 05월 24일","17,200","17,450","17,900","17,150","0.01K","-1.43%"
"2022년 05월 23일","17,450","17,250","17,450","17,100","415.65K","1.45%"
"2022년 05월 22일","17,200","17,200","17,200","17,200","-","0.00%"
"2022년 05월 20일","17,200","17,050","17,550","17,000","686.27K","2.38%"
"2022년 05월 19일","16,800","17,100","17,200","16,600","1.12M","-4.82%"
"2022년 05월 18일","17,650","17,900","18,050","17,400","0.01K","-1.40%"
"2022년 05월 17일","17,900","17,700","18,100","17,600","486.82K","1.42%"
"2022년 05월 16일","17,650","17,950","18,100","17,550","0.06K","-1.12%"
"2022년 05월 13일","17,850","17,650","17,950","17,550","423.32K","1.71%"
"2022년 05월 12일","17,550","17,500","18,100","17,400","0.54K","-1.68%"
"2022년 05월 11일","17,850","17,800","17,950","17,550","0.04K","-0.28%"
"2022년 05월 10일","17,900","18,050","18,200","17,450","830.74K","-3.24%"
"2022년 05월 09일","18,500","18,850","18,950","18,250","609.85K","-2.37%"
"2022년 05월 08일","18,950","18,950","18,950","18,950","-","0.00%"
"2022년 05월 06일","18,950","18,600","19,050","18,400","544.94K","0.26%"
"2022년 05월 05일","18,900","18,900","18,900","18,900","-","0.00%"
"2022년 05월 04일","18,900","19,050","19,500","18,900","693.57K","-0.79%"
"2022년 05월 03일","19,050","19,450","19,500","19,000","578.85K","-1.55%"
"2022년 05월 02일","19,350","18,700","19,500","18,700","938.22K","2.65%"
"2022년 05월 01일","18,850","18,850","18,850","18,850","-","0.00%"
"2022년 04월 29일","18,850","18,900","19,150","18,350","985.64K","0.53%"
"2022년 04월 28일","18,750","18,450","19,150","18,250","0.21K","1.35%"
"2022년 04월 27일","18,500","17,700","18,500","17,400","0.84K","1.65%"
"2022년 04월 26일","18,200","19,000","19,000","18,050","1.20M","-2.93%"
"2022년 04월 25일","18,750","19,550","19,900","18,700","1.51M","-6.02%"
"2022년 04월 24일","19,950","19,950","19,950","19,950","-","0.00%"
"2022년 04월 22일","19,950","19,100","19,950","18,850","1.84M","3.91%"
"2022년 04월 21일","19,200","19,400","19,550","18,950","0.14K","1.05%"
"2022년 04월 20일","19,000","18,750","19,450","18,500","0.05K","1.88%"
"2022년 04월 19일","18,650","18,050","18,750","17,800","1.29M","3.04%"
"2022년 04월 18일","18,100","17,950","18,200","17,600","0.01K","1.12%"
"2022년 04월 17일","17,900","17,900","17,900","17,900","-","0.00%"
"2022년 04월 15일","17,900","17,800","18,150","17,700","1.44M","1.70%"
"2022년 04월 14일","17,600","17,600","17,900","17,200","1.43M","2.33%"
"2022년 04월 13일","17,200","16,300","17,250","16,300","0.60K","7.17%"
"2022년 04월 12일","16,050","16,400","16,450","15,950","387.41K","-2.13%"
"2022년 04월 11일","16,400","16,050","16,450","15,950","1.68K","2.18%"
"2022년 04월 10일","16,050","16,050","16,050","16,050","-","0.00%"
"2022년 04월 08일","16,050","15,900","16,200","15,550","381.41K","2.23%"
"2022년 04월 07일","15,700","16,100","16,350","15,700","0.01K","-3.09%"
"2022년 04월 06일","16,200","16,400","16,450","16,100","412.50K","-1.22%"
"2022년 04월 05일","16,400","16,600","16,750","16,350","380.39K","-1.20%"
"2022년 04월 04일","16,600","16,550","16,850","16,400","420.99K","0.30%"
"2022년 04월 03일","16,550","16,550","16,550","16,550","-","0.00%"
"2022년 04월 01일","16,550","16,650","16,650","16,450","333.93K","-1.19%"
"2022년 03월 31일","16,750","16,650","16,950","16,600","0.44K","1.21%"
"2022년 03월 30일","16,550","17,150","17,200","16,450","741.63K","-2.36%"
"2022년 03월 29일","16,950","17,300","17,350","16,800","0.13K","-2.02%"
"2022년 03월 28일","17,300","17,150","17,450","16,850","0.30K","0.29%"
"2022년 03월 27일","17,250","17,250","17,250","17,250","-","0.00%"
"2022년 03월 25일","17,250","17,850","17,900","17,200","1.06M","-3.63%"
"2022년 03월 24일","17,900","18,100","18,100","17,500","1.35M","-1.10%"
"2022년 03월 23일","18,100","17,750","19,100","17,750","9.88K","4.93%"
"2022년 03월 22일","17,250","17,300","17,350","16,900","661.43K","1.17%"
"2022년 03월 21일","17,050","17,100","17,400","16,950","9.64K","0.59%"
"2022년 03월 20일","16,950","16,950","16,950","16,950","-","0.00%"
"2022년 03월 18일","16,950","17,100","17,500","16,850","1.07M","1.80%"
"2022년 03월 17일","16,650","17,000","17,100","16,550","0.01K","-0.30%"
"2022년 03월 16일","16,700","16,750","16,750","16,300","335.09K","1.52%"
"2022년 03월 15일","16,450","17,000","17,050","16,350","530.51K","-4.36%"
"2022년 03월 14일","17,200","17,100","17,850","17,000","0.10K","0.88%"
"2022년 03월 13일","17,050","17,050","17,050","17,050","-","0.00%"
"2022년 03월 11일","17,050","16,550","17,050","16,400","520.90K","3.65%"
"2022년 03월 10일","16,450","16,700","16,850","16,200","0.17K","1.54%"
"2022년 03월 09일","16,200","16,200","16,200","16,200","-","0.00%"
"2022년 03월 08일","16,200","17,500","17,500","16,200","1.03M","-7.43%"
"2022년 03월 07일","17,500","17,500","17,950","17,150","1.05M","0.57%"
"2022년 03월 06일","17,400","17,400","17,400","17,400","-","0.00%"
"2022년 03월 04일","17,400","17,200","17,550","16,950","770.84K","2.05%"
"2022년 03월 03일","17,050","17,000","17,200","16,800","0.06K","3.33%"
"2022년 03월 02일","16,500","16,400","16,950","16,250","709.97K","0.00%"
"2022년 03월 01일","16,500","16,500","16,500","16,500","-","0.00%"
"2022년 02월 28일","16,500","15,950","16,700","15,750","958.86K","5.10%"
"2022년 02월 27일","15,700","15,700","15,700","15,700","-","0.00%"
"2022년 02월 25일","15,700","15,800","15,900","15,500","510.98K","1.29%"
"2022년 02월 24일","15,500","15,700","15,950","15,400","0.64K","-3.13%"
"2022년 02월 23일","16,000","15,750","16,250","15,550","0.13K","3.23%"
"2022년 02월 22일","15,500","15,250","15,850","15,250","0.37K","-0.64%"
"2022년 02월 21일","15,600","15,200","15,600","15,000","0.02K","0.00%"
"2022년 02월 20일","15,600","15,600","15,600","15,600","-","0.00%"
"2022년 02월 18일","15,600","15,250","15,650","15,100","284.84K","0.65%"
"2022년 02월 17일","15,500","15,700","15,950","15,000","1.86K","-0.32%"
"2022년 02월 16일","15,550","15,500","15,600","15,250","395.53K","3.67%"
"2022년 02월 15일","15,000","15,350","15,500","14,850","526.14K","-1.96%"
"2022년 02월 14일","15,300","16,050","16,050","15,300","0.01K","-6.13%"
"2022년 02월 13일","16,300","16,300","16,300","16,300","-","0.00%"
"2022년 02월 11일","16,300","16,150","16,800","15,800","680.51K","0.62%"
"2022년 02월 10일","16,200","16,600","16,600","16,000","0.25K","-0.61%"
"2022년 02월 09일","16,300","15,300","16,300","15,300","1.02M","7.95%"
"2022년 02월 08일","15,100","15,450","15,750","15,000","469.48K","-0.98%"
"2022년 02월 07일","15,250","15,400","15,400","14,700","352.67K","-0.65%"
"2022년 02월 04일","15,350","15,250","15,450","15,000","366.77K","0.33%"
"2022년 02월 03일","15,300","15,350","15,500","15,300","0.10K","4.44%"
"2022년 01월 28일","14,650","13,950","14,700","13,700","617.41K","6.16%"
"2022년 01월 27일","13,800","14,550","14,700","13,450","0.10K","-5.15%"
"2022년 01월 26일","14,550","14,500","14,850","14,400","0.09K","0.00%"
"2022년 01월 25일","14,550","15,350","15,450","14,400","974.36K","-5.21%"
"2022년 01월 24일","15,350","15,800","15,900","15,050","447.02K","-3.15%"
"2022년 01월 23일","15,850","15,850","15,850","15,850","-","0.00%"
"2022년 01월 21일","15,850","16,000","16,200","15,750","431.72K","-2.46%"
"2022년 01월 20일","16,250","16,100","16,600","16,050","0.33K","1.25%"
"2022년 01월 19일","16,050","15,750","16,400","15,700","0.01K","0.00%"
"2022년 01월 18일","16,050","16,750","16,800","15,900","0.00K","-3.60%"
"2022년 01월 17일","16,650","17,300","17,400","16,600","0.09K","-4.86%"
"2022년 01월 14일","17,500","17,550","17,800","17,350","609.82K","-1.96%"
"2022년 01월 13일","17,850","18,250","18,650","17,700","858.48K","-0.56%"
"2022년 01월 12일","17,950","17,750","18,100","17,700","496.15K","1.70%"
"2022년 01월 11일","17,650","17,600","18,250","17,500","784.95K","-0.84%"
"2022년 01월 10일","17,800","18,350","18,650","17,750","0.40K","-2.47%"
"2022년 01월 09일","18,250","18,250","18,250","18,250","-","0.00%"
"2022년 01월 07일","18,250","18,150","18,300","17,250","1.43M","0.83%"
"2022년 01월 06일","18,100","17,500","18,500","17,300","6.83K","4.02%"
"2022년 01월 05일","17,400","17,350","17,900","17,300","5.42K","1.46%"
"2022년 01월 04일","17,150","16,100","17,250","16,050","0.00K","6.52%"
"2022년 01월 03일","16,100","15,900","16,250","15,800","361.22K","1.26%"
"2021년 12월 30일","15,900","16,050","16,250","15,900","303.90K","-1.55%"
"2021년 12월 29일","16,150","15,800","16,350","15,600","0.06K","1.25%"
"2021년 12월 28일","15,950","16,200","16,200","15,850","0.00K","-0.62%"
"2021년 12월 27일","16,050","16,150","16,350","16,000","376.62K","0.00%"
"2021년 12월 26일","16,050","16,050","16,050","16,050","-","0.00%"
"2021년 12월 24일","16,050","15,950","16,250","15,950","387.62K","0.94%"
"2021년 12월 23일","15,900","16,000","16,100","15,850","264.47K","-0.63%"
"2021년 12월 22일","16,000","16,200","16,300","15,800","0.00K","-0.62%"
"2021년 12월 21일","16,100","16,050","16,200","15,800","0.01K","1.26%"
"2021년 12월 20일","15,900","16,300","16,300","15,800","0.05K","-2.75%"
"2021년 12월 19일","16,350","16,350","16,350","16,350","-","0.00%"
"2021년 12월 17일","16,350","16,050","16,850","15,950","836.88K","1.55%"
"2021년 12월 16일","16,100","16,300","16,400","15,900","1.32K","-0.31%"
"2021년 12월 15일","16,150","16,150","16,250","15,850","296.98K","0.94%"
"2021년 12월 14일","16,000","16,100","16,400","15,900","1.31K","-1.84%"
"2021년 12월 13일","16,300","16,450","16,700","16,200","0.78K","-0.91%"
"2021년 12월 10일","16,450","16,100","16,450","15,850","472.61K","1.86%"
"2021년 12월 09일","16,150","16,250","16,450","16,100","0.07K","-0.31%"
"2021년 12월 08일","16,200","16,300","16,700","16,100","0.10K","0.62%"
"2021년 12월 07일","16,100","16,150","16,250","15,750","439.79K","0.63%"
"2021년 12월 06일","16,000","15,550","16,300","15,200","0.10K","2.24%"
"2021년 12월 05일","15,650","15,650","15,650","15,650","-","0.00%"
"2021년 12월 03일","15,650","15,600","15,900","15,300","614.00K","0.97%"
"2021년 12월 02일","15,500","14,950","15,550","14,750","0.00K","1.64%"
"2021년 12월 01일","15,250","14,250","15,250","13,900","0.07K","7.39%"
"2021년 11월 30일","14,200","14,900","15,150","14,050","0.17K","-4.05%"
"2021년 11월 29일","14,800","14,400","15,100","14,350","0.08K","-1.66%"
"2021년 11월 28일","15,050","15,050","15,050","15,050","-","0.00%"
"2021년 11월 26일","15,050","15,600","15,650","15,000","627.22K","-3.53%"
"2021년 11월 25일","15,600","15,950","16,100","15,550","491.06K","-1.89%"
"2021년 11월 24일","15,900","16,400","16,400","15,850","0.17K","-3.05%"
"2021년 11월 23일","16,400","16,450","17,250","16,350","0.31K","0.61%"
"2021년 11월 22일","16,300","16,050","16,350","15,850","0.52K","0.93%"
"2021년 11월 21일","16,150","16,150","16,150","16,150","-","0.00%"
"2021년 11월 19일","16,150","16,050","16,500","16,000","485.09K","0.00%"
"2021년 11월 18일","16,150","16,050","16,450","15,700","0.20K","0.62%"
"2021년 11월 17일","16,050","16,850","16,850","16,000","679.53K","-3.89%"
"2021년 11월 16일","16,700","17,200","17,200","16,600","0.87K","-2.62%"
"2021년 11월 15일","17,150","17,200","17,350","16,650","3.20K","0.29%"
"2021년 11월 14일","17,100","17,100","17,100","17,100","-","0.00%"
"2021년 11월 12일","17,100","16,150","17,200","16,100","1.31M","7.55%"
"2021년 11월 11일","15,900","15,800","16,100","15,650","396.17K","-0.63%"
"2021년 11월 10일","16,000","16,500","16,550","15,900","0.37K","-4.48%"
"2021년 11월 09일","16,750","16,450","16,750","16,300","0.04K","2.45%"
"2021년 11월 08일","16,350","16,050","16,400","15,600","2.00K","2.19%"
"2021년 11월 07일","16,000","16,000","16,000","16,000","-","0.00%"
"2021년 11월 05일","16,000","16,800","16,950","15,800","1.32M","-5.04%"
"2021년 11월 04일","16,850","17,200","17,550","16,800","522.32K","-1.17%"
"2021년 11월 03일","17,050","17,500","17,500","17,000","0.09K","-1.45%"
"2021년 11월 02일","17,300","17,100","17,750","17,100","0.23K","1.76%"
"2021년 11월 01일","17,000","17,050","17,450","17,000","379.96K","-0.29%"
"2021년 10월 31일","17,050","17,050","17,050","17,050","-","0.00%"
"2021년 10월 29일","17,050","17,400","17,400","17,000","321.50K","-0.87%"
"2021년 10월 28일","17,200","17,850","17,850","17,200","597.54K","-3.64%"
"2021년 10월 27일","17,850","17,900","18,150","17,600","436.04K","0.00%"
"2021년 10월 26일","17,850","17,850","17,900","17,400","384.43K","1.42%"
"2021년 10월 25일","17,600","17,050","17,650","16,750","558.60K","2.92%"
"2021년 10월 24일","17,100","17,100","17,100","17,100","-","0.00%"
"2021년 10월 22일","17,100","17,550","17,650","16,950","761.42K","-3.12%"
"2021년 10월 21일","17,650","17,550","17,950","17,450","0.60K","0.86%"
"2021년 10월 20일","17,500","18,300","18,350","17,500","0.00K","-4.11%"
"2021년 10월 19일","18,250","18,200","18,400","17,950","0.01K","0.27%"
"2021년 10월 18일","18,200","18,650","18,650","18,100","0.24K","-1.62%"
"2021년 10월 17일","18,500","18,500","18,500","18,500","-","0.00%"
"2021년 10월 15일","18,500","18,700","18,850","18,350","501.23K","0.00%"
"2021년 10월 14일","18,500","18,650","18,750","18,150","793.88K","1.09%"
"2021년 10월 13일","18,300","17,350","18,350","17,200","1.22M","5.78%"
"2021년 10월 12일","17,300","17,000","17,600","17,000","480.11K","0.58%"
"2021년 10월 11일","17,200","17,200","17,200","17,200","-","0.00%"
"2021년 10월 08일","17,200","17,750","17,950","17,100","552.35K","-1.71%"
"2021년 10월 07일","17,500","16,900","17,700","16,900","682.39K","3.55%"
"2021년 10월 06일","16,900","17,800","17,900","16,850","3.29K","-3.70%"
"2021년 10월 05일","17,550","17,150","17,950","16,900","1.00K","-0.57%"
"2021년 10월 04일","17,650","17,650","17,650","17,650","-","0.00%"
"2021년 10월 01일","17,650","18,050","18,200","17,550","692.72K","-3.81%"
